Parameter	Level0	Level1	Level2	Level3	Level4	Level5	Level6	Level7	Level8	Level9	Level10
Score	1500	1700	1900	2100	2300	2500	3000	3500	4500	6000	8000
GoodCampMoneyPercent	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024
GoodCampReputePercent	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024
GoodCampPrestigePercent	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024
GoodCampReducePrestigeOnDeath	0	0	0	0	512	1024	1024	1024	1024	1024	1024
GoodCampDamagePercent	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024
GoodCampShieldPercent	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024
EvilCampMoneyPercent	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024
EvilCampReputePercent	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024
EvilCampPrestigePercent	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024
EvilCampReducePrestigeOnDeath	1024	1024	1024	1024	1024	1024	512	0	0	0	0
EvilCampDamagePercent	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024
EvilCampShieldPercent	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
