ID	Name	CostStamina	ProfessionID	RequireLevel	RequireBranchID	RequireDoodad	ToolItemType	ToolItemIndex	EquipmentType	Exp	PrepareFrame	Belong	EnchantID	RequireItemType1	RequireItemIndex1	RequireItemCount1	RequireItemType2	RequireItemIndex2	RequireItemCount2	RequireItemType3	RequireItemIndex3	RequireItemCount3	RequireItemType4	RequireItemIndex4	RequireItemCount4	RequireItemType5	RequireItemIndex5	RequireItemCount5	RequireItemType6	RequireItemIndex6	RequireItemCount6	RequireItemType7	RequireItemIndex7	RequireItemCount7	RequireItemType8	RequireItemIndex8	RequireItemCount8	_Quality	ScriptName
0	未知配方	0	0	0	0	0	0	0	-1	0	32		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
81	鹅黄绣（护手）	9	5	52	1		5	195		20	80	120	1	5	3299	2	5	3547	1	5	3277	1	5	972	1														
82	净白绣（护手）	9	5	52	1		5	195		20	80	120	18	5	3299	2	5	3544	1	5	3277	1	5	972	1														
83	蓝叶绣（护手）	9	5	52	1		5	195		20	80	120	25	5	3299	2	5	3545	1	5	3277	1	5	972	1														
84	鹅黄染（腰带）	9	5	52	2	342				20	80	110	2	5	3300	2	5	3547	1	5	3284	1	5	979	2														
85	净白染（腰带）	9	5	52	2	342				20	80	110	19	5	3300	2	5	3544	1	5	3284	1	5	979	2														
86	蓝叶染（腰带）	9	5	52	2	342				20	80	110	26	5	3300	2	5	3545	1	5	3284	1	5	979	2														
90	妃红绣（护手）	9	5	52	1		5	195		20	80	120	8	5	3299	2	5	3546	1	5	3277	1	5	972	1														
91	煤黑绣（护手）	9	5	52	1		5	195		20	80	120	13	5	3299	2	5	3548	1	5	3277	1	5	972	1														
92	妃红染（腰带）	9	5	52	2	342				20	80	110	9	5	3300	2	5	3546	1	5	3284	1	5	979	1														
93	煤黑染（腰带）	9	5	52	2	342				20	80	110	14	5	3300	2	5	3548	1	5	3284	1	5	979	1														
109	煤黑绣（头部）	9	5	56	1		5	195		20	80	120	15	5	3299	4	5	3548	2	5	3277	5	5	972	1														
110	净白绣（头部）	9	5	56	1		5	195		20	80	120	20	5	3299	4	5	3544	2	5	3277	5	5	972	1														
111	鹅黄绣（头部）	9	5	56	1		5	195		20	80	120	3	5	3299	4	5	3547	2	5	3277	5	5	972	1														
112	墨灰绣（鞋子）	9	5	56	1		5	195		20	80	120	24	5	3299	4	5	3544	2	5	3277	5	5	972	2														
113	妃红染（下装）	9	5	56	2	342				20	80	110	10	5	3300	4	5	3546	2	5	3284	5	5	979	1														
114	净白染（下装）	9	5	56	2	342				20	80	110	21	5	3300	4	5	3544	2	5	3284	5	5	979	1														
115	鹅黄染（下装）	9	5	56	2	342				20	80	110	4	5	3300	4	5	3547	2	5	3284	5	5	979	1														
116	墨灰染（鞋子）	9	5	58	2	342				20	80	110	7	5	3300	4	5	3548	2	5	3284	5	5	979	2														
142	杏黄绣（鞋子）	10	5	62	1		5	195		25	80	120	37	5	1828	3	5	3551	2	5	3549	2	5	3282	5	5	3295	5	5	5006	2								
145	杏黄染（鞋子）	10	5	62	2	342				25	80	110	38	5	3300	3	5	3551	2	5	3549	2	5	3284	5	5	3296	5	5	5007	2								
153	杏黄绣（护手）	10	5	64	1		5	195		25	80	120	5	5	3299	4	5	3551	1	5	3282	2	5	3295	5	5	5007	1											
154	莹白绣（护手）	10	5	64	1		5	195		25	80	120	22	5	3299	4	5	3552	1	5	3282	2	5	3295	5	5	5007	1											
155	靛蓝绣（护手）	10	5	64	1		5	195		25	80	120	27	5	3299	4	5	3283	1	5	3282	2	5	3295	5	5	5007	1											
156	橘红绣（护手）	10	5	64	1		5	195		25	80	120	11	5	3299	4	5	3549	1	5	3282	2	5	3295	5	5	5007	1											
157	铁黑绣（护手）	10	5	64	1		5	195		25	80	120	16	5	3299	4	5	3550	1	5	3282	2	5	3295	5	5	5007	1											
158	杏黄染（腰带）	10	5	64	2	342				25	80	110	6	5	3300	4	5	3551	1	5	3284	2	5	3296	5	5	5006	1											
