Level(这列不读,以表的行号决定等级,从1开始)	Exp
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	25
11	25
12	25
13	25
14	25
15	25
16	25
17	25
18	25
19	25
20	25
21	25
22	25
23	25
24	25
25	25
26	25
27	25
28	25
29	25
30	25
31	25
32	25
33	25
34	25
35	25
36	25
37	25
38	25
39	25
40	25
41	25
42	25
43	25
44	25
45	25
46	25
47	25
48	25
49	25
50	25
51	25
52	25
53	25
54	25
55	25
56	25
57	25
58	25
59	25
60	25
61	25
62	25
63	25
64	25
65	25
66	25
67	25
68	25
69	25
70	9999
71	9999
72	9999
73	9999
74	9999
75	9999
76	9999
77	9999
78	9999
79	9999
80	9999
81	9999
82	9999
83	9999
84	9999
85	9999
86	9999
87	9999
88	9999
89	9999
90	9999
91	9999
92	9999
93	9999
94	9999
95	9999
96	9999
97	9999
98	9999
99	9999
100	9999

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
