Level(这列不读,以表的行号决定等级,从1开始)	Exp
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	60
11	62
12	64
13	66
14	68
15	70
16	72
17	74
18	76
19	80
20	82
21	84
22	86
23	88
24	90
25	92
26	94
27	96
28	98
29	100
30	130
31	132
32	134
33	136
34	138
35	140
36	142
37	144
38	146
39	148
40	180
41	182
42	184
43	186
44	188
45	190
46	192
47	194
48	196
49	198
50	230
51	232
52	234
53	236
54	238
55	240
56	242
57	244
58	246
59	248
60	282
61	284
62	286
63	288
64	290
65	292
66	294
67	296
68	298
69	300
70	302
71	390
72	395
73	400
74	405
75	410
76	415
77	420
78	425
79	430
80	435
81	440
82	445
83	450
84	455
85	460
86	465
87	470
88	475
89	480
90	485
91	490
92	495
93	500
94	505
95	510
96	515
97	520
98	525
99	530
100	535

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
