CraftID	RecipeID	ProfessionID	ProfessionLevel	BranchID	ReputationID	nReputationLevel	nPrice
0	0	0	0	0	0	0	0
4	1	4	10				940
4	2	4	10				750
4	3	4	10				380
4	5	4	12				670
4	7	4	14				1170
4	12	4	14				2340
4	13	4	16				1780
4	14	4	18				4630
4	15	4	18				2320
4	16	4	18				2320
4	17	4	18				2320
4	18	4	18				2320
4	19	4	18				2320
4	26	4	22				3890
4	27	4	22				7780
4	28	4	24				4970
4	29	4	26				11570
4	30	4	28				7140
4	38	4	30				17800
4	39	4	30				8900
5	1	5	10				380
5	2	5	10				380
5	3	5	10				380
5	529	5	10	0	0	0	380
5	7	5	12				670
5	8	5	12				670
5	9	5	14				1170
5	10	5	14				2920
5	13	5	16				1780
5	18	5	16				1780
5	19	5	18				2320
5	20	5	18				2320
5	23	5	20				3020
5	530	5	20	0	0	0	3020
5	25	5	22				3890
5	28	5	24				4970
5	29	5	26				5790
5	33	5	28				7140
5	34	5	28				7140
5	442	5	30				8900
5	443	5	30				8900
5	444	5	30				8900
5	445	5	30				8900
5	531	5	30	0	0	0	8900
6	1	6	10				380
6	3	6	10				380
6	268	6	10				380
6	5	6	12				670
6	9	6	12				670
6	12	6	14				1170
6	13	6	14				1170
6	493	6	14	0	0	0	2920
6	15	6	16				1780
6	19	6	16				1780
6	20	6	16				1780
6	21	6	16				1780
6	22	6	18				2320
6	23	6	20				3020
6	24	6	20				3020
6	26	6	20				3020
6	29	6	22				3890
6	35	6	22				4970
6	31	6	24				4970
6	40	6	26				5790
6	41	6	28				7140
6	46	6	30				8900
6	252	6	30				8900
6	254	6	30				8900
6	255	6	30				8900
6	269	6	30	0			11400
6	473	6	30	0	0	0	8900
6	474	6	30	0	0	0	8900
6	475	6	30	0	0	0	8900
6	476	6	30	0	0	0	8900
6	477	6	30	0	0	0	8900
6	478	6	30	0	0	0	8900
6	521	6	30				8900
6	522	6	30				8900
6	523	6	30				8900
6	524	6	30				8900
6	525	6	30				8900
6	526	6	30				8900
7	1	7	10				1170
7	3	7	12				670
7	6	7	14				1170
7	7	7	16				1780
7	9	7	18				2320
7	11	7	20				3020
7	16	7	24				4970
7	17	7	26				5790
7	18	7	28				7140
7	20	7	28				7140
7	24	7	30				8900

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
