ID	SubID	Name	DoodadTemplateID	CostStamina	ProfessionID	RequireLevel	ToolItemType	ToolItemIndex	EquipmentType	PrepareFrame	PlayerExp	Exp	ExtendProfessionID1	ExtendExp1	ExtendProfessionID2	ExtendExp2	CreateItemTab	CreateItemIndex	CreateItemStackNum	BuffID	BuffLevel	Train	ScriptName
0	0	未知书籍	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	
2	1	沉香劈山上篇	573	2	8	20					4800	20	10	10					0				
2	2	沉香劈山下篇		2	8	20						20	10	10	6	15			0				
3	1	毒尸若兰		2	8	20						20	11	10					0	355	1		
4	1	万花茶典上篇		2	8	20						20	11	10			5	2704	1				
4	2	万花茶典下篇		2	8	20						20	11	10	7	15			0				
5	1	太公家教第一章		0	8	10						10	11	10					0				scripts\skill\生活技能\书籍\太公家教第一章任务触发.lua
5	2	太公家教第二章		1	8	10						10	11	10					0	355	1		
5	3	太公家教第三章		0	8	10						10	11	10					0				scripts\skill\生活技能\书籍\太公家教第三章任务触发.lua
5	4	太公家教第四章		1	8	10					4000	10	11	10					0				
5	5	太公家教第五章		0	8	10						10	11	10	8	5			0				
5	6	太公家教第六章		0	8	10						10	11	10	8	5			0				
5	7	太公家教第七章	547	1	8	10						10	11	10					0	355	1		
5	8	太公家教第八章		0	8	10						10	11	10					0				
6	1	古诗十九首上		0	8	10						10	11	10					0				
6	2	古诗十九首中		1	8	10					4000	10	11	10					0				
6	3	古诗十九首下		0	8	10						10	11	10	8	5			0				
7	1	千字文第一章		1	8	10						10	11	10					0	355	1		
7	2	千字文第二章		0	8	10						10	11	10	8	5			0				
7	3	千字文第三章		1	8	10					4000	10	11	10					0				
7	4	千字文第四章		0	8	10						10	11	10	8	5			0				
7	5	千字文第五章		0	8	10						10	11	10	8	5			0				
8	1	山河志第一章·疆域总说		0	8	10						10	11	10					0				
8	2	山河志第二章·京畿及关内道	548	0	8	10						10	11	10			5	2863	1				
8	3	山河志第三章·都畿及河南道		0	8	10						10	11	10			5	2863	1				
8	4	山河志第四章·河东及山南东道		0	8	10						10	11	10			5	2863	1				
8	5	山河志第五章·陇右及山南西道	549	1	8	10					4000	10	11	10					0				
8	6	山河志第六章·陇右及淮南道		1	8	10						10	11	10					0	355	1		
8	7	山河志第七章·江南东西二道		1	8	10					4000	10	11	10					0				
8	8	山河志第八章·剑南道及吐蕃		1	8	10					4000	10	11	10					0				
