ID	Name	CostStamina	ProfessionID	RequireLevel	RecipeLevel	NeedExpertise	RequireBranchID	RequireDoodad	ToolItemType	ToolItemIndex	PowerfulToolItemType	PowerfulToolItemIndex	EquipmentType	Exp	PrepareFrame	Belong	ResultOnLevel	RequireItemType1	RequireItemIndex1	RequireItemCount1	RequireItemType2	RequireItemIndex2	RequireItemCount2	RequireItemType3	RequireItemIndex3	RequireItemCount3	RequireItemType4	RequireItemIndex4	RequireItemCount4	RequireItemType5	RequireItemIndex5	RequireItemCount5	RequireItemType6	RequireItemIndex6	RequireItemCount6	RequireItemType7	RequireItemIndex7	RequireItemCount7	RequireItemType8	RequireItemIndex8	RequireItemCount8	CreateItemType1	CreateItemIndex1	CreateItemMin1	CreateItemMax1	CreateItemProbability1	CreateItemType2	CreateItemIndex2	CreateItemMin2	CreateItemMax2	CreateItemProbability2	CreateItemType3	CreateItemIndex3	CreateItemMin3	CreateItemMax3	CreateItemProbability3	CreateItemType4	CreateItemIndex4	CreateItemMin4	CreateItemMax4	CreateItemProbability4	CreateItemType5	CreateItemIndex5	CreateItemMin5	CreateItemMax5	CreateItemProbability5	CreateItemType6	CreateItemIndex6	CreateItemMin6	CreateItemMax6	CreateItemProbability6	CreateItemType7	CreateItemIndex7	CreateItemMin7	CreateItemMax7	CreateItemProbability7	CreateItemType8	CreateItemIndex8	CreateItemMin8	CreateItemMax8	CreateItemProbability8	_Quality	ScriptName	CoolDownID
0	Î´ÖªÅä·½	0	0	0	0		0	0	0	0	0	0	-1	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1	Í­¶§	2	6	10	10			343	0	0	0	0		2		120		5	3343	2																						5	3316	1	1	1048576																																					scripts/Craft/Include/Event.lua	
3	ºìÍ­Ñü´ø	7	6	10	10			343	0	0	0	0		9		80		5	3316	1	5	3313	1	5	0	0																7	1587	1	1	1048576																																					scripts/Craft/Include/Event.lua	
4	ºìÍ­»¤ÊÖ	7	6	10	10			343	0	0	0	0		9		90		5	3316	4	5	3252	2	5	0	0																7	1474	1	1	1048576																																					scripts/Craft/Include/Event.lua	
5	Í­Å¼	7	6	10	12			343	0	0	0	0		9		130		5	3316	5	5	3313	2	5	972	1																5	2578	1	2	1048576																																					scripts/Craft/Include/Event.lua	
9	ÁøÄ¾Ç¹	7	6	10	12			343	0	0	0	0		9		40		5	3316	4	5	977	1	5	979	2																6	898	1	1	104857	6	899	1	1	157286	6	900	1	1	314572	6	901	1	1	314572	6	902	1	1	104857	6	904	1	1	52432												scripts/Craft/Include/Event.lua	
10	ºìÍ­½£	7	6	10	12			343	0	0	0	0		9		30		5	3316	4	5	977	1	5	972	2																6	1016	1	1	104857	6	1017	1	1	157286	6	1018	1	1	314572	6	1019	1	1	314572	6	1020	1	1	104857	6	1021	1	1	52432												scripts/Craft/Include/Event.lua	
12	ºìÍ­Ë«½£	7	6	10	14			343	0	0	0	0		9		50		5	3316	1	5	3313	1	5	0	0	5	0	0													6	1078	1	1	104857	6	1079	1	1	157286	6	1080	1	1	314572	6	1081	1	1	314572	6	1082	1	1	104857	6	1083	1	1	52432												scripts/Craft/Include/Event.lua	
13	Ä¥Ê¯	7	6	10	14			343	0	0	0	0		9		110		5	3318	1																						5	2809	1	1	1048576																																					scripts/Craft/Include/Event.lua	
14	ÀÇº¿	25	6	10	14			343	0	0	0	0		31		40		5	3316	6	5	977	1	5	979	2	5	0	0	5	0	0	5	0	0							6	903	1	1	576716	6	906	1	1	314572	6	908	1	1	104857	6	910	1	1	52431																						scripts/Craft/Include/Event.lua	
