ID	Name	CostStamina	ProfessionID	RequireLevel	RecipeLevel	NeedExpertise	RequireBranchID	RequireDoodad	ToolItemType	ToolItemIndex	PowerfulToolItemType	PowerfulToolItemIndex	EquipmentType	Exp	PrepareFrame	Belong	ResultOnLevel	RequireItemType1	RequireItemIndex1	RequireItemCount1	RequireItemType2	RequireItemIndex2	RequireItemCount2	RequireItemType3	RequireItemIndex3	RequireItemCount3	RequireItemType4	RequireItemIndex4	RequireItemCount4	RequireItemType5	RequireItemIndex5	RequireItemCount5	RequireItemType6	RequireItemIndex6	RequireItemCount6	RequireItemType7	RequireItemIndex7	RequireItemCount7	RequireItemType8	RequireItemIndex8	RequireItemCount8	CreateItemType1	CreateItemIndex1	CreateItemMin1	CreateItemMax1	CreateItemProbability1	CreateItemType2	CreateItemIndex2	CreateItemMin2	CreateItemMax2	CreateItemProbability2	CreateItemType3	CreateItemIndex3	CreateItemMin3	CreateItemMax3	CreateItemProbability3	CreateItemType4	CreateItemIndex4	CreateItemMin4	CreateItemMax4	CreateItemProbability4	CreateItemType5	CreateItemIndex5	CreateItemMin5	CreateItemMax5	CreateItemProbability5	CreateItemType6	CreateItemIndex6	CreateItemMin6	CreateItemMax6	CreateItemProbability6	CreateItemType7	CreateItemIndex7	CreateItemMin7	CreateItemMax7	CreateItemProbability7	CreateItemType8	CreateItemIndex8	CreateItemMin8	CreateItemMax8	CreateItemProbability8	_Quality	ScriptName	CoolDownID
0	未知配方	0	0	0	0		0	0	0	0	0	0	-1	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1	下品止血散	7	7	10	10			344	0	0	0	0		9		10		5	3003	2	5	3006	1																			5	3034	1	1	1048576																																					scripts/Craft/Include/Event.lua	
3	下品活络散	7	7	10	12			344	0	0	0	0		9		10		5	3002	2	5	3006	1																			5	3035	1	1	1048576																																					scripts/Craft/Include/Event.lua	
4	下品长生散	19	7	10	12			344	0	0	0	0		23		30		5	3003	1	5	3004	1	5	3005	1																5	2754	1	2	1048576																																					scripts/Craft/Include/Event.lua	
5	下品聚魂散	19	7	10	14			344	0	0	0	0		23		20		5	3002	1	5	3006	2																			5	3039	1	1	1048576																																					scripts/Craft/Include/Event.lua	
6	下品护心散	7	7	10	14			344	0	0	0	0		9		20		5	3004	2	5	3006	1																			5	3036	1	2	1048576																																					scripts/Craft/Include/Event.lua	
7	下品强身散	7	7	10	16			344	0	0	0	0		9		20		5	3002	2	5	3006	1																			5	3038	1	1	1048576																																					scripts/Craft/Include/Event.lua	
8	下品凝神散	19	7	10	16			344	0	0	0	0		23		30		5	3002	1	5	3004	1	5	3005	1																5	2755	1	2	1048576																																					scripts/Craft/Include/Event.lua	
9	下品健骨散	19	7	10	18			344	0	0	0	0		23		20		5	3013	2	5	3006	1																			5	3047	1	1	1048576																																					scripts/Craft/Include/Event.lua	
10	下品万灵散	19	7	10	18			344	0	0	0	0		23		10		5	3002	1	5	3003	1	5	3004	1	5	3010	1	5	3006	1										5	3037	1	2	1048576																																					scripts/Craft/Include/Event.lua	
11	中品止血散	9	7	10	20			344	0	0	0	0		11		10		5	3012	2	5	3006	1																			5	3042	1	1	1048576																																					scripts/Craft/Include/Event.lua	
12	下品补筋散	25	7	10	20			344	0	0	0	0		31		20		5	3013	1	5	3006	2																			5	3046	1	1	1048576																																					scripts/Craft/Include/Event.lua	
14	下品金创散	25	7	10	24			344	0	0	0	0		31		30		5	3002	1	5	3013	1	5	979	1	5	3006	1													5	3043	1	2	1048576																																					scripts/Craft/Include/Event.lua	
15	太白丹	25	7	10	24			344	0	0	0	0		31		20		5	3012	1	5	3013	1	5	972	1	5	3006	1													5	2756	1	2	1048576																																					scripts/Craft/Include/Event.lua	
16	中品活络散	9	7	10	24			344	0	0	0	0		11		10		5	3013	2	5	3006	1																			5	3044	1	1	1048576																																					scripts/Craft/Include/Event.lua	
17	下品定痛散	25	7	10	26			344	0	0	0	0		31		30		5	3014	1	5	3013	1	5	3006	1																5	3049	1	1	1048576																																					scripts/Craft/Include/Event.lua	
18	中品长生散	9	7	10	28			344	0	0	0	0		11		30		5	3014	2	5	3005	1	5	0	0																5	2757	1	1	1048576																																					scripts/Craft/Include/Event.lua	
19	飞鱼丸	25	7	10	28			344	0	0	0	0		31		40		5	3014	3	5	3005	2	5	3012	2																5	3048	1	1	1048576																																					scripts/Craft/Include/Event.lua	
20	中品凝神散	25	7	10	28			344	0	0	0	0		31		30		5	3013	1	5	3014	1	5	3005	1																5	2758	1	2	1048576																																					scripts/Craft/Include/Event.lua	
21	下品逍遥散	25	7	10	28			344	0	0	0	0		31		40		5	3014	3	5	3010	2	5	3006	2																5	2759	1	1	1048576																																					scripts/Craft/Include/Event.lua	
22	下品玉露散	25	7	10	28			344	0	0	0	0		31		30		5	3014	2	5	979	1	5	3005	1																5	2760	1	1	1048576																																					scripts/Craft/Include/Event.lua	
24	避水银针	37	7	10	30			344	0	0	0	0		46		40		5	972	1	5	3012	2	5	3009	2																5	3050	1	1	1048576																																					scripts/Craft/Include/Event.lua	
25	下品闭气散	37	7	10	30			344	0	0	0	0		46		40		5	979	1	5	3004	2	5	3014	2	5	3005	2	5	0	0										5	3051	1	1	1048576																																					scripts/Craft/Include/Event.lua	
26	上品止血散	13	7	10	32			344	0	0	0	0		16		10		5	3018	2	5	3006	1	5	0	0																5	3054	1	1	1048576																																					scripts/Craft/Include/Event.lua	
27	上品活络散	37	7	10	34			344	0	0	0	0		46		10		5	3016	2	5	3013	1	5	3006	1																5	3053	1	1	1048576																																					scripts/Craft/Include/Event.lua	
28	中品万灵散	37	7	10	34			344	0	0	0	0		46		10		5	3018	1	5	3016	1	5	3010	1	5	3006	1													5	3055	1	1	1048576																																					scripts/Craft/Include/Event.lua	
29	中品金创散	37	7	10	34			344	0	0	0	0		46		30		5	3006	2	5	3013	2	5	979	1	5	0	0													5	3056	1	1	1048576																																					scripts/Craft/Include/Event.lua	
30	中品补筋散	13	7	10	36			344	0	0	0	0		16		20		5	3016	2	5	3006	1	5	0	0																5	3074	1	1	1048576																																					scripts/Craft/Include/Event.lua	
31	中品定痛散	37	7	10	36			344	0	0	0	0		46		30		5	3006	2	5	3016	2	5	972	1	5	0	0													5	3058	1	1	1048576																																					scripts/Craft/Include/Event.lua	
32	下品金元散	37	7	10	38			344	0	0	0	0		46		30		5	3017	2	5	3006	1	5	0	0																5	3059	1	1	1048576																																					scripts/Craft/Include/Event.lua	
33	下品化功散	37	7	10	38			344	0	0	0	0		46		40		5	3018	1	5	3004	1	5	3017	1	5	3006	1													5	2761	1	1	1048576																																					scripts/Craft/Include/Event.lua	
34	下品亢龙散	43	7	10	40			344	0	0	0	0		53		30		5	3006	2	5	3017	2	5	979	1	5	0	0													5	3061	1	1	1048576																																					scripts/Craft/Include/Event.lua	
35	中品护心散	15	7	10	40			344	0	0	0	0		18		20		5	3017	2	5	3006	1	5	0	0																5	3062	1	1	1048576																																					scripts/Craft/Include/Event.lua	
36	中品强身散	43	7	10	40			344	0	0	0	0		53		20		5	979	1	5	3018	2	5	3006	2																5	3063	1	1	1048576																																					scripts/Craft/Include/Event.lua	
37	中品聚魂散	43	7	10	40			344	0	0	0	0		53		20		5	972	1	5	3021	2	5	3006	2																5	3064	1	1	1048576																																					scripts/Craft/Include/Event.lua	
38	上品长生散	43	7	10	42			344	0	0	0	0		53		30		5	3018	1	5	3017	1	5	3005	1																5	2762	1	1	1048576																																					scripts/Craft/Include/Event.lua	
39	上品凝神散	43	7	10	42			344	0	0	0	0		53		30		5	3016	1	5	3017	1	5	3005	1																5	2763	1	1	1048576																																					scripts/Craft/Include/Event.lua	
40	中品健骨散	43	7	10	42			344	0	0	0	0		53		20		5	3006	4	5	3020	2	5	0	0																5	3075	1	1	1048576																																					scripts/Craft/Include/Event.lua	
