CubTabIndex	FodderMask	NPCID	AdultTabType1	AdultTabIndex1	AdultTabType2	AdultTabIndex2	AdultTabType3	AdultTabIndex3	MaxGrowthExpCoef	MaxFullMeasureCoef
0	0	0	8	32	8	32	8	32	0	1024
17046	1	18554	8	5752	8	5753	8	5754	1024	
17047	1	18552		5740		5741		5742	1024	
17048	1	18553	8	5746	8	5747	8	5748	1024	
17049	1	18555		5758		5759		5760	1024	
17050	1	18479		5585		5586		5587	1024	
17051	1	18545		5594		5605		5685	1024	
17052	1	18546		5692		5693		5694	1024	
17053	1	18547		5701		5702		5703	1024	
17054	1	18548		5710		5711		5712	1024	
17055	1	18549		5719		5720		5721	1024	
17056	1	18550		5728		5729		5730	1024	
17057	1	18551		5734		5735		5736	1024	
17132	1	18479		5588		5589		5590	1024	
17133	1	18479		5591		5592		5593	1024	
17134	1	18545		5686		5687		5688	1024	
17135	1	18545		5689		5690		5691	1024	
17136	1	18546		5695		5696		5697	1024	
17137	1	18546		5698		5699		5700	1024	
17138	1	18547		5704		5705		5706	1024	
17139	1	18547		5707		5708		5709	1024	
17140	1	18548		5713		5714		5715	1024	
17141	1	18548		5716		5717		5718	1024	
17142	1	18549		5722		5723		5724	1024	
17143	1	18549		5725		5726		5727	1024	
17144	1	18550		5731		5732		5733	1024	
17145	1	18551		5737		5738		5739	1024	
17146	1	18552		5743		5744		5745	1024	
17147	1	18553		5749		5750		5751	1024	
17148	1	18554		5755		5756		5757	1024	
17149	1	18555		5761		5762		5763	1024	
17150	1	18555		5764		5765		5766	1024	
17151	1	18555		5767		5768		5769	1024	
17156	1	18614		5779		5780		5781	1024	
17157	1	18615		5776		5777		5778	1024	
17393	1	18555		5873		5874		5875	1024	
17394	1	18554		5870		5871		5872	1024	
17395	520	19113		5880		5880		5880	1024	
17397	520	19114		5883		5883		5883	1024	
17398	522	19117		5885		5885		5885	1024	
17399	516	19115		5887		5887		5887	1024	
17400	514	19116		5888		5888		5888	1024	
17423	1	18553		5867		5868		5869	1024	
17424	1	18552		5864		5865		5866	1024	
17502	522	19117		5886		5886		5886	1024	
17503	520	19113		5881		5881		5881	1024	
17504	520	19113		5879		5879		5879	1024	
17505	520	19114		5882		5882		5882	1024	
17506	520	19114		5884		5884		5884	1024	
17701	524	19686		6977		6977		6977	512	
17702	524	19687		6978		6978		6978	512	
17703	524	19688		6979		6979		6979	512	
17704	524	19689		8002		8002		8002	1024	1400
18077	1	18555		5873		5874		5875	1024	
18596	524	21696		8003		8003		8003	1024	1400
20006	520	19113		10190		10190		10190	1024	
20007	522	25497		10192		10192		10192	1024	
20008	516	25404		10196		10196		10196	512	
20009	516	25404		10197		10197		10197	512	
20010	516	25404		10198		10198		10198	512	
20011	516	25404		10199		10199		10199	512	
20237	516	25404		10200		10200		10200	512	
20781	516	27010		10913		10913		10913	1024	
20782	520	27009		10914		10914		10914	1024	
21036	576	27587		10969		10969		10969	1024	
21284	516	27010		11108		11108		11108	1024	
21285	520	19113		11109		11109		11109	1024	
21286	520	19113		11110		11110		11110	1024	
21296	518	36022		11107		11107		11107	1024	
21382	1	36409		11641		11642		11643	1024	
21417	1	36409		11638		11639		11640	1024	
21418	1	36409		11635		11636		11637	1024	
21419	1	36409		11632		11633		11634	1024	
21876	520	19113		11777		11777		11777	1024	
21887	520	19113		11778		11778		11778	1024	
21888	516	36923		11780		11780		11780	1024	
21889	520	27009		11781		11781		11781	1024	
22540	520	19113		13054		13054		13054	1024	
22541	520	19113		13055		13055		13055	1024	
22542	516	40829		13056		13056		13056	512	
22543	516	40829		13057		13057		13057	512	
22544	516	40830		13058		13058		13058	512	
22545	516	40829		13059		13059		13059	512	
22725	1	18555		13094		13095		13096	1024	
22726	1	18555		13097		13098		13099	1024	
22727	1	18555		13100		13101		13102	1024	
22728	1	18555		13103		13104		13105	1024	
22729	1	18555		13106		13107		13108	1024	
22730	1	36409		13109		13110		13111	1024	
22731	1	36409		13112		13113		13114	1024	
22732	1	36409		13115		13116		13117	1024	
22733	1	36409		13118		13119		13120	1024	
22760	520	27009		13052		13052		13052	1024	
23368	520	27009		13224		13224		13224	1024	
23369	520	19113		13225		13225		13225	1024	
23370	520	19113		13226		13226		13226	1024	
23785	256	43648		13788		13788		13788	5514	4100
23871	520	19113		13910		13910		13910	1024	
23872	520	19113		13911		13911		13911	1024	
23873	520	27009		13909		13909		13909	1024	
25854	520	19113		13925		13925		13925	1024	
25855	520	19113		13926		13926		13926	1024	
25856	520	27009		13924		13924		13924	1024	
27751	516	55252		18286		18286		18286	1024	
27752	520	27009		18284		18284		18284	1024	

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
