ID	Name	MapName	Kind	Level	ClassID	CraftID	CanOperateEach	IsSelectable	RemoveDelay	ReviveDelay	OpenPrepareFrame	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	RepresentID	SprintRepresentID	MoneyMin	MoneyMax	MoneyDropRate	CanPick	BarText	Script	OverLootFrame	DynamicObstacle	ProgressID	IndependentDrop	IndependentDropCount	IndependentDropType	AreaBroadcast	IdentityVisiableID
0			3	1	0	0	0	1	2880	0	0		0		0		0		0		0		0		0		0		0		0	0	0	0	0	1048576	1			1440		-1		0	0		0
1	遗体	通用	2	1	0		1		5760	0	0																					1					1			2880							
2	快速消失遗体	通用	2	1	0				16	0	0																					1					1										
3	农具架	新手村	3	1	1		0		2880	1	80																					2					1										
4	农具架	新手村	3	1	1		0		2880	1	80																					2					1										
5	竹笋 	新手村	3	1	1		0		2880	60	80																					5					1	采集									
6	刀	新手村	3	1	1		0		2880	60	80																					6					1	拾取									
7	枪	新手村	3	1	1		0		2880	60	80																					7					1	拾取									
8	棍	新手村	3	1	1		0		2880	60	80																					8					1	拾取									
9	布娃娃	新手村	3	1	1		0		2880	1	80																					9					1	拾取									
10	草叉	新手村	3	1	1		0		2880	1	80																					10					1	拾取									
11	凝血草	新手村	3	1	1		0		2880	60	80																					11					1	采集									
12	麦穗	新手村	3	1	1		0		2880	60	80																					12					1	拾取									
13	箭矢用木材	新手村	3	1	1		0		2880	60	80																					13					1	拾取									
14	木材	新手村	3	1	1		0		2880	60	80																					14					1	拾取									
15	干材堆	新手村	3	1	1		1		2880	1	80																					15					1	拾取									
16	血衣	新手村	3	1	1		0		2880	1	80																					16					1	拾取									
17	水井	新手村	3	1	1		1		2880	1	80																					17					1	水井	scripts\Map\稻香村\doodad\水井.lua								
18	小箱子	新手村	3	1	1		0		2880	1	80																					18					1	打开									
19	土堆	新手村	3	1	1		0		2880	1	80																					19					1	打开									
20	野菜	新手村	7	1	1		0		2880	60	80	稻香村\yecai.tab	1																			20					1	采集									
21	粮草	新手村	3	1	1		0		2880	60	80																					21					1	拾取									
22	稻香村告示	新手村	4	1	1		0																									22					1										
23	路标	新手村	4	1	1		0																									23					1										
24	稻香村	新手村	4	1	1		0																									24					1										
25	任务表现火	新手村	8	1	1		0		2880	0	0																					25					1										
26	忠义亭	新手村	4	1	1		0																									22					1										
27	稻山野林	新手村	4	1	1		0																									23					1										
28	小镜湖	新手村	4	1	1		0																									23					1										
29	稻香神树	新手村	4	1	1		0																									23					1										
30	兰若寺	新手村	4	1	1		0																									23					1										
31	武场	新手村	4	1	1		0																									23					1										
34	茶树	万花	3	1	1		0		2880	60	80																					34					1	采集									
35	会及	万花	3	1	1		0		2880	60	80																					35					1	采集									
36	茶菇	万花	3	1	1		0		0	0	0																					70					1	拾取									
37	弦枫的遗体	万花	6	1	1		0		0	0	0																					37					1										
38	醉鱼草	万花	3	1	1		0		2880	60	80																					38					1	采集									
39	蓝实	万花	3	1	1		0		2880	60	80																					39					1	采集									
40	幽绿土壤	万花	3	1	1		0		2880	1	80																					40					1	挖掘									
41	竹枝	万花	3	1	1		0		2880	1	80																					41					1	拾取									
42	硝石	万花	3	1	1		0		2880	60	80																					42					1	拾取									
43	木炭	万花	3	1	1		0		2880	60	80																					43					1	拾取									
44	白轩藏画	万花	4	1	1		0		2880	1	80																					44					1	查看									
47	白轩之作	万花	8	1	1		0		2880	1	80																					47					1	拾取									
48	颜真卿藏字	万花	4	1	1		0		2880	1	80																					48					1										
51	猴儿酒	万花	3	1	1		0		2880	1	80																					51					1										
52	甑子	万花	3	1	1		0		2880	1	80																					52					1										
53	杵臼	万花	3	1	1		0		2880	1	80																					53					1	使用									
54	纹银茶碾	万花	3	1	1		0		2880	1	80																					54					1	使用									
55	装着水的碗	万花	7	1	1		0		2880	1	80																					55					1										
56	滚着沸水的风炉	万花	3	1	1		0		2880	1	80																					56					1										
57	钟乳石	万花	3	1	1		0		2880	1	80																					57					1										
58	上锁的木盒	万花	3	1	1		0		0	0	0																					58					1	打开									
59	一沓纸	万花	6	1	1		0		2880	1	80																					59					1										
60	白纸（案台）	万花	7	1	1		0		2880	1	80																					60					1										
61	面袋	万花	3	1	1		0		2880	1	80																					61					1	拾取									
62	刀	万花	3	1	1		0		2880	1	80																					62					1										
63	桃子	万花	3	1	1		0		2880	1	80																					63					1	拾取									
64	木锨	万花	3	1	1		0		2880	1	80																					64					1	拾取									
65	青鱼石	万花	3	1	1		0		2880	1	80	万花\qingyushi.tab	1																			65					1	拾取									
66	灵猴宝藏	万花	3	1	1		0		2880	1	80																					19					1	拾取									
67	朱丹果	万花	3	1	1		0		2880	60	80																					67					1	采集									
68	案台	万花	3	1	1		0		2880	1	80																					68					1	习字									
69	冷紫参	万花	3	1	1		0		2880	60	80																					69					1	采集									
70	七情菇	万花	3	1	1		1		16	60	80																					70					1	摧毁									
71	吊桥控制机关(峰嶂)	万花	3	1	1		0		2880	1	80																					18					1	摧毁									
72	吊桥控制机关(霞景)	万花	3	1	1		0		2880	1	80																					18					1	摧毁									
73	吊桥控制机关(寒雨)	万花	3	1	1		0		2880	1	80																					18					1	摧毁									
74	吊桥控制机关(纤麟)	万花	3	1	1		0		2880	1	80																					18					1	摧毁									
75	蕴藏毒液的机关	万花	3	1	1		0		80	60	80																					18					1	拆解	scripts\Map\万花\Doodad\毒液机关.lua								
76	玉佩碎片	万花	3	1	1		0		2880	60	80																					76					1	拾取									
77	圆石堆	万花	3	1	1		0		2880	1	80																					77					1	埋藏									
78	包铜的木箱	万花	3	1	1		0		2880	1	80																					18					1										
79	遗书	万花	7	1	1		0		2880	1	80																					59					1										
80	密藏的书信	万花	4	1	1		0		2880	1	80																					59					1	拾取									
81	龟溺	万花	3	1	1		0		2880	1	80																					612					1	拾取									
82	切磋用旗帜	通用	1	1	0			0	48000	1	0																					26					0										
83	碧玉潭	万花	1	1	1		0		2880	1	80																					83					1										
84	落星湖	万花	13	1	0	0	1	1	0	0	0		0		0		0		0													779		0	0	1048576	1										
85	万花山门	万花	1	1	1		0		2880	1	80																					85					1										
86	天机阁图部	万花	1	1	1		0		2880	1	80																					86					1										
87	藏药楼	万花	1	1	1		0		2880	1	80																					87					1										
88	紫竹门	万花	1	1	1		0		2880	1	80																					88					1	查看									
89	青木桥	万花	1	1	1		0		2880	1	80																					89					1										
90	天工阁	万花	1	1	1		0		2880	1	80																					90					1										
91	流云瀑	万花	1	1	1		0		2880	1	80																					91					1										
92	盘虬梯	万花	4	1	1		0		2880	1	80																					92					1										
93	赏星居	万花	13	1	0	0	1	1	0	0	0		0		0		0		0													779		0	0	1048576	1										
94	药王阁	万花	1	1	1		0		2880	1	80																					94					1										
95	岚天梯	万花	1	1	1		0		2880	1	80																					95					1										
96	觅星殿	万花	13	1	0	0	1	1	0	0	0		0		0		0		0													779		0	0	1048576	1										
97	邀月梯	万花	4	1	1		0		2880	1	80																					97					1										
98	岚天台	万花	1	1	1		0		2880	1	80																					98					1										
99	聋哑村	万花	13	1	0	0	1	1	0	0	0		0		0		0		0													779		0	0	1048576	1										
100	水月宫	万花	13	1	0	0	1	1	0	0	0		0		0		0		0													779		0	0	1048576	1										
101	摘星楼	万花	13	1	0	0	1	1	0	0	0		0		0		0		0													779		0	0	1048576	1										
102	仙迹岩	万花	13	1	0	0	1	1	0	0	0		0		0		0		0													779		0	0	1048576	1										
103	千机阁	万花	13	1	0	0	1	1	0	0	0		0		0		0		0													779		0	0	1048576	1										
104	拟星台	万花	1	1	1		0		2880	1	80																					104					1										
105	凌云梯	万花	4	1	1		0		2880	1	80																					105					1										
106	路标	万花	4	1	1		0		2880	1	80																					23					1										
124	土堆	洛阳	3	1	1		0		2880	150	80																					403					0		scripts\Map\洛阳\doodad\木牌.lua								
126	红耳菇	洛阳	3	1	1		0		2880	60	80																					398					1	采摘									
128	血印石	洛阳	3	1	1		0		2880	1	160																					426					0	擦拭	scripts\Map\洛阳\doodad\血印石.lua								
129	泥陶娃娃	洛阳	3	1	1		1		2880	1	80																					399					1	拾取									
130	竹枝笔杆	洛阳	3	1	1		0		2880	150	80																					400					1	拾取									
131	干燥树枝	洛阳	3	1	1		0		16	60	80																					155					1	拾取									
132	燃烧的物资	洛阳	3	1	1		0		2880	60	80																					401					1										
133	装有兵符的木盒	洛阳	3	1	1		0		2880	1	80																					402					1	打开									
134	烧焦的干草堆	扬州	3						4800	1	80																					28					1	寻找									
135	青笋	扬州	3	1	1		0		2880	60	80																					181					1	采摘									
136	矮树桩	纯阳	7	1	1		1		20	60	24																					1257					1	劈开	scripts\Map\纯阳\doodad\矮树桩.lua								
137	劈开的木柴	纯阳	7	1	1		1		2880		80	纯阳\pikaidemuchai.tab	1																			1264					1	拾取									
138	达摩剑法	少林	8	1	1	0	0	1	2880	0	80		0		0		0		0													1001		0	0	1048576	1	打开经书盒									
139	易筋经	少林	8	1	1				2880		80																					245					1	打开经书盒									
140	稻穗	新手村	3	1	1		0		2880	60	80																					12					1	拾取									
141	道梗	新手村	3	1	1		0		2880	60	80																					12					1	拾取									
142	粮食包	新手村	3	1	1		0		2880	60	80																					21					1	拾取									
143	稻草人	新手村	3	1	1		0		2880	60	80																					13022					1	拾取									
144	草垛	新手村	3	1	1		1		2880	1	80																					8016					1	点燃	scripts\Map\稻香村\doodad\草垛.lua								
145	残碑·壹	万花	3	1	1		0		2880	1	80	万花\canbei1.tab	1																			1106					1	查看									
146	木桩遗体	新手村	2	1	1		0		48																							1					1	采集		48							
147	蜀棋	万花	3	1	1		0		2880	60	80																					82					1	拾取									
148	魏棋	万花	3	1	1		0		2880	60	80																					107					1	拾取									
149	大侠墓里的包裹	新手村	3	1	0	0	0	1	2880	0	80		0		0		0		0													9233		0	0	1048576	1	打开	scripts\Map\稻香村\doodad\大侠墓.lua								
150	闪闪发光的石头	扬州	6	1	1		0		2880	1	80																					150					1	拾取									
151	红衣圣女雕像	扬州	6	1	1		0		2880	150	1																					151					1	瞻仰									
152	官府告示牌	扬州	3	1	1		0		2880	150																						152					1	阅读									
153	公堂告示	扬州	6	1	1		0		2880	150																						153					1										
154	商会的货物	扬州	3	1	1		0		2880	60	80																					154					1	拾取									
155	锡铁矿	扬州	3	1	1		0		2880	60	80																					155					1	开采									
156	红丝带	扬州	3	1	1		0		2880	1	80																					156					1	拿取									
157	被夺的粮食	扬州	3	1	1		0		2880	60	80																					157					1	拾取									
158	干枯的树枝	扬州	3	1	1		0		2880	60	80																					158					1	拾取									
159	行脚商人的包裹	扬州	3	1	1		0		2880	1	80																					159					1	拾取									
161	阳春河藻	扬州	3	1	1		0		2880	60	80																					161					1	采摘									
162	非常细的河沙	扬州	3	1	1		0		2880	60	80																					162					1	捞取									
163	书生的佩剑	扬州	3	1	1		0		2880	1	80																					163					1	拾取									
164	醉云	扬州	3	1	1		0		2880	60	80																					164					1	采取									
165	沉船货物	扬州	3	1	1		0		2880	60	80																					165					1	打捞									
166	童猎户的蛇柄斧	扬州	3	1	1		0		2880	60	80																					166					1	拾取									
167	萤火虫	扬州	3	1	1		0		2880	60	80																					167					1	捕捉									
168	装漆器的大箱子	扬州	3	1	1		0		2880	1	80																					168					1	打开									
169	稻草	扬州	3	1	1		0		2880	60	80																					169					1	拾取									
170	春不老	扬州	3	1	1		0		2880	60	80																					170					1	拿取									
171	百炼铜矿	扬州	3	1	1		0		2880	60	80																					171					1	开采									
172	横倒的樟木	扬州	3	1	1		0		2880	60	80																					172					1	拾取									
