ID	7daysRewards	7days1	Permanent0	Permanent1	PermanentFree	Limittype	Limitprice0	Limitprice1	LimitpriceFree	StartTime	EndTime	Discount	DisStartTime	DisEndTime	DisRoleTypeMask	CanFreeTryOn	NeedVIPClass
0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	100	-1	-1		0	0
13	24	-1	-1	4000	-1	-1	-1	-1	-1	-1	-1	100	-1	-1		0	
14	4	-1	-1	500	-1	-1	-1	-1	-1	-1	-1	100	-1	-1		0	
15	4	-1	-1	500	-1	-1	-1	-1	-1	-1	-1	100	-1	-1		0	
16	4	-1	-1	500	-1	-1	-1	-1	-1	-1	-1	100	-1	-1		0	
17	24	-1	-1	4000	-1	-1	-1	-1	-1	-1	-1	100	-1	-1		0	
18	4	-1	-1	500	-1	-1	-1	-1	-1	-1	-1	100	-1	-1		0	
19	4	-1	-1	500	-1	-1	-1	-1	-1	-1	-1	100	-1	-1		0	
20	4	-1	-1	500	-1	-1	-1	-1	-1	-1	-1	100	-1	-1		0	
37	24	-1	-1	4000	-1	-1	-1	-1	-1	-1	-1	100	-1	-1		0	
38	4	-1	-1	500	-1	-1	-1	-1	-1	-1	-1	100	-1	-1		0	
39	4	-1	-1	500	-1	-1	-1	-1	-1	-1	-1	100	-1	-1		0	
40	4	-1	-1	500	-1	-1	-1	-1	-1	-1	-1	100	-1	-1		0	
41	24	-1	-1	4000	-1	-1	-1	-1	-1	-1	-1	100	-1	-1		0	
42	4	-1	-1	500	-1	-1	-1	-1	-1	-1	-1	100	-1	-1		0	
43	4	-1	-1	500	-1	-1	-1	-1	-1	-1	-1	100	-1	-1		0	
44	4	-1	-1	500	-1	-1	-1	-1	-1	-1	-1	100	-1	-1		0	
49	24	-1	-1	4000	-1	-1	-1	-1	-1								
50	4	-1	-1	500	-1	-1	-1	-1	-1	-1	-1	100	-1	-1		0	
51	4	-1	-1	500	-1	-1	-1	-1	-1	-1	-1	100	-1	-1		0	
52	4	-1	-1	500	-1	-1	-1	-1	-1	-1	-1	100	-1	-1		0	
53	24	-1	-1	4000	-1	-1	-1	-1	-1	-1	-1	100	-1	-1		0	
54	4	-1	-1	500	-1	-1	-1	-1	-1	-1	-1	100	-1	-1		0	
55	4	-1	-1	500	-1	-1	-1	-1	-1	-1	-1	100	-1	-1		0	
56	4	-1	-1	500	-1	-1	-1	-1	-1	-1	-1	100	-1	-1		0	
61	24	-1	-1	4000	-1	-1	-1	-1	-1	-1	-1	100	-1	-1		0	
62	4	-1	-1	500	-1	-1	-1	-1	-1	-1	-1	100	-1	-1		0	
63	4	-1	-1	500	-1	-1	-1	-1	-1	-1	-1	100	-1	-1		0	
64	4	-1	-1	500	-1	-1	-1	-1	-1	-1	-1	100	-1	-1		0	
92	24	-1	-1	4000	-1	-1	-1	-1	-1								
93	4	-1	-1	500	-1	-1	-1	-1	-1								
94	4	-1	-1	500	-1	-1	-1	-1	-1								
95	4	-1	-1	500	-1	-1	-1	-1	-1								
96	14	-1	-1	2500	-1	-1	-1	-1	-1								
97	24	-1	-1	4000	-1	-1	-1	-1	-1								
98	4	-1	-1	500	-1	-1	-1	-1	-1								
99	4	-1	-1	500	-1	-1	-1	-1	-1								
100	4	-1	-1	500	-1	-1	-1	-1	-1								
101	14	-1	-1	2500	-1	-1	-1	-1	-1								
122	24	-1	-1	4000	-1	-1	-1	-1	-1								
123	4	-1	-1	500	-1	-1	-1	-1	-1								
124	4	-1	-1	500	-1	-1	-1	-1	-1								
125	4	-1	-1	500	-1	-1	-1	-1	-1								
126	14	-1	-1	2500	-1	-1	-1	-1	-1								
127	24	-1	-1	4000	-1	-1	-1	-1	-1								
128	4	-1	-1	500	-1	-1	-1	-1	-1								
129	4	-1	-1	500	-1	-1	-1	-1	-1								
130	4	-1	-1	500	-1	-1	-1	-1	-1								
131	14	-1	-1	2500	-1	-1	-1	-1	-1								
137	24	-1	-1	4000	-1	-1	-1	-1	-1								
138	4	-1	-1	500	-1	-1	-1	-1	-1								
139	4	-1	-1	500	-1	-1	-1	-1	-1								
140	4	-1	-1	500	-1	-1	-1	-1	-1								
141	14	-1	-1	2500	-1	-1	-1	-1	-1								
142	24	-1	-1	4000	-1	-1	-1	-1	-1								
143	4	-1	-1	500	-1	-1	-1	-1	-1								
144	4	-1	-1	500	-1	-1	-1	-1	-1								
145	4	-1	-1	500	-1	-1	-1	-1	-1								
146	14	-1	-1	2500	-1	-1	-1	-1	-1								
152	24	-1	-1	4000	-1	-1	-1	-1	-1								
153	4	-1	-1	500	-1	-1	-1	-1	-1								
154	4	-1	-1	500	-1	-1	-1	-1	-1								
155	4	-1	-1	500	-1	-1	-1	-1	-1								
