Type	ValueMin	ValueMax
0	-128	82
1	-15	34
2	-80	70
3	-95	71
4	-105	127
5	-128	127
6	-50	65
7	-47	126
8	-84	46
9	-40	38
10	-115	61
11	-65	67
12	-128	109
13	-128	10
14	-128	33
15	-42	36
16	-67	126
17	-128	127
18	-128	126
19	-61	72
20	-72	27
21	-50	74
22	-10	10
23	-17	7
24	-50	6
25	-40	61
26	-51	74
27	-31	97
28	-36	23
29	-5	60
30	-38	48
31	-10	89
32	-22	33
33	-22	33
34	-85	10
35	-63	33
36	-10	38
37	-91	38
38	-10	25
39	-28	32
40	-85	59
41	-128	127
42	-128	44
43	-66	49
44	-43	15
45	-36	95
46	-28	71
47	-128	46
48	-63	101

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
