Type	ValueMin	ValueMax
0	-116	36
1	-32	33
2	-80	65
3	-62	22
4	-128	126
5	-44	127
6	-53	18
7	-43	39
8	-24	76
9	-46	26
10	-51	48
11	-43	52
12	-128	51
13	-29	37
14	-80	33
15	-92	18
16	-24	126
17	-128	25
18	-40	126
19	-53	24
20	-17	59
21	-66	18
22	-10	10
23	-29	32
24	-29	42
25	-38	22
26	-48	33
27	-62	23
28	-28	33
29	-29	32
30	-53	14
31	-73	40
32	-33	33
33	-33	33
34	-85	20
35	-78	6
36	-16	23
37	-53	38
38	-4	27
39	-25	28
40	-3	5
41	-63	83
42	-48	27
43	-62	91
44	-43	18
45	-36	61
46	-25	56
47	-74	46
48	-57	112

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
