Type	ValueMin	ValueMax
0	-128	127
1	-128	127
2	-128	127
3	-128	127
4	-128	127
5	-128	127
6	-128	127
7	-128	127
8	-128	127
9	-128	127
10	-128	127
11	-128	127
12	-128	127
13	-128	127
14	-128	127
15	-128	127
16	-128	127
17	-128	127
18	-128	127
19	-128	127
20	-128	127
21	-128	127
22	-128	127
23	-128	127
24	-128	127
25	-128	127
26	-128	127
27	-128	127
28	-128	127
29	-128	127
30	-128	127
31	-128	127
32	-128	127
33	-128	127
34	-128	127
35	-128	127
36	-128	127
37	-128	127
38	-128	127
39	-128	127
40	-128	127
41	-128	127
42	-128	127
43	-128	127
44	-128	127
45	-128	127
46	-128	127
47	-128	127
48	-128	127

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
