FellowPetIndex	NpcTemplateID	ItemTabType	ItemTabIndex	Type	Score
1	19122	8	5879	1	33
2	19123	8	5880	1	30
3	19124	8	5881	1	30
4	19125	8	5882	1	17
5	19126	8	5883	1	20
6	19127	8	5884	1	40
7	19128	8	5885	2	17
8	19129	8	5886	2	23
9	19130	8	5887	3	62
10	19131	8	5888	2	40
11	6823	8	7052	3	60
12	10222	8	7053	3	50
13	10489	8	7054	3	50
14	10221	8	7055	3	50
15	10488	8	7056	3	50
16	10417	8	7057	3	40
17	10223	8	7058	3	40
18	10229	8	7059	4	50
19	10348	8	7060	4	60
20	14456	8	7061	2	50
21	16343	8	7062	3	50
22	17200	8	7063	4	50
23	17201	8	7064	4	50
24	17202	8	7065	4	50
25	17189	8	7066	4	60
26	16607	8	7067	4	60
27	16644	8	7068	4	60
28	16608	8	7069	4	60
29	15561	8	7070	4	45
30	15559	8	7071	4	45
31	15550	8	7072	4	45
32	15560	8	7073	4	45
33	16497	8	7074	3	0
34	19685	8	7075	3	0
35	19682	8	6977	3	45
36	19683	8	6978	3	45
37	19684	8	6979	3	45
38	19114	8	7092	3	60
39	19115	8	7093	3	57
40	19113	8	7094	1	43
41	21078	8	8000	1	60
42	21062	8	8001	1	60
43	21060	8	8002	1	50
44	21061	8	8003	1	50
45	24446	8	10189	3	60
46	24447	8	10190	1	30
47	24448	8	10191	1	33
48	24449	8	10192	2	37
49	24450	8	10193	3	43
50	24451	8	10194	3	50
51	24452	8	10195	3	50
52	24453	8	10196	2	45
53	24454	8	10197	2	45
54	24455	8	10198	2	45
55	24456	8	10199	2	45
56	24457	8	10200	2	45
57	26937	8	10912	3	50
58	26938	8	10913	3	33
59	26939	8	10914	1	20
60	26940	8	10915	3	3
61	27585	8	10969	4	50
62	27586	8	10970	4	60
63	27621	8	11005	4	0
64	30486	8	11107	3	57
65	30487	8	11108	3	43
66	30564	8	11112	2	0
67	30599	8	11113	2	60
68	30600	8	11343	3	50
69	30605	8	11344	2	60
70	30618	8	11109	1	30
71	30616	8	11110	1	30
72	30619	8	11111	1	10
73	36271	8	11621	3	50
74	36472	8	11648	3	50
75	36564	8	11660	2	60
76	36768	8	11777	1	30
77	36769	8	11778	1	30
78	36721	8	11779	3	60
79	36722	8	11780	3	57
80	36723	8	11781	1	43
81	37033	8	11807	2	60
82	37691	8	13051	3	60
83	37694	8	13052	1	43
84	37692	8	13053	3	43
85	37696	8	13054	1	30
86	37697	8	13055	1	30
87	37681	8	13056	3	45
88	37682	8	13057	3	45
89	37684	8	13058	3	45
90	37685	8	13059	3	45
91	37686	8	13060	3	0
92	37687	8	13147	3	0
93	41755	8	13168	3	50
94	41756	8	13169	3	50
95	41757	8	13170	3	60
96	42392	8	13221	3	60
97	42396	8	13222	3	60
98	37693	8	13223	2	43
99	42393	8	13224	1	43
100	42394	8	13225	1	30
101	42395	8	13226	1	30
102	42397	8	13227	4	0
103	42398	8	13228	4	0
104	42399	8	13229	4	0
105	42400	8	13230	4	0
106	42401	8	13231	4	0
107	42863	8	13737	4	0
108	42865	8	13706	3	55
109	43829	8	13907	3	60
110	43713	8	13908	3	60
111	44049	8	13909	1	43
112	44050	8	13910	1	30
113	44051	8	13911	1	30
114	44052	8	13912	3	60
115	44053	8	13913	3	60
116	45189	8	13918	3	0
117	45191	8	13919	3	43
118	45111	8	13916	4	60
119	46202	8	13920	2	60
127	47388	8	13928	3	0
128	47863	8	13921	2	43
129	47866	8	13922	3	60
130	47875	8	13923	1	50
131	47877	8	13924	1	43
132	47879	8	13925	1	30
133	47880	8	13926	1	30
134	47881	8	13927	3	43
135	47893	8	13929	3	45
136	47894	8	13930	3	45
137	47895	8	13931	3	45
138	47896	8	13932	3	45
139	47897	8	13933	3	45
140	47898	8	13934	3	45
141	50181	8	13935	3	0
142	50677	8	13936	3	60
143	50700	8	16874	3	50
144	50963	8	16875	3	0
145	50977	8	16876	3	43
146	50979	8	16877	2	43
147	51033	8	16878	4	60
148	51085	8	16879	3	50
149	51032	8	16880	3	60
150	51086	8	16881	2	45
