ForceID	JumpCount	TotalFrame	DoublePlayer	Frame0	VelocityXY0	VelocityZ0	DirectionXY0	Frame1	VelocityXY1	VelocityZ1	DirectionXY1	Frame2	VelocityXY2	VelocityZ2	DirectionXY2	Frame3	VelocityXY3	VelocityZ3	DirectionXY3	Frame4	VelocityXY4	VelocityZ4	DirectionXY4	Frame5	VelocityXY5	VelocityZ5	DirectionXY5	Frame6	VelocityXY6	VelocityZ6	DirectionXY6	Frame7	VelocityXY7	VelocityZ7	DirectionXY7	Frame8	VelocityXY8	VelocityZ8	DirectionXY8	Frame9	VelocityXY9	VelocityZ9	DirectionXY9	Frame10	VelocityXY10	VelocityZ10	DirectionXY10	Frame11	VelocityXY11	VelocityZ11	DirectionXY11	Frame12	VelocityXY12	VelocityZ12	DirectionXY12	Frame13	VelocityXY13	VelocityZ13	DirectionXY13	Frame14	VelocityXY14	VelocityZ14	DirectionXY14	Frame15	VelocityXY15	VelocityZ15	DirectionXY15	Frame16	VelocityXY16	VelocityZ16	DirectionXY16	Frame17	VelocityXY17	VelocityZ17	DirectionXY17	Frame18	VelocityXY18	VelocityZ18	DirectionXY18	Frame19	VelocityXY19	VelocityZ19	DirectionXY19	Frame20	VelocityXY20	VelocityZ20	DirectionXY20	Frame21	VelocityXY21	VelocityZ21	DirectionXY21	Frame22	VelocityXY22	VelocityZ22	DirectionXY22	Frame23	VelocityXY23	VelocityZ23	DirectionXY23	Frame24	VelocityXY24	VelocityZ24	DirectionXY24	Frame25	VelocityXY25	VelocityZ25	DirectionXY25	Frame26	VelocityXY26	VelocityZ26	DirectionXY26	Frame27	VelocityXY27	VelocityZ27	DirectionXY27	Frame28	VelocityXY28	VelocityZ28	DirectionXY28	Frame29	VelocityXY29	VelocityZ29	DirectionXY29	Frame30	VelocityXY30	VelocityZ30	DirectionXY30	Frame31	VelocityXY31	VelocityZ31	DirectionXY31	Frame32	VelocityXY32	VelocityZ32	DirectionXY32	Frame33	VelocityXY33	VelocityZ33	DirectionXY33	Frame34	VelocityXY34	VelocityZ34	DirectionXY34	Frame35	VelocityXY35	VelocityZ35	DirectionXY35	Frame36	VelocityXY36	VelocityZ36	DirectionXY36	Frame37	VelocityXY37	VelocityZ37	DirectionXY37	Frame38	VelocityXY38	VelocityZ38	DirectionXY38	Frame39	VelocityXY39	VelocityZ39	DirectionXY39	Frame40	VelocityXY40	VelocityZ40	DirectionXY40	Frame41	VelocityXY41	VelocityZ41	DirectionXY41	Frame42	VelocityXY42	VelocityZ42	DirectionXY42	Frame43	VelocityXY43	VelocityZ43	DirectionXY43	Frame44	VelocityXY44	VelocityZ44	DirectionXY44	Frame45	VelocityXY45	VelocityZ45	DirectionXY45	Frame46	VelocityXY46	VelocityZ46	DirectionXY46	Frame47	VelocityXY47	VelocityZ47	DirectionXY47	Frame48	VelocityXY48	VelocityZ48	DirectionXY48	Frame49	VelocityXY49	VelocityZ49	DirectionXY49	Frame50	VelocityXY50	VelocityZ50	DirectionXY50	Frame51	VelocityXY51	VelocityZ51	DirectionXY51	Frame52	VelocityXY52	VelocityZ52	DirectionXY52	Frame53	VelocityXY53	VelocityZ53	DirectionXY53	Frame54	VelocityXY54	VelocityZ54	DirectionXY54	Frame55	VelocityXY55	VelocityZ55	DirectionXY55	Frame56	VelocityXY56	VelocityZ56	DirectionXY56	Frame57	VelocityXY57	VelocityZ57	DirectionXY57	Frame58	VelocityXY58	VelocityZ58	DirectionXY58	Frame59	VelocityXY59	VelocityZ59	DirectionXY59	Frame60	VelocityXY60	VelocityZ60	DirectionXY60	Frame61	VelocityXY61	VelocityZ61	DirectionXY61	Frame62	VelocityXY62	VelocityZ62	DirectionXY62	Frame63	VelocityXY63	VelocityZ63	DirectionXY63	Frame64	VelocityXY64	VelocityZ64	DirectionXY64	Frame65	VelocityXY65	VelocityZ65	DirectionXY65	Frame66	VelocityXY66	VelocityZ66	DirectionXY66	Frame67	VelocityXY67	VelocityZ67	DirectionXY67	Frame68	VelocityXY68	VelocityZ68	DirectionXY68	Frame69	VelocityXY69	VelocityZ69	DirectionXY69	Frame70	VelocityXY70	VelocityZ70	DirectionXY70	Frame71	VelocityXY71	VelocityZ71	DirectionXY71	Frame72	VelocityXY72	VelocityZ72	DirectionXY72	Frame73	VelocityXY73	VelocityZ73	DirectionXY73	Frame74	VelocityXY74	VelocityZ74	DirectionXY74	Frame75	VelocityXY75	VelocityZ75	DirectionXY75	Frame76	VelocityXY76	VelocityZ76	DirectionXY76	Frame77	VelocityXY77	VelocityZ77	DirectionXY77	Frame78	VelocityXY78	VelocityZ78	DirectionXY78	Frame79	VelocityXY79	VelocityZ79	DirectionXY79	Frame80	VelocityXY80	VelocityZ80	DirectionXY80	Frame81	VelocityXY81	VelocityZ81	DirectionXY81	Frame82	VelocityXY82	VelocityZ82	DirectionXY82	Frame83	VelocityXY83	VelocityZ83	DirectionXY83	Frame84	VelocityXY84	VelocityZ84	DirectionXY84	Frame85	VelocityXY85	VelocityZ85	DirectionXY85	Frame86	VelocityXY86	VelocityZ86	DirectionXY86	Frame87	VelocityXY87	VelocityZ87	DirectionXY87	Frame88	VelocityXY88	VelocityZ88	DirectionXY88	Frame89	VelocityXY89	VelocityZ89	DirectionXY89	Frame90	VelocityXY90	VelocityZ90	DirectionXY90	Frame91	VelocityXY91	VelocityZ91	DirectionXY91	Frame92	VelocityXY92	VelocityZ92	DirectionXY92	Frame93	VelocityXY93	VelocityZ93	DirectionXY93	Frame94	VelocityXY94	VelocityZ94	DirectionXY94	Frame95	VelocityXY95	VelocityZ95	DirectionXY95	Frame96	VelocityXY96	VelocityZ96	DirectionXY96	Frame97	VelocityXY97	VelocityZ97	DirectionXY97	Frame98	VelocityXY98	VelocityZ98	DirectionXY98	Frame99	VelocityXY99	VelocityZ99	DirectionXY99	Frame100	VelocityXY100	VelocityZ100	DirectionXY100	Frame101	VelocityXY101	VelocityZ101	DirectionXY101	Frame102	VelocityXY102	VelocityZ102	DirectionXY102	Frame103	VelocityXY103	VelocityZ103	DirectionXY103	Frame104	VelocityXY104	VelocityZ104	DirectionXY104	Frame105	VelocityXY105	VelocityZ105	DirectionXY105	Frame106	VelocityXY106	VelocityZ106	DirectionXY106	Frame107	VelocityXY107	VelocityZ107	DirectionXY107	Frame108	VelocityXY108	VelocityZ108	DirectionXY108	Frame109	VelocityXY109	VelocityZ109	DirectionXY109	Frame110	VelocityXY110	VelocityZ110	DirectionXY110	Frame111	VelocityXY111	VelocityZ111	DirectionXY111	Frame112	VelocityXY112	VelocityZ112	DirectionXY112	Frame113	VelocityXY113	VelocityZ113	DirectionXY113	Frame114	VelocityXY114	VelocityZ114	DirectionXY114	Frame115	VelocityXY115	VelocityZ115	DirectionXY115	Frame116	VelocityXY116	VelocityZ116	DirectionXY116	Frame117	VelocityXY117	VelocityZ117	DirectionXY117	Frame118	VelocityXY118	VelocityZ118	DirectionXY118	Frame119	VelocityXY119	VelocityZ119	DirectionXY119	Frame120	VelocityXY120	VelocityZ120	DirectionXY120	Frame121	VelocityXY121	VelocityZ121	DirectionXY121	Frame122	VelocityXY122	VelocityZ122	DirectionXY122	Frame123	VelocityXY123	VelocityZ123	DirectionXY123	Frame124	VelocityXY124	VelocityZ124	DirectionXY124	Frame125	VelocityXY125	VelocityZ125	DirectionXY125	Frame126	VelocityXY126	VelocityZ126	DirectionXY126	Frame127	VelocityXY127	VelocityZ127	DirectionXY127	Frame128	VelocityXY128	VelocityZ128	DirectionXY128
9	0	17	0	0	150	150	0	1	107	844	0	2	100	517	0	3	95	357	0	4	91	252	0	5	87	174	0	6	83	114	0	7	80	64	0	8	77	22	0	9	73	-32	0	10	70	-102	0	11	67	-170	0	12	63	-238	0	13	59	-307	0	14	55	-382	0	15	51	-470	0	16	46	-645	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																
9	0	24	1	0	150	150	0	1	18	255	0	2	18	207	0	3	18	176	0	4	18	154	0	5	18	136	0	6	18	120	0	7	18	106	0	8	18	92	0	9	18	78	0	10	18	64	0	11	18	47	0	12	18	30	0	13	18	21	0	14	18	13	0	15	18	6	0	16	18	-1	0	17	18	-7	0	18	18	-13	0	19	18	-19	0	20	18	-24	0	21	18	-29	0	22	18	-34	0	23	18	-38	0																																																																																																																																																																																																																																																																																																																																																																																																																																				
9	1	38	0	0	150	150	0	1	141	1384	0	2	148	1367	0	3	154	1344	0	4	160	1315	0	5	165	1278	0	6	169	1231	0	7	173	1173	0	8	176	1103	0	9	179	1021	0	10	181	928	0	11	182	826	0	12	183	718	0	13	183	609	0	14	183	503	0	15	181	404	0	16	180	316	0	17	177	239	0	18	174	174	0	19	171	119	0	20	167	75	0	21	162	39	0	22	156	10	0	23	150	-13	0	24	143	-30	0	25	136	-44	0	26	128	-55	0	27	120	-62	0	28	110	-68	0	29	101	-71	0	30	90	-74	0	31	79	-75	0	32	68	-75	0	33	55	-74	0	34	42	-73	0	35	29	-72	0	36	15	-69	0	37	2	-67	0																																																																																																																																																																																																																																																																																																																																																																												
9	1	24	1	0	150	150	0	1	68	957	0	2	68	775	0	3	68	661	0	4	68	578	0	5	68	510	0	6	68	452	0	7	68	398	0	8	68	346	0	9	68	294	0	10	68	239	0	11	68	178	0	12	68	113	0	13	68	77	0	14	68	49	0	15	68	23	0	16	68	-3	0	17	68	-27	0	18	68	-49	0	19	68	-70	0	20	68	-90	0	21	68	-109	0	22	68	-126	0	23	68	-142	0																																																																																																																																																																																																																																																																																																																																																																																																																																				
9	2	39	0	0	150	150	0	1	10	-468	0	2	247	1809	-1	3	273	1564	-3	4	186	1013	1	5	182	976	0	6	172	910	0	7	157	811	0	8	136	679	0	9	113	532	0	10	112	486	1	11	116	448	0	12	110	383	0	13	105	329	-1	14	121	358	-1	15	156	468	0	16	150	403	0	17	147	376	0	18	146	367	0	19	143	344	0	20	137	308	0	21	128	269	0	22	102	123	0	23	91	118	0	24	107	272	0	25	109	314	-1	26	107	395	0	27	98	435	0	28	58	27	0	29	45	-110	0	30	50	-167	0	31	58	-181	1	32	56	-210	0	33	54	-230	0	34	52	-242	0	35	48	-244	0	36	41	-238	0	37	30	-218	0	38	16	-176	-1																																																																																																																																																																																																																																																																																																																																																																								
9	2	18	1	0	150	150	0	1	124	1749	0	2	124	1414	0	3	124	1205	0	4	124	1049	0	5	124	921	0	6	124	806	0	7	124	696	0	8	124	586	0	9	124	468	0	10	124	336	0	11	124	195	0	12	124	143	0	13	124	103	0	14	124	58	0	15	124	8	0	16	124	-45	0	17	124	-99	0																																																																																																																																																																																																																																																																																																																																																																																																																																																												
9	3	54	0	0	150	150	0	1	52	213	0	2	52	213	0	3	104	752	0	4	165	1443	0	5	168	1501	0	6	161	1385	0	7	146	1094	0	8	120	629	0	9	103	331	0	10	102	314	0	11	100	296	0	12	99	279	0	13	98	261	0	14	96	243	0	15	95	225	0	16	94	207	0	17	93	189	0	18	93	171	0	19	92	154	0	20	91	138	0	21	91	122	0	22	90	107	0	23	90	93	0	24	90	80	0	25	90	67	0	26	90	56	0	27	90	45	0	28	91	35	0	29	91	26	0	30	91	18	0	31	92	10	0	32	93	4	0	33	97	-6	0	34	101	-37	0	35	101	-72	0	36	101	-106	0	37	102	-140	0	38	102	-173	0	39	102	-205	0	40	102	-237	0	41	102	-268	0	42	102	-299	0	43	102	-328	0	44	102	-357	0	45	102	-386	0	46	102	-413	0	47	101	-439	0	48	101	-465	0	49	100	-489	0	50	100	-512	0	51	99	-534	0	52	99	-554	0	53	98	-572	0																																																																																																																																																																																																																																																																																																												
9	3	34	1	0	150	150	0	1	102	654	0	2	102	1283	0	3	102	1051	0	4	102	886	0	5	102	760	0	6	102	659	0	7	102	575	0	8	102	503	0	9	102	439	0	10	102	382	0	11	102	330	0	12	102	282	0	13	102	236	0	14	102	192	0	15	102	148	0	16	102	105	0	17	102	61	0	18	102	14	0	19	102	-19	0	20	102	-37	0	21	102	-54	0	22	102	-72	0	23	102	-89	0	24	102	-107	0	25	102	-124	0	26	102	-143	0	27	102	-161	0	28	102	-181	0	29	102	-201	0	30	102	-223	0	31	102	-247	0	32	102	-272	0	33	102	-299	0																																																																																																																																																																																																																																																																																																																																																																																												
10	0	11	0	0	150	150	0	1	67	1771	0	2	67	819	0	3	67	407	0	4	67	13	0	5	67	-211	0	6	67	-355	0	7	67	-492	0	8	67	-574	0	9	67	-635	0	10	67	-742	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
10	0	11	1	0	150	150	0	1	66	1575	0	2	66	952	0	3	66	119	0	4	66	39	0	5	66	-13	0	6	66	-59	0	7	66	-110	0	8	66	-174	0	9	66	-845	0	10	66	-1485	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
10	1	81	0	0	150	150	0	1	2	-81	0	2	9	-232	0	3	16	-369	0	4	22	-491	0	5	28	-599	0	6	34	-693	0	7	39	-771	0	8	45	-836	0	9	51	-886	0	10	57	-921	0	11	64	-942	0	12	70	-949	0	13	77	-941	0	14	84	-918	0	15	92	-881	0	16	100	-830	0	17	108	-763	0	18	118	-683	0	19	128	-588	0	20	140	-478	0	21	153	-354	0	22	168	-216	0	23	185	-63	0	24	205	105	0	25	202	298	0	26	178	493	0	27	158	666	0	28	142	818	0	29	128	949	0	30	116	1058	0	31	106	1145	0	32	97	1211	0	33	90	1256	0	34	83	1279	0	35	77	1280	0	36	72	1260	0	37	68	1219	0	38	64	1156	0	39	60	1072	0	40	58	966	0	41	55	838	0	42	54	689	0	43	52	519	0	44	51	327	0	45	51	114	0	46	51	0	0	47	51	0	0	48	52	0	0	49	54	0	0	50	56	0	0	51	58	693	0	52	47	693	0	53	17	315	0	54	3	-14	128	55	2	-41	-128	56	6	-65	0	57	10	-88	0	58	15	-108	0	59	20	-127	0	60	24	-143	0	61	29	-156	0	62	34	-168	0	63	40	-178	0	64	45	-185	0	65	50	-191	0	66	56	-194	0	67	62	-195	0	68	68	-194	0	69	74	-191	0	70	80	-185	0	71	87	-178	0	72	94	-168	0	73	100	-156	0	74	108	-143	0	75	115	-127	0	76	123	-108	0	77	131	-88	0	78	139	-65	0	79	147	-41	0	80	156	-14	0																																																																																																																																																																																																
