ForceID	MaxJumpCount	WeaponMask	JumpSpeedXY0	VelocityZ0	Gravity0	JumpSpeedXYEnd0	VelocityZEnd0	GravityEnd0	JumpSpeedXY1	VelocityZ1	Gravity1	JumpSpeedXYEnd1	VelocityZEnd1	GravityEnd1	JumpSpeedXY2	VelocityZ2	Gravity2	JumpSpeedXYEnd2	VelocityZEnd2	GravityEnd2	JumpSpeedXY3	VelocityZ3	Gravity3	JumpSpeedXYEnd3	VelocityZEnd3	GravityEnd3	JumpSpeedXY4	VelocityZ4	Gravity4	JumpSpeedXYEnd4	VelocityZEnd4	GravityEnd4	JumpSpeedXY5	VelocityZ5	Gravity5	JumpSpeedXYEnd5	VelocityZEnd5	GravityEnd5	JumpSpeedXY6	VelocityZ6	Gravity6	JumpSpeedXYEnd6	VelocityZEnd6	GravityEnd6	JumpSpeedXY7	VelocityZ7	Gravity7	JumpSpeedXYEnd7	VelocityZEnd7	GravityEnd7	JumpSpeedXY8	VelocityZ8	Gravity8	JumpSpeedXYEnd8	VelocityZEnd8	GravityEnd8	JumpSpeedXY9	VelocityZ9	Gravity9	JumpSpeedXYEnd9	VelocityZEnd9	GravityEnd9	JumpSpeedXY10	VelocityZ10	Gravity10	JumpSpeedXYEnd10	VelocityZEnd10	GravityEnd10	JumpSpeedXY11	VelocityZ11	Gravity11	JumpSpeedXYEnd11	VelocityZEnd11	GravityEnd11	JumpSpeedXY12	VelocityZ12	Gravity12	JumpSpeedXYEnd12	VelocityZEnd12	GravityEnd12	JumpSpeedXY13	VelocityZ13	Gravity13	JumpSpeedXYEnd13	VelocityZEnd13	GravityEnd13	JumpSpeedXY14	VelocityZ14	Gravity14	JumpSpeedXYEnd14	VelocityZEnd14	GravityEnd14	JumpSpeedXY15	VelocityZ15	Gravity15	JumpSpeedXYEnd15	VelocityZEnd15	GravityEnd15	JumpSpeedXY16	VelocityZ16	Gravity16	JumpSpeedXYEnd16	VelocityZEnd16	GravityEnd16	JumpSpeedXY17	VelocityZ17	Gravity17	JumpSpeedXYEnd17	VelocityZEnd17	GravityEnd17	JumpSpeedXY18	VelocityZ18	Gravity18	JumpSpeedXYEnd18	VelocityZEnd18	GravityEnd18	JumpSpeedXY19	VelocityZ19	Gravity19	JumpSpeedXYEnd19	VelocityZEnd19	GravityEnd19	JumpSpeedXY20	VelocityZ20	Gravity20	JumpSpeedXYEnd20	VelocityZEnd20	GravityEnd20	JumpSpeedXY21	VelocityZ21	Gravity21	JumpSpeedXYEnd21	VelocityZEnd21	GravityEnd21	JumpSpeedXY22	VelocityZ22	Gravity22	JumpSpeedXYEnd22	VelocityZEnd22	GravityEnd22	JumpSpeedXY23	VelocityZ23	Gravity23	JumpSpeedXYEnd23	VelocityZEnd23	GravityEnd23	WallJumpSpeedXY0	WallVelocityZ0	WallGravity0	WallJumpSpeedXY1	WallVelocityZ1	WallGravity1	WallJumpSpeedXY2	WallVelocityZ2	WallGravity2	WallJumpSpeedXY3	WallVelocityZ3	WallGravity3	HorseJumpSpeedXY0	HorseVelocityZ0	HorseGravity0	DashVelocity	DashJumpSpeedXY0	DashVelocityZ0	DashGravity0	KnockedBackFrame	KnockedBackSpeed	KickRange	FlashJumpCount	FlashFrame	MaxFlashDistance	MinFlashDistance	SprintFlashStartCost	SprintFlashEndRevive	OnFlyCost	OnFlyFloatCost	OnFlyJumpCost	OnFlyStandCost	OnFlyJumpInSprintCost	OnSprintDashCost
0	4	0	40	90	11	60	90	11	30	300	20	60	90	11	50	400	20	60	90	11	100	-250	8	60	90	11	100	-800	20	60	90	11	100	-800	20	60	90	11	100	-800	20	60	90	11	100	-800	20	60	90	11	100	-800	20	60	90	11	100	-800	20	60	90	11	100	-800	20	60	90	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	40	90	11	30	300	20	50	400	20	100	-250	8	60	180	11	60	50	260	19	16	800	256	-1	16	1600	512	960	960	75	35	300	21	200	3000
1	5	1	40	90	11	125	-140	12	50	400	25	125	-140	12	70	300	13	125	-140	12	100	700	36	125	-140	12	100	-250	8	125	-140	12	120	10	10	125	-140	12	120	10	10	125	-140	12	120	10	10	125	-140	12	120	10	10	125	-140	12	120	10	10	125	-140	12	120	10	10	125	-140	12	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	40	90	11	45	250	15	40	200	11	100	-250	8	60	180	11	80	63	290	20	16	800	256	-1	16	1600	512	960	960	75	35	300	21	200	3000
2	5	32	40	90	11	125	-140	12	50	160	8	125	-140	12	70	240	7	125	-140	12	100	700	36	125	-140	12	100	-250	8	125	-140	12	100	-250	8	125	-140	12	100	-250	8	125	-140	12	100	-250	8	125	-140	12	100	-250	8	125	-140	12	100	-250	8	125	-140	12	100	-250	8	125	-140	12	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	40	90	11	45	250	15	40	200	11	100	-250	8	60	180	11	80	63	290	20	16	800	256	-1	16	1600	512	960	960	75	35	300	21	200	3000
3	5	2	40	90	11	125	-140	12	40	180	12	125	-140	12	65	15	3	125	-140	12	100	780	30	125	-140	12	100	-250	30	125	-140	12	100	-250	30	125	-140	12	100	-250	30	125	-140	12	100	-250	30	125	-140	12	100	-250	30	125	-140	12	100	-250	30	125	-140	12	100	-250	30	125	-140	12	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	40	90	11	45	250	15	40	200	11	100	-250	8	60	180	11	80	63	290	20	16	800	256	-1	16	1600	512	960	960	75	35	300	21	200	3000
4	5	4	40	90	11	125	-140	12	60	450	30	125	-140	12	80	600	24	125	-140	12	80	600	24	125	-140	12	100	-250	8	125	-140	12	120	10	10	125	-140	12	120	10	10	125	-140	12	120	10	10	125	-140	12	120	10	10	125	-140	12	120	10	10	125	-140	12	120	10	10	125	-140	12	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	40	90	11	45	250	15	40	200	11	100	-250	8	60	180	11	80	63	290	20	16	800	256	-1	16	1600	512	960	960	75	35	300	21	200	3000
5	5	16	40	90	11	125	-140	12	40	160	6	125	-140	12	50	250	12	125	-140	12	80	600	20	125	-140	12	100	-250	8	125	-140	12	100	-250	8	125	-140	12	100	-250	8	125	-140	12	100	-250	8	125	-140	12	100	-250	8	125	-140	12	100	-250	8	125	-140	12	100	-250	8	125	-140	12	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	40	90	11	45	250	15	40	200	11	100	-250	8	60	180	11	80	63	290	20	16	800	256	-1	16	1600	512	960	960	75	35	300	21	200	3000
6	5	1024	40	90	11	125	-140	12	40	300	8	125	-140	12	80	400	25	125	-140	12	30	450	12	125	-140	12	160	-250	14	125	-140	12	160	-250	14	125	-140	12	160	-250	14	125	-140	12	160	-250	14	125	-140	12	160	-250	14	125	-140	12	160	-250	14	125	-140	12	160	-250	14	125	-140	12	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	40	90	11	45	250	15	40	200	11	100	-250	8	60	180	11	80	63	290	20	16	800	256	-1	16	1600	512	960	960	75	35	300	21	200	3000
7	6	2048	40	120	11	125	-140	12	25	1000	25	125	-140	12	0	0	0	125	-140	12	75	600	16	125	-140	12	0	0	0	125	-140	12	120	-120	20	125	-140	12	120	-120	20	125	-140	12	120	-120	20	125	-140	12	120	-120	20	125	-140	12	120	-120	20	125	-140	12	120	-120	20	125	-140	12	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	40	90	11	45	250	15	40	200	11	100	-250	8	60	180	11	80	63	290	20	16	800	256	-1	16	1600	512	960	960	75	35	300	21	200	3000
8	5	516	40	90	11	125	-140	12	65	36	4	125	-140	12	60	150	7	125	-140	12	100	800	36	125	-140	12	120	-70	10	125	-140	12	120	-70	10	125	-140	12	120	-70	10	125	-140	12	120	-70	10	125	-140	12	120	-70	10	125	-140	12	120	-70	10	125	-140	12	120	-70	10	125	-140	12	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	40	90	11	45	250	15	40	200	11	100	-250	8	60	180	11	80	63	290	20	16	800	256	-1	16	1600	512	960	960	75	35	300	21	200	3000
9	4	8192	40	90	11	125	-140	12	40	80	80	125	-140	12	40	80	60	125	-140	12	120	-200	20	125	-140	12	120	10	10	125	-140	12	120	10	10	125	-140	12	120	10	10	125	-140	12	120	10	10	125	-140	12	120	10	10	125	-140	12	120	10	10	125	-140	12	120	10	10	125	-140	12	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	40	90	11	45	250	15	40	200	11	100	-250	8	60	180	11	80	63	290	20	16	800	256	-1	16	1600	512	960	960	75	35	300	21	200	3000
