Level	Experience	Strength	Agility	Vigor	Spirit	Spunk	MaxLife	MaxMana	MaxStamina	MaxThew	MaxAssistExp	MaxAssistTimes	RunSpeed	JumpSpeed	Height	LifeReplenish	LifeReplenishPercent	LifeReplenishExt	ManaReplenish	ManaReplenishPercent	ManaReplenishExt	HitBase	ParryBaseRate	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	NoneWeaponAttackSpeedBase	MaxPhysicsDefence	WorldChannelDailyLimit	ForceChannelDailyLimit	CampChannelDailyLimit	MaxContribution	WhisperDailyLimit	IdentityChannelDailyLimit	SprintPowerMax	SprintPowerCost	SprintPowerRevive	SprintPowerCostOnWall	SprintPowerCostStandOnWall	SprintPowerCostRunOnWallExtra	HorseSprintPowerMax	HorseSprintPowerCost	HorseSprintPowerRevive	SceneChannelDailyLimit	NearbyChannelDailyLimit	WorldChannelDailyLimitByVIP	WorldChannelDailyLimitBySuperVIP
0	200	1	1	1	1	1	10	10	500	500	100	11	20	160	640	8	0	0	0	0	2	9000	0	0	0	0	0	0	16	768	3	20	0	70000	-1	20	72000	185	45	128	128	200	48000	200	33	500	5000	60	90
1	350	1	1	1	1	1	118	73	500	500	100	11											300								0	20	0	30000	50	20	72600	185	45	128	128	200	48600	200	33	20	200	60	90
2	450	1	2	2	2	1	129	77	500	500	100	11											300								0	20	0	30000	60	20	73200	185	45	128	128	200	49200	200	33	20	200	60	90
3	500	2	2	2	2	2	140	81	500	500	100	11											300								0	20	0	30000	60	20	73800	185	45	128	128	200	49800	200	33	20	200	60	90
4	1300	2	2	3	2	2	150	84	500	500	100	11											300								0	20	0	30000	60	20	74400	185	45	128	128	200	50400	200	33	20	200	60	90
5	1650	2	3	3	3	2	161	88	500	500	100	11											300								0	20	0	30000	60	20	75000	185	45	128	128	200	51000	200	33	20	200	60	90
6	2650	3	3	3	3	3	172	92	500	500	100	11											300								0	20	0	30000	70	20	75600	185	45	128	128	200	51600	200	33	20	200	60	90
7	3100	3	3	4	3	3	182	95	500	500	100	11											300								0	20	0	30000	70	20	76200	185	45	128	128	200	52200	200	33	20	200	60	90
8	3500	3	4	4	4	3	193	99	500	500	100	11											300								0	20	0	30000	70	20	76800	185	45	128	128	200	52800	200	33	20	200	60	90
9	4000	4	4	4	4	4	204	103	500	500	100	11											300								0	20	0	30000	70	20	77400	185	45	128	128	200	53400	200	33	20	200	60	90
