ParentClassID	ClassID	ClassName	ClassDrop	UsefulnessClassID
1	1	基类		1
1	2	动物	ClassDrop\WorldDrop\gusui.tab	
1	3	机械	ClassDrop\Beast\robot.tab	
1	4	人型_药品	ClassDrop\Beast\world_medicine.tab	
4	5	人型_装备	ClassDrop\Beast\Human_arm.tab	
5	6	人型_生活技能_1	ClassDrop\Beast\humen_craft_1.tab	
6	7	人型_包	ClassDrop\Beast\world_bag.tab	
7	8	人型_阅读_1	ClassDrop\Beast\humen_read_craft1.tab	
8	9	人型_阅读_2	ClassDrop\Beast\humen_read_craft2.tab	
213	10	人型_缝纫2	ClassDrop\Beast\humen_craft_2.tab	
2	11	Ani_狼_1	ClassDrop\Beast\bigbeast_craft.tab	
11	12	Ani_狼_2	ClassDrop\WorldDrop\zhuahengpi.tab	
12	13	Ani_狼_3	ClassDrop\WorldDrop\roukuai.tab	
13	14	Ani_狼_4		
2	15	Ani_蛇_1		
15	16	Ani_蛇_2	ClassDrop\WorldDrop\zhuahengpi.tab	
16	17	Ani_蛇_3	ClassDrop\WorldDrop\roukuai.tab	
17	18	Ani_蛇_4		
2	19	Ani_猪_1		
19	20	Ani_猪_2	ClassDrop\WorldDrop\dupirou.tab	
20	21	Ani_猪_3	ClassDrop\WorldDrop\tuigu.tab	
21	22	Ani_猪_4	ClassDrop\Beast\pig_craft.tab	1
2	23	Ani_鸡_1	ClassDrop\WorldDrop\niaohui.tab	
23	24	Ani_鸡_2	ClassDrop\WorldDrop\cuzhua.tab	
24	25	Ani_鸡_3		
25	26	Ani_鸡_4		1
2	27	Ani_狗_1	ClassDrop\Beast\bigbeast_craft.tab	
27	28	Ani_狗_2	ClassDrop\WorldDrop\zhuahengpi.tab	
28	29	Ani_狗_3	ClassDrop\WorldDrop\roukuai.tab	
29	30	Ani_狗_4		1
2	31	Ani_鱼_1	ClassDrop\Beast\Fish_1.tab	
31	32	Ani_鱼_2	ClassDrop\Beast\Fish_2.tab	
32	33	Ani_鱼_3		
33	34	Ani_鱼_4		1
2	35	Ani_鹅_1	ClassDrop\WorldDrop\niaohui.tab	
35	36	Ani_鹅_2	ClassDrop\WorldDrop\cuzhua.tab	
36	37	Ani_鹅_3		
37	38	Ani_鹅_4		1
2	39	Ani_兔_1	ClassDrop\WorldDrop\dupirou.tab	
39	40	Ani_兔_2	ClassDrop\WorldDrop\tuigu.tab	
40	41	Ani_兔_3		
41	42	Ani_兔_4		1
10	43	山贼_2	ClassDrop\Beast\Cateran_2.tab	
2	45	Ani_猿_1	ClassDrop\Beast\bigbeast_craft.tab	
45	46	Ani_猿_2	ClassDrop\WorldDrop\dupirou.tab	
46	47	Ani_猿_3	ClassDrop\WorldDrop\tuigu.tab	
47	48	Ani_猿_4		1
2	49	Ani_鹿_1	ClassDrop\Beast\bigbeast_craft.tab	
49	50	Ani_鹿_2	ClassDrop\WorldDrop\dupirou.tab	
50	51	Ani_鹿_3	ClassDrop\WorldDrop\tuigu.tab	
51	52	Ani_鹿_4		1
2	53	Ani_龟_1		
53	54	Ani_龟_2	ClassDrop\WorldDrop\dupirou.tab	
54	55	Ani_龟_3	ClassDrop\WorldDrop\tuigu.tab	
55	56	Ani_龟_4		1
2	57	Ani_鳄_1	ClassDrop\Beast\bigbeast_craft.tab	
57	58	Ani_鳄_2	ClassDrop\WorldDrop\zhuahengpi.tab	
58	59	Ani_鳄_3	ClassDrop\WorldDrop\roukuai.tab	
59	60	Ani_鳄_4		1
