ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
13444	伽那格炎手刺客			2	0	28	1	1	187	81	0	950	28	5	1	1		0	22200	0	0	144245	0	0	100	6	30	9000	0	0	0	0	54	33	33	33	33	33		192	81	81	81	81	0	13444	1	2000	493	986	493	59	1	35		14	102400	25	10	2840	3	32		14	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20	荻花圣殿25人普通\gear_xiaoguai.tab	1	荻花圣殿25人普通\JadeDebris_xiaoguai.tab	1		0		0	6769	0	0	0	0	0	0	0	0	0		2673	3472	838860	25人普通荻花圣殿	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0		9500	-1	0	0	0	0	0	0	1	5	254	0	1	0	960	13	197	2000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0			0	0	0	0	0														1											1					
13445	伽那格毒手蛇使			2	0	28	1	1	187	80	0	950	1	5	1	1		0	10100	0	0	139988	0	0	100	6	30	9000	0	0	0	0	53	32	32	32	32	32		190	80	80	80	80	0	13445	1	924	462	924	462	28	1	28		1	1024	18	10	2104	3	128		14		24	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	6799	0	0	0	0	0	0	0	0	0		2673	3472	838860	25人普通荻花圣殿	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0		9500	-1	0	0	0	0	0	0	1	5	254	0	1	0	960	13	190	2000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0			0	0	0	0	0														1											1					
13446	德弗愤怒者			2	0	28	1	1	187	81	0	950	28		1	1		0	500	0	0	8291	0	0	100	6	28	9000	0	0	0	0	48	29	29	29	29	29		169	71	71	71	71	0	13446	1	586	293	586	293	28	1	99		1	1024	89	10	2815	3	128	128	1	1024	16	8	2829	3	0	320	7	512	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	6839	0	0	0	0	0	0	0	0	0		237	500	838860	25人普通荻花圣殿	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0			-1	0	0	0	0	0	0	1	5	254	1	1	0	960	3	197	332	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	1024	0			0	0	0	0	0														1											1					
13447	堕落毒蜥蜴			2	0	29	1	2	133	80	0	950	28	5	1	1		0	3800	0	0	66895	0	0	100	6	30	9000	0	0	0	0	45	52	52	52	52	52		82	70	70	70	70	0	13447	1	845	422	845	422	28	1	28		1	1024	18	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	6841	0	0	0	0	0	0	0	0	0	2874	0	0	0	25人普通荻花圣殿	0	0	2	3	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0		9500	-1	0	0	0	0	0	0	1	5	254	1	1	0	960	10	190	1527	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	29			0	0	0	0	0	0	0	0			0	0	0	0	0														1											1					
13448	疯狂信徒			2	0	29	1	1	187	80	0	950	28	4	1	1		0	2300	0	0	32389	0	0	100	6	30	9000	0	0	0	0	53	32	32	32	32	32		190	80	80	80	80	0	13448	1	346	173	346	173	28	1	34		1	1024	24	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	6800	0	0	0	0	0	0	0	0	0		641	833	838860	25人普通荻花圣殿	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	200		-1	0	0	0	0	0	0	1	1	254	1	1	0	960	4	190	550	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	29			0	0	0	0	0	0	0	0			0	0	0	0	0														1											1					
13449	伽那格苦工			2	0	29	1	4	187	79	0	950	28	4	1	1		0	2200	0	0	31171	0	0	100	6	30	9000	0	0	0	0	53	32	32	32	32	32		188	79	79	79	79	0	13449	1	354	177	354	177	28	1	21		1	1024	11	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	6850	0	0	0	0	0	0	0	0	0		610	791	838860	25人普通荻花圣殿	0	0	4	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	200		-1	0	0	0	0	0	0	1	1	254	1	1	0	960	4	183	546	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	29			0	0	0	0	0	0	0	0			0	0	0	0	0														1											1					
13450	伽那格祭司			2	0	28	1	1	187	82	0	950	1	5	1	1		0	20300	0	0	172283	0	0	100	6	30	9000	0	0	0	0	55	33	33	33	33	33		195	82	82	82	82	0	13450	1	1900	438	2776	438	59	1	28			102400	18	10	2122	3	128	128	14		16	8	2124	1	160	160	2	1024	16	8	28	1	32		1	1024	16	8	99999999	0	20	荻花圣殿25人普通\gear_xiaoguai.tab	1	荻花圣殿25人普通\JadeDebris_xiaoguai.tab	1		0		0	6846	6845	0	0	0	0	0	0	0	0		2673	3472	838860	25人普通荻花圣殿	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0		9500	-1	0	0	0	0	0	0	1	5	254	1	1	0	960	13	204	2000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0			0	0	0	0	0														1											1					
13451	阿卡玛纳教徒			2	0	28	1	1	187	80	0	950	1	5	1	1		0	10100	0	0	139988	0	0	100	6	30	9000	0	0	0	0	53	32	32	32	32	32		190	80	80	80	80	0	13451	1	1126	563	1126	563	28	1	39		1	1024	29	10	2136	3	240	240	14	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	6832	0	0	0	0	0	0	0	0	0		2673	3472	838860	25人普通荻花圣殿	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0		9500	-1	0	0	0	0	0	0	1	5	254	1	1	0	960	13	190	2000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0			0	0	0	0	0														1											1					
13452	萨鲁瓦无序祭司			2	0	28	1	1	187	81	0	950	28	5	1	1		0	108979	0	0	98081	0	0	100	6	0	9000	0	0	0	0	0	52	52	52	52	52		83	8	8	8	8	0	13452	1	1590	794	1590	794	2185	1	48	48	14	1024	29	10	2124	1	240		7	512	25	8	2097	3	160	160	14	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	6857	0	0	0	0	0	0	0	0	0		3564	4629	838860	25人普通荻花圣殿	0	0	1	1	0	0		0		0		0					scripts\Map\25人普通荻花圣殿\npc\1号区域祭祀.lua					0	0	0	0	0	0	0	0	0	0	0	9000	-1	0	0	0	0	0	0	1	5	254	1	1	0	960	11	279	2000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0			0	0	0	0	0														1											1					
13453	塔洛马蒂叛徒			2	0	29	1	1	187	80	0	950	28	5	1	1		0	107282	0	0	96554	0	0	100	6	30	9000	0	0	0	0	0	51	51	51	51	51		82	7	7	7	7	0	13453	1	1049	525	1049	525	28	1	26		1	1024	16	10	2120	1	320	320	14		16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	6864	0	0	0	0	0	0	0	0	0		3564	4629	838860	25人普通荻花圣殿	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	-1	0	0	0	0	0	0	1	5	254	1	1	0	960	11	275	2000	2			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	29			0	0	0	0	0	0	0	0			0	0	0	0	0														1											1					
