ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
18045	穆玄英			2	0	26	1	1	0	83	0	950	1	6	1	1		0	2607000	0	0	32000000	0	0	100	6		9000	0	0	0	0	130	0	0	0	0	0	1024	400	300	300	300	300	0	18045	1	0	489	978	489	3770	2	32	0	1	1024	16	8	3951	1	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	999999	0	20		0		0		0		0	28011	0	0	0	0	0	0	0	0	0	2	0	0	0	25人英雄会战唐门	0	0	1	1	1	512		0		0		0					scripts\Map\25人英雄会战唐门\npc\BOSS战毛毛.lua					0	0	0	0	0	0	0	0	0	0	3500	10000	-1	0	0	0	0	0	0	1	0	254	1	1	0	960	12	211	0	2			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1											1					
18046	月弄痕			2	0	26	1	1	0	83	0	950	1	6	1	1		0	440000	0	0	193514	0	0	100	6	22	9000	0	0	0	0	56	34	34	34	34	34	1024	198	83	83	83	83	0	18046	1	978	489	978	489	0	0	32	0	1	1024	16	8	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	999999	0	20		0		0		0		0	28022	0	0	0	0	0	0	0	0	0		21388	27777	0	25人英雄会战唐门	0	0	1	1	1	512		0		0		0					scripts\Map\25人英雄会战唐门\npc\BOSS战月弄痕.lua					0	0	0	0	0	0	0	0	0	0	500		-1	0	0	0	0	0	0	1	0	254	0	1	0	960	12	211	5000	2			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1											1					
18047	汪莽			2	0	28	1	1	0	83	0	950	1	6	1	1		0	3118500	0	0	56000000	0	0	100	6	30	9000	0	0	0	0	130	0	0	0	0	0	1024	400	300	300	300	300	0	18047	1	0	0	5341	2670	3771	2	26	13	1	1024	16	8	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	99999999	0	20		0		0		0		0	27994	0	0	0	0	0	0	0	0	0		0	0	0	25人英雄会战唐门	0	0	1	1	1	512		0		0		0					scripts\Map\25人英雄会战唐门\npc\汪莽.lua					0	0	0	0	0	0	0	0	0	0	3500	10000	-1	0	0	0	0	0	0	1	0	254	1	1	0	960	15	211	0	2			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1	2048										1					
18048	影			2	0	32	1	1	0	80	0	950	1	6	1	1		0	520000	0	0	2933242	0	0	100	6	22	9000	0	0	0	0	54	32	32	32	32	32	1024	191	80	80	80	80	0	18048	1	1771	885	1771	885	28	1	32	0	1	1024	16	8	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	999999	0	20		0		0		0		0	27995	0	0	0	0	0	0	0	0	0	2	32083	41666	0	25人英雄会战唐门	0	0	1	1	1	256		0		0		0					scripts\Map\25人英雄会战唐门\npc\小怪关卡影.lua					0	0	0	0	0	0	0	0	0	0	500		-1	0	0	0	0	0	0	1	0	254	1	1	0	960	15	190	5000	2			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	32			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1											1					
18049	穆玄英			2	0	27	1	1	0	80	0	950	1	6	1	1		0	650000	0	0	2933242	0	0	100	6	22	9000	0	0	0	0	54	32	32	32	32	32	1024	191	80	80	80	80	0	18049	1	511	45	511	45	28	1	32	0	1	1024	16	8	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	999999	0	20		0		0		0		0	28024	0	0	0	0	0	0	0	0	0	2	32083	41666	0	25人英雄会战唐门	0	0	1	1	1	0		0		0		0					scripts\Map\25人英雄会战唐门\npc\小怪关卡毛毛.lua					0	0	0	0	0	0	0	0	0	0	500		-1	0	0	0	0	0	0	1	0	254	1	1	0	960	15	190	5000	1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	27			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1											1					
18050	月弄痕			2	0	32	1	1	0	80	0	950	1	6	1	1		0	520000	0	0	2933242	0	0	100	6	22	9000	0	0	0	0	54	32	32	32	32	32	1024	191	80	80	80	80	0	18050	1	1771	885	1771	885	28	1	32	0	1	1024	16	8	0	0	80	0	1	1024	16	8	3868	1	320	161	1	1024	16	8	3869	1	960	481	1	1024	16	8	999999	0	20		0		0		0		0	28023	0	0	0	0	0	0	0	0	0	2	32083	41666	0	25人英雄会战唐门	0	0	1	1	1	0		0		0		0					scripts\Map\25人英雄会战唐门\npc\小怪关卡月弄痕.lua					0	0	0	0	0	0	0	0	0	0	500		-1	0	0	0	0	0	0	1	0	254	1	1	0	960	15	190	5000	1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	32			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1											1					
18051	唐傲天			2	0	26	1	1	0	80	0	950	1	5	1	1		0	55700	0	0	771991	0	0	100	6	22	9000	0	0	0	0	54	32	32	32	32	32	1024	191	80	80	80	80	0	18051	1	4606	2303	4606	2303	0	0	32	0	1	1024	16	8	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	999999	0	20		0		0		0		0	28010	0	0	0	0	0	0	0	0	0	2	6684	8680	838860	25人英雄会战唐门	0	0	1	1	1	0		0		0		0					scripts\Map\25人英雄会战唐门\npc\唐傲天.lua					0	0	0	0	0	0	0	0	0	0	500	9500	-1	0	0	0	0	0	0	1	0	510	1	1	0	960	14	190	5000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1											1					
18052	唐怀礼			2	0	26	1	1	0	80	0	950	1	5	1	1		0	55700	0	0	771991	0	0	100	6	22	9000	0	0	0	0	54	32	32	32	32	32	1024	191	80	80	80	80	0	18052	1	4606	2303	4606	2303	28	1	32	0	1	1024	16	8	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	999999	0	20		0		0		0		0	28008	0	0	0	0	0	0	0	0	0	2	6684	8680	838860	25人英雄会战唐门	0	0	1	1	1	0		0		0		0					scripts\Map\25人英雄会战唐门\npc\tanghuaili.lua					0	0	0	0	0	0	0	0	0	0	500	9500	-1	0	0	0	0	0	0	1	0	510	1	1	0	960	14	190	5000	2			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1											1					
18053	唐怀义			2	0	26	1	1	0	80	0	950	1	5	1	1		0	55700	0	0	771991	0	0	100	6	22	9000	0	0	0	0	54	32	32	32	32	32	1024	191	80	80	80	80	0	18053	1	4606	2303	4606	2303	0	0	32	0	1	1024	16	8	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	999999	0	20		0		0		0		0	28009	0	0	0	0	0	0	0	0	0		6684	8680	838860	25人英雄会战唐门	0	0	1	1	1	0		0		0		0					scripts\Map\25人英雄会战唐门\npc\唐怀义.lua					0	0	0	0	0	0	0	0	0	0	500	9500	-1	0	0	0	0	0	0	1	0	510	0	1	0	960	14	190	5000	2			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1											1					
18054	唐怀信			2	0	26	1	1	0	80	0	950	1	5	1	1		0	55700	0	0	771991	0	0	100	6	22	9000	0	0	0	0	54	32	32	32	32	32	1024	191	80	80	80	80	0	18054	1	4606	2303	4606	2303	0	0	32	0	1	1024	16	8	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	999999	0	20		0		0		0		0	28007	0	0	0	0	0	0	0	0	0		6684	8680	838860	25人英雄会战唐门	0	0	1	1	1	0		0		0		0					scripts\Map\25人英雄会战唐门\npc\唐怀信.lua					0	0	0	0	0	0	0	0	0	0	500	9500	-1	0	0	0	0	0	0	1	0	510	0	1	0	960	14	190	5000	2			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1											1					
