ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
15490	未占用			2	0	0	1	1	0	1	0	950		3	1	1		0	5	0	0	4	0	0	100	6	30	9000	0	0	0	0	8	3	3	3	3	3	1024	6	1	1	1	1	0	15490	1	3	2	3	2	28	1	35	0	1	1024	25	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	99999999	0	20		0		0		0		0	25617	0	0	0	0	0	0	0	0	0	2	0	0	0	80橙武任务	0	0	1	1	0	0		0		0		0					scripts\Map\神剑冢\npc\器魂死亡.lua					0	0	0	0	0	0	0	0	0	0	0	9000	-1	0	0	0	0	0	0	1	1	254	0	1	0	960	3	2	1	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0						1											1					
15491	未占用			2	0	0	1	1	0	1	0	950	1	3	1	1		0	5	0	0	4	0	0	100	6	30	9000	0	0	0	0	8	3	3	3	3	3	1024	6	1	1	1	1	0	15491	1	3	2	3	2	28	1	34	0	1	1024	24	10	667	1	80	0	1	512	9	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	99999999	0	20		0		0		0		0	25618	0	0	0	0	0	0	0	0	0	2	0	0	0	80橙武任务	0	0	1	1	0	0		0		0		0					scripts\Map\神剑冢\npc\器魂死亡.lua					0	0	0	0	0	0	0	0	0	0	0	9000	-1	0	0	0	0	0	0	1	1	254	0	1	0	960	3	2	1	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0						1											1					
15492	未占用			2	0	0	1	1	0	1	0	950	1	3	1	1		0	5	0	0	4	0	0	100	6	30	9000	0	0	0	0	8	3	3	3	3	3	1024	6	1	1	1	1	0	15492	1	4	2	4	2	28	1	37	0	1	1024	27	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	99999999	0	20		0		0		0		0	25619	0	0	0	0	0	0	0	0	0	2	0	0	0	80橙武任务	0	0	1	1	0	0		0		0		0					scripts\Map\神剑冢\npc\器魂死亡.lua					0	0	0	0	0	0	0	0	0	0	0	9000	-1	0	0	0	0	0	0	1	1	254	0	1	0	960	3	2	1	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0						1											1					
15494	未占用			2	0	0	1	1	0	1	0	950	1	3	1	1		0	5	0	0	4	0	0	100	6	30	9000	0	0	0	0	8	3	3	3	3	3	1024	6	1	1	1	1	0	15494	1	7	4	7	4	28	1	70	0	1	1024	60	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	99999999	0	20		0		0		0		0	25621	0	0	0	0	0	0	0	0	0	2	0	0	0	80橙武任务	0	0	1	1	0	0		0		0		0					scripts\Map\神剑冢\npc\器魂死亡.lua					0	0	0	0	0	0	0	0	0	0	0	9000	-1	0	0	0	0	0	0	1	1	254	0	1	0	960	3	2	1	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0						1											1					
15495	吞吴器魂			2	0	28	1	1	0	83	0	950		6	1	1		0	5373954	0	0	4836558	0	0	100	6	30	10000	0	0	0	0	0	91	91	91	91	91	1024	135	12	12	12	12	0	15495	1	4094	2046	4094	2046	28	1	37	0	1	1024	27	10	3149	1	480		1	1024	32	10	3150	1	480	160		1024	16	8	3151	1	480	320		1024	16	8	99999999	0	20		0		0		0		0	25622	0	0	0	0	0	0	0	0	0	2	0	0	0	80橙武任务	0	0	1	1	0	0		0		0		0					scripts\Map\神剑冢\npc\器魂死亡.lua					0	0	0	0	0	0	0	0	0	0	500	10000	-1	0	0	0	0	0	0	1	1	254	0	1	0	960	15	286	5000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0					1											1					
15496	玉清玄明器魂			2	0	0	1	1	0	83	0	950	1	6	1	1		180	5373954	0	0	4836558	0	0	100	6	22	9000	0	0	0	0	0	91	91	91	91	91	1024	135	12	12	12	12	0	15496	1	7745	3872	7745	3872	28	1	70	0	1	1024	60	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	25623	0	0	0	0	0	0	0	0	0	2	0	0	0	80橙武任务	0	0	1	1	0	0		0		0		0					scripts\Map\神剑冢\npc\器魂死亡.lua					0	0	0	0	0	0	0	0	0	0	500	10000	3840	0	0	0	0	0	0	1	0	0	0	1	0	960	15	286	5000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8				0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0					1											0					
15497	白衣焚天器魂			2	0	28	1	1	0	83	0	950	1	6	1	1		0	5373954	0	0	4836558	0	0	100	6	30	10000	0	0	0	0	0	91	91	91	91	91	1024	135	12	12	12	12	0	15497	1	3540	1771	3540	1771	28	1	22	0	1	1024	12	10	3180	1	480	240	2	1024	16	8	3181	1	480		1	1024	16	8	3182	1	320	160	1	1024	16	8	99999999	0	20		0		0		0		0	25624	0	0	0	0	0	0	0	0	0	2	0	0	0	80橙武任务	0	0	1	1	0	0		0		0		0					scripts\Map\神剑冢\npc\器魂死亡.lua					0	0	0	0	0	0	0	0	0	0	500	10000	-1	0	0	0	0	0	0	1	1	254	0	1	0	960	15	286	5000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0					1											1					
15498	龙木金藤器魂			2	0	28	1	1	0	83	0	950	1	6	1	1		0	5373954	0	0	4836558	0	0	100	6	30	10000	0	0	0	0	0	91	91	91	91	91	1024	135	12	12	12	12	0	15498	1	4868	2434	4868	2434	28	1	44	0	1	1024	34	10	3193	1	480	120	14	1024	16	8	3192	1	480	240	1	1024	16	8	3196	1	480	288	1	1024	16	8	99999999	0	20		0		0		0		0	25625	0	0	0	0	0	0	0	0	0	2	0	0	0	80橙武任务	0	0	1	1	0	0		0		0		0					scripts\Map\神剑冢\npc\器魂死亡.lua					0	0	0	0	0	0	0	0	0	0	500	10000	-1	0	0	0	0	0	0	1	1	254	0	1	0	960	15	286	5000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0					1											1					
15499	李靖			2	0	28	1	1	0	83	0	950	1	6	1	1		0	1343488	0	0	1209139	0	0	100	6	30	10000	0	0	0	0	0	91	91	91	91	91	1024	85	8	8	8	8	0	15499	1	2257	1129	2257	1129	28	1	34	0	1	1024	24	10	3197	1	480	240	1		32	10	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	99999999	0	20		0		0		0		0	25626	0	0	0	0	0	0	0	0	0	2	0	0	0	80橙武任务	0	0	1	1	0	0		0		0		0					scripts\Map\神剑冢\npc\器魂死亡.lua					0	0	0	0	0	0	0	0	0	0	500	10000	-1	0	0	0	0	0	0	1	1	254	0	1	0	960	12	286	5000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0					1											1					
15500	红拂女			2	0	28	1	1	0	83	0	950	1	6	1	1		0	1343488	0	0	1209139	0	0	100	6	30	10000	0	0	0	0	0	91	91	91	91	91	1024	85	8	8	8	8	0	15500	1	2456	1228	2456	1228	28	1	37	0	1	1024	27	10	3198	1	480		1	1024	16	8	3199	1	480	208	1	1024	16	8	3200	1	480	400	1	1024	16	8	99999999	0	20		0		0		0		0	25627	0	0	0	0	0	0	0	0	0	2	0	0	0	80橙武任务	0	0	1	1	0	0		0		0		0					scripts\Map\神剑冢\npc\器魂死亡.lua					0	0	0	0	0	0	0	0	0	0	500	10000	-1	0	0	0	0	0	0	1	1	254	0	1	0	960	12	286	5000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0					1											1					
