ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
19098	龙鼋			2	0	28	1	1	56	80	0	950	1	4	1	1		20	187200	0	0	0	0	0	100	6	22	9000	0	0	0	0	52	79	79	79	79	79	1024	72	4	4	4	4	0	19098	1	70	35	70	35	28	1		16	1	1024	20	10	4756	1	960	240	2	2048		8	4757	1	960	48	2	5120	40	8	4758	1	1920	960	2	10240	16	8	4800	0	20		0		0		0		0	29641	29845	0	0	0	0	0	0	0	0		0	0	0	80小橙武任务	0	0	2	1	0	0		0		0		0					scripts\Activity\小橙武\npc\龙龟死亡aoe.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1.00	0	960	6	275	392	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	10	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1											0					
19099	澹台玉					28				80				4					234000			13410											51	87	87	87	87	87		82	7	7	7	7		19099		65	33	65	33	28	1		32	1	1024	27	10	4329	1	480	16					4327	1	48	48					4331	1	128	128					99999999											29642											458	595	838860	80小橙武任务																	scripts/Map/小橙武任务/npc/小橙武试炼死亡脚本.lua															0	9000	-1										0				6	275	392																							4328	4330	4372		1	1	1		240	240	480		240	120				2	2				10240										28																															1											0					
19100	叶磊照					28				80				4					234000			13410											51	87	87	87	87	87		82	7	7	7	7		19100		69	35	69	35	28	1	34	16	1	1024	24	10		1	128							1	128	64						1	48	24					99999999											29708	29643	29844									458	595	838860	80小橙武任务																	scripts/Map/小橙武任务/npc/小橙武试炼死亡脚本.lua															0	9000	-1										0				6	275	392																											1	1	1	1	32	16	32	16	64	32	2880	1440										48	48						28																															1											0					
19101	卓厉					16				80				4					234000			13410											51	87	87	87	87	87		82	7	7	7	7		19101		65	33	65	33		1	32		1	1024	22	10																									99999999											29644											458	595	838860	80小橙武任务																	scripts\Map\小橙武任务\npc\五毒弟子死亡脚本.lua															0	9000	-1										0				6	275	392																																																							16																															1											0					
19102	阳离					28		3		80				4				0	234000			0					30						43	92	92	92	92	92		89	0	0	0	0		19102		92	46	92	46	28	1	49		1	1024	39	10	4344	1	320	160	2		40		4345	1	656	328	8												99999999											29645											0	0	0	80小橙武任务			3														scripts\Map\小橙武任务\npc\小橙武试炼死亡脚本.lua															0	9000	-1									136	0				6	275	392																																																							28					0	0	0	0	0																						1											1					
19103	尉迟赫志					28				80				4					234000			13410											51	87	87	87	87	87		82	7	7	7	7		19103		90	45	90	45			44		1	1024	34	10																									99999999											29646											458	595	838860	80小橙武任务																	scripts/Map/小橙武任务/npc/小橙武试炼死亡脚本.lua															0	9000	-1										0				6	275	392																																																							28																															1											0					
19104	唐飞涛					28				80				4					234000			13410											51	87	87	87	87	87		82	7	7	7	7		19104		65	33	65	33		1	30		1	1024	20	10																									99999999											29647											458	595	838860	80小橙武任务																	scripts/Map/小橙武任务/npc/小橙武试炼死亡脚本.lua															0	9000	-1										0				6	275	392																																																							28																															1											0					
19105	道轩					28				80				4					234000			13410											51	87	87	87	87	87		82	7	7	7	7		19105		65	33	65	33	4365	1			1	1024	32	10																									99999999											29648											458	595	838860	80小橙武任务						240											scripts/Map/小橙武任务/npc/小橙武试炼死亡脚本.lua															0	9000	-1										0				6	275	392																																																							28																															1											0					
19106	梅少剑					28				80				4					234000			13410											51	87	87	87	87	87		82	7	7	7	7		19106		65	33	65	33	28	1		16	1	1024	27	10	4370	1	480	240	2				4371	1	480	120	8												99999999											29649											458	595	838860	80小橙武任务																	scripts/Map/小橙武任务/npc/小橙武试炼死亡脚本.lua															0	9000	-1										0				6	275	392																																																							28																															1											0					
19107	阳覆宇					28				80				6				0	234000			4634614					30						0	87	87	87	87	87		130	11	11	11	11		19107		724	362	724	362		1	30		1	1024	20	10																									99999999											29650										2	0	0	0	80小橙武任务																	scripts/Map/小橙武任务/npc/小橙武试炼死亡脚本.lua															500	10000	-1								5	254	0				15	275	5000																																																							28					0	0	0	0	0																						1											1					
19161	澹台融			3		14				80			21					0	5960			5364					30						51	17	17	17	17	17		39	4	4	4	4		19161		160	80	160	80	28	1	24		1	1024	14	10																									99999999											29695											385	500	838860	80小橙武任务							<G>你也是来找玉师哥切磋武艺的么？	600									scripts/Map/小橙武任务/npc/纯阳召唤.lua															0	9000	-1									254	0					275	330																																																							14					0	0	0	0	0																						1											1					
19162	叶落			3		18				80								0	5960			5364					30						51	17	17	17	17	17		39	4	4	4	4		19162		160	80	160	80	28	1	30		1	1024	20	10																									99999999											29696											385	500	838860	80小橙武任务							<G>你也是来找磊师姐切磋武艺的么？	300	<G>磊师姐平日里最崇拜庄主大人了，经常看到她没事就画一些庄主的画。	300	<G>磊师姐是我们山庄最漂亮的姐姐经常给我买糖葫芦吃。	300					scripts/Map/小橙武任务/npc/藏剑召唤.lua															0	9000	-1									254	0					275	330																																																							18					0	0	0	0	0																						1											1					
19163	卓伊			3		16				80								0	5960			5364					30						51	17	17	17	17	17		39	4	4	4	4		19163		160	80	160	80	28	1	30		1	1024	20	10																									99999999											29697											385	500	838860	80小橙武任务							<G>你也是来找问我师哥切磋武艺的么？	300									scripts/Map/小橙武任务/npc/五毒召唤.lua															0	9000	-1									254	0					275	330																																																							16					0	0	0	0	0																						1											1					
19164	欧阳笙			3		12				80								0	5960			5364					30						51	17	17	17	17	17		39	4	4	4	4		19164		160	80	160	80	28	1	30		1	1024	20	10																									99999999											29698											385	500	838860	80小橙武任务							<G>工圣爷爷为什么要让我来这里……这里好可怕……	300	<G>工圣爷爷说，修习离经易道心法的弟子可以通过<F172 阳离>周围的<F173 蘑菇>来完成挑战，只是我在这看了许久，还没有参透工圣爷爷是什么意思……	300	<G>嘤嘤嘤嘤……这里面有好多奇怪的东西……似人非人的……	300					scripts/Map/小橙武任务/npc/万花召唤.lua															0	9000	-1									254	0					275	330																																																							12					0	0	0	0	0																						1											1					
19165	尉迟熙琳			3		13				80								0	5960			5364					30						51	17	17	17	17	17		39	4	4	4	4		19165		160	80	160	80	28	1	30		1	1024	20	10																									99999999											29699											385	500	838860	80小橙武任务							<G>你也是来找我哥哥切磋武艺的么？	300									scripts/Map/小橙武任务/npc/天策召唤.lua															0	9000	-1									254	0					275	330																																																							13					0	0	0	0	0																						1											1					
19166	唐蕙			3		17				80								0	5960			5364					30						51	17	17	17	17	17		39	4	4	4	4		19166		160	80	160	80	28	1	24		1	1024	14	10																									99999999											29700											385	500	838860	80小橙武任务							<G>悄悄告诉你个秘密……涛姐姐在运功时若被打断与机关弩的联系，便会遭到内力反噬。\n<H28><G>不要误会，我只是怕你被涛姐姐重伤……	300	<G>你也是来和涛姐姐切磋的么？	1000							scripts/Map/小橙武任务/npc/唐门召唤.lua															0	9000	-1									254	0					275	330																																																							17					0	0	0	0	0																						1											1					
19167	清辰			3		11				80									5960			5364											51	17	17	17	17	17		39	4	4	4	4		19167		160	80	160	80	28	1	25		1	1024	15	10																									99999999											29701											385	500	838860	80小橙武任务							<G>狮吼功是凭借极深厚的内力释放的音波攻击，功力不足者会被震至内伤，就算是一般高手，也会被眩晕许久。但是佛门武功自有其他佛法可化解，罗汉金身和灵山施雨可保灵台清明不受影响。	300	<G>千斤坠是我少林独门绝学，每年梅花桩试炼不知要难倒多少师兄弟。不过一旦练成，威力巨大。但是这招也有他的缺陷，人在空中如果不小心被捕风捉影之类的龙爪手招式抓住，会摔得很惨哟。	300	<G>佛法中的追求的是无我无相，四大皆空的境界，少林洗髓一功中最高的守御绝学无相诀就是来源于此，可万物生克，因果循环，归去来棍正可破此“空”的境界。	300					scripts/Map/小橙武任务/npc/少林召唤.lua															0	9000	-1										0					275	330																																																							11																															1											0					
19168	慕容晚			3		15				80								0	5960			5364					30						51	17	17	17	17	17		39	4	4	4	4		19168		160	80	160	80	28	1	30		1	1024	20	10																									99999999											29702											385	500	838860	80小橙武任务							<G>你也是来接受试炼的么？几位姐姐现在恐怕没有空……	300									scripts/Map/小橙武任务/npc/七秀召唤.lua															0	9000	-1									254	0					275	330																																																							15					0	0	0	0	0																						1											1					
19169	阳岚			3		20				80								0	5960			5364					30						51	17	17	17	17	17		39	4	4	4	4		19169		160	80	160	80	28	1	30		1	1024	20	10																									99999999											29703											385	500	838860	80小橙武任务							<G>悄悄告诉你，跳起来可以躲避师兄的望月斩哦……\n<H28><G>对了，不要告诉别人是我跟你说的哦……	300	<G>师兄的新月斩只能攻击他面前的敌人，他最讨厌别人围着他绕来绕去了……\n<H28><G>对了，不要告诉别人是我跟你说的哦……	300							scripts\Map\小橙武任务\npc\明教召唤.lua															0	9000	-1									254	0					275	330																																																							20					0	0	0	0	0																						1											1					
19174	蚊子			2	0		1	1	0	1	0	950	1	3	0	0			5	0	0	4	0	0	100	6		9000	0	0	0	0	8	3	3	3	3	3	1024	6	1	1	1	1	0	19174	1	4	3	4	3	28	1	43	0	1	1024	33	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	99999999	0			0		0		0		0	25825	0	0	0	0	0	0	0	0	0	2	0	0	0	80小橙武任务	0	0	1	1	0			0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	-1	0	0	0	0	0	0	0			0	1	0	960	3	2	1	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8				0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1											0					
19309	蘑菇					26		6		80			24					0	234000			5364											51	17	17	17	17	17		39	4	4	4	4		19309		45	22	45	22	28	1	43		1	1024	33	10																									99999999											29839										2	0	0	0	80小橙武任务																																0	9000	-1										0					275	330																																																							26																															1											0					
19310	晚雪					5				80				4					234000			13410											51	87	87	87	87	87		82	7	7	7	7		19310		65	33	65	33	28	1	30		1	1024	20	10																									99999999											29840											458	595	838860	80小橙武任务																																0	9000	-1										0				6	275	392																																																							5																															1											0					
19311	夜霜					5				80				4					234000			13410											51	87	87	87	87	87		82	7	7	7	7		19311		65	33	65	33	28	1	30		1	1024	20	10																									99999999											29841											458	595	838860	80小橙武任务																																0	9000	-1										0				6	275	392																																																							5																															1											0					
19312	照萤					5				80				4					234000			13410											51	87	87	87	87	87		82	7	7	7	7		19312		65	33	65	33	28	1	30		1	1024	20	10																									99999999											29842											458	595	838860	80小橙武任务																																0	9000	-1										0				6	275	392																																																							5																															1											0					
19313	卓厉的巨蝎					28		2		80				4					234000			13410											51	87	87	87	87	87		82	7	7	7	7		19313		65	33	65	33	28	1		16	1	1024	10	10	4339	1	128	32		5120			4340	1	128	64		10240											99999999											29843										2	0	0	0	80小橙武任务																																0	9000	-1										0				6	275	392																																																							28																															1											0					
19314	小飞虫														0	0			5			4											8	3	3	3	3	3		6	1	1	1	1		19314		3	2	3	2																																	99999999											25825										2	0	0	0	80小橙武任务																																0	9000	-1							0			0					2	1																																																																																						1											0					
19315	生太极					28									0	0			5			4											8	3	3	3	3	3		6	1	1	1	1		19315		4	3	4	3	28	1	43		1	1024	33	10																									99999999											29846										2	0	0	0	80小橙武任务																																0	9000	-1							0			0					2	1																																																							28																															1											0					
19316	蟑螂														0	0			5			4											8	3	3	3	3	3		6	1	1	1	1		19316		3	2	3	2																																	99999999											25825										2	0	0	0	80小橙武任务																																0	9000	-1							0			0					2	1																																																																																						1											0					
19317	耗子														0	0			5			4											8	3	3	3	3	3		6	1	1	1	1		19317		3	2	3	2																																	99999999											25825										2	0	0	0	80小橙武任务																																0	9000	-1							0			0					2	1																																																																																						1											0					
19318	唐飞涛					28		9		80				5	0	0		0	321848			289663					0						0	51	51	51	51	51		82	7	7	7	7		19318		2350	1175	2350	1175		1	43		1	1024	33	10																									99999999											29848										2	0	0	0	80小橙武任务																																0	9000	-1							0		3071	0				14	275	5000																																																							28					0	0	0	0	0																						1											1					
19346	唐飞涛					28		9		80				5	0	0		0	321848			289663					0						0	51	51	51	51	51		82	7	7	7	7		19346		2350	1175	2350	1175		1	43		1	1024	33	10																									99999999											29861										2	0	0	0	80小橙武任务																																0	9000	-1							0		3071	0				14	275	5000																																																							28					0	0	0	0	0																						1											1					
19347	唐门炮台			4		28		9		80				5	0	0		0	358217			0					0						0	54	54	54	54	54		89	0	0	0	0		19347		2162	1081	2162	1081			43		1	1024	33	10																									99999999											30131										2	0	0	0	80小橙武任务			3																													0	9000	-1							0	15	3071	0				14	275	5000																																																							28					0	0	0	0	0																																	1					
19348	唐门重弩			4		28		9		80			19	5	0	0		0	293847			0					0						0	58	58	58	58	58		70	0	0	0	0		19348		2595	1297	2595	1297			43		1	1024	33	10																									99999999											29847										2	0	0	0	80小橙武任务			3	4																												0	9000	-1							0	0	3071	0				14	275	5000																																																							28					0	0	0	0	0																																	1					
19349	小虫			4				9		80					0	0		0	5960			5364					30						51	17	17	17	17	17		39	4	4	4	4		19349		160	80	160	80																																	99999999											25825										2	0	0	0	80小橙武任务																																0	9000	-1							0		254	0					275	330																																																												0	0	0	0	0																						1											1					
19350	天工甲人·呆呆	从不健忘		3		26		3		80				4					44701			40231											51	87	87	87	87	87		82	7	7	7	7		19350		317	159	317	159	28	1	26		1	1024	16	10																																				29865											0	0	0	80小橙武任务							<G>看一看……瞧一瞧……咯咯……走过路过……咯咯……不要错过……\n<H28><G>只要给呆呆<F172 两百金>……咯咯……侠士就能领回丢失的小神兵啦……咯咯……	900									scripts\Map\小橙武任务\npc\武器找回.lua															0	9000											0				8	275	1650																																																							26																															1											0					
