ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
19498	吴天良	赝品商人		2	0	0	1	1	0	80	0	950	1		1	0		180	5960	0	0	5364	0	0	100	6	22	9000	0	0	0	0	51	17	17	17	17	17	1024	39	4	4	4	4	0	19498	1	295	147	295	147	28	1	59	0	1	1024	49	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	30024	0	0	0	0	0	0	0	0	0		385	500	838860	ACT_明教预热	0	0	1	1	0	0	<G>只需要给我一点点金币，我便给你圣火令的线索。	100	<G>何谓真？何谓假！就算拿假的线索给蓝梅，她也未必知道真假！	100	<G>我才不相信明教重归中原时便能知道圣火令线索的真假！侠士只管放心从我这拿了圣火令给那蓝梅去交差，只需要一点点金钱哦！	100					scripts/Map/ACT_明教预热活动/npc/吴天良.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	960	3	275	330	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8				0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1											0					
19499	蓝梅					26				80									5960			5364				6	22						51	17	17	17	17	17		39	4	4	4	4		19499	1	160	80	160	80	28	1	26	0	1	1024	16	10	666	17	80	0	1	512	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20									30204											0	0	838860	ACT_明教预热						0	<G>教主命我前来寻找圣火令的线索。\n<G><F171 每晚9点到10点的闲暇之余，大侠可以找我帮忙打开玲珑宝箱。>	1000	<G>圣火令是我明教圣物。但凡真心出力帮我教找回圣火令线索者必将给予重谢。\n<G><F171 每晚9点到10点的闲暇之余，大侠可以找我帮忙打开玲珑宝箱。>	1000	<G>旁边那个吴天良……哼。\n<G><F171 每晚9点到10点的闲暇之余，大侠可以找我帮忙打开玲珑宝箱。>	1000					scripts/Map/ACT_明教预热活动/npc/蓝梅.lua					0	0	0	0	0	0	0	0			0	9000	3840								1	0	0		1440	420		275	330					-1	7	0																0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26										0			0	0	0	0		0					0	0	0	0					1											0					
19519	玄字零零贰			2	0	0	1	1	0	1	0	950	1	3	1	1		180	5	0	0	4	0	0	100	6	22	9000	0	0	0	0	8	3	3	3	3	3	1024	6	1	1	1	1	0	19519	1	3	2	3	2	28	1	30	0	1	1024	20	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	30036	0	0	0	0	0	0	0	0	0	1	0	0	0	ACT_明教预热	0	0	1	1	0	0	<G>这圣火令线索已找寻了好些时日！	100	<G>很多人都觉得这世间真真假假难以分辨，但总有人能分辨真假的。	100	<G>明教这次寻找圣火令可真是下足了本钱。	100					scripts/Map/ACT_明教预热活动/npc/玄字零零贰.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	960	3	2	1	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8				0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1											0					
19531	蓝梅					26				80									5960			5364				6	22						51	17	17	17	17	17		39	4	4	4	4		19531	1	160	80	160	80	28	1	26	0	1	1024	16	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20									30205											0	0	838860	ACT_明教预热						0	<G>全靠各位鼎力相助，圣火令最终找到了。	1000		0		0					scripts/Map/ACT_明教预热活动/npc/蓝梅_真.lua					0	0	0	0	0	0	0	0			0	9000	3840								1	0	0		0	960		275	330					-1	7	0																0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26										0			0	0	0	0		0					0	0	0	0					1											0					
19532	蓝梅					26				80									5960			5364				6	22						51	17	17	17	17	17		39	4	4	4	4		19532	1	160	80	160	80	28	1	26	0	1	1024	16	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20									30152											0	0	838860	ACT_明教预热						0	<G>结果到最后还是没有寻到圣火令，真是对不住一直帮忙的诸位。	1000		0		0					scripts/Map/ACT_明教预热活动/npc/蓝梅_假.lua					0	0	0	0	0	0	0	0			0	9000	3840								1	0	0		0	960		275	330					-1	7	0																0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26										0			0	0	0	0		0					0	0	0	0					1											0					
19540	智行天	说书先生								20			41						266			240				6	22						11	4	4	4	4	4		9	1	1	1	1		19540	1	26	14	26	14	28	1	28	0	1	1024	18	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20									30050											0	0	629145	ACT_明教预热						0	<G>明教重返中原，是福还是祸？唉！	1800	<G>当年枫华谷之变后，明教教主陆危楼便成为当时炙手可热的人物！	1200	<G>大光明寺事件后，陆危楼只好率众西迁，这一晃就是十多年了。	1800					scripts\Map\ACT_明教预热活动\npc\智行天.lua					0	0	0	0	0	0	0	0			0	9000	3840								0	0	0		0	960		54	210					-1	7	0																0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8											0			0	0	0	0		0					0	0	0	0					1											0					
19542	陆危楼					27				84				6					547481300			2530745				6	22						54	32	32	32	32	32		191	80	80	80	80		19542	1	500000	309	620	309	28	1	28	0	1	1024	18	10	7686	1	400	200	1	1024	16	8	7688	1	368	184	1	1024	16	8			208	0	1	1024	16	8	4800	0	20									30151											0	0	0	ACT_明教预热					1	0		0		0		0					scripts/Map/ACT_明教预热活动/npc/陆危楼.lua					0	0	0	0	0	0	0	0					3840								1	510	0		0	960	15	218	430					-1	7	0																0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	27					0	0	0	0	0	0			0	0	0	0		0					0	0	0	0					1											1					
19543	南诏将军					26				80			32	5					75000000			15602				6	22						54	32	32	32	32	32		191	80	80	80	80		19543	1	480000	309	620	309	28	1	20	0	1	1024	10	10		1	240	0	1	1024	16	8		1	320	0	1	1024	16	8			160	0	1	1024	16	8	4800	0	20									30188											0	0	0	ACT_明教预热					1	0		0		0		0					scripts/Map/ACT_明教预热活动/npc/南诏将领.lua					0	0	0	0	0	0	0	0					3840								0	510	1		0	960	13	190	430					-1	7	0																	0	0	0		0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26					0	0	0	0	0	0			0	0	0	0		0													1											1					
19544	玛依妮莎									80									5960			5364											51	17	17	17	17	17		39	4	4	4	4		19544		160	80	160	80	28	1	26		1	1024	16	10																																				30058											0	0	838860	ACT_明教预热							<G>凡我弟子，同心同劳。圣火昭昭，圣光耀耀。	50	<G>有圣教主在，这些南诏刀兵想要夺走“山河社稷图”简直就是妄想！	50	<G>我们被围困已经好几天了，食物还剩下一些，水却早喝完了。如果侠士能给被困的阿依克孜姐妹送些水，便是我们的恩人。	50																				0	9000											0		1440	420		275	330																																																																																						1											0					
19546	阿依克孜	洪水旗弟子				26				80			41			0			5960			5364											51	17	17	17	17	17		39	4	4	4	4		19546		160	80	160	80	28	1	26		1	1024	16	10																																				30060											0	0	838860	ACT_明教预热							<G>普启一切诸明使，及以神通清净众。	50	<G>各乞慜念慈悲力，舍我一切诸愆咎。	50	<G>怜我世人，飘零无助，惟光明子，泽被万物。	50					scripts\Map\ACT_明教预热活动\npc\上骆驼交通.lua															0	9000											0					275	330																																																							26																															1											0					
19547	阿依克孜	洪水旗弟子				26				80			41			0			5960			5364											51	17	17	17	17	17		39	4	4	4	4		19547		160	80	160	80	28	1	26		1	1024	16	10																																				30061											0	0	838860	ACT_明教预热							<G>凡我弟子，同心同劳。圣火昭昭，圣光耀耀。	50	<G>怜我世人，飘零无助，惟光明子，泽被万物。	50	<G>普启一切诸明使，及以神通清净众。	50					scripts\Map\主城茶馆\npc\茶客.lua															0	9000											0					275	330																																																							26																															1											0					
19548	萨迪克	回纥族人				26				80			27			0			5960			5364											51	17	17	17	17	17		39	4	4	4	4		19548		160	80	160	80	28	1	28		1	1024	18	10																																				30062											0	0	0	ACT_明教预热							<G>中原人待人客气，不愧是礼仪之邦，但我还是习惯家乡人的豪爽。	1000	<G>之前听说扬州的月亮很美，我们那的月亮也很美，不知道哪一个更美。	1000	<G>来到中原感觉有很多的不一样，圣山上的明教使者，不少也来自于中原，真是个好地方。	1000					scripts\Map\主城茶馆\npc\茶客.lua															0	9000											0					275	330																																																							26																															1											0					
19549	骆驼					26										0			5			4											8	3	3	3	3	3		6	1	1	1	1		19549		3	2	3	2	28	1	31		1	1024	21	10																																				30063											0	0	0	ACT_明教预热																																0	9000											0					2	1																																																							26																															1											0					
19550	明明							15				383	122			0			5			4											8	3	3	3	3	3		6	1	1	1	1		19550		3	2	3	2	28	1	26		1	1024	16	10																																				30064											0	0	0	ACT_明教预热																	scripts/Map/跟宠系统/npc/预热波斯猫明明.lua															0	9000											0					2	78																																																																																						1											0					
19551	洪水旗弟子					26							104			0			5			4											8	3	3	3	3	3		6	1	1	1	1		19551		3	2	3	2	28	1	26		1	1024	16	10																																				30065											0	0	0	ACT_明教预热							<G>风沙太大，我行几人口渴难耐无法继续前行。	50	<G>我等都已疲乏不堪，更别说驮着如此多重物的骆驼了。	50	<G>各乞慜念慈悲力，舍我一切诸愆咎。	50					scripts\Map\ACT_明教预热活动\npc\调息中的洪水旗弟子.lua															0	9000											0					2	1																																																							26																															1											0					
19552	骆驼					26										0			5			4											8	3	3	3	3	3		6	1	1	1	1		19552		3	2	3	2	28	1	31		1	1024	21	10																																				30066											0	0	0	ACT_明教预热																																0	9000											0					2	1																																																							26																															1											0					
19553	龙门荒漠小怪总控	西山娱乐				26													5			4											8	3	3	3	3	3		6	1	1	1	1		19553		3	2	3	2																																												30067											0	0	0	ACT_明教预热																																0	9000											0					2	1																																																							26																															1											0					
