ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
27536	花灯			2	0	0	1	3	0	90	0	950	21		1	0		180	10205	0	0	9184	0	0	100	6	4	9000	0	0	0	0	57	19	19	19	19	19	1024	44	4	4	4	4	0	27536	1	1477	738	1477	738	28	1	236	0	1	1024	226	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	39042	0	0	0	0	0	0	0	0	0					Act_元宵节	0	0	1	1	0	12		0		0		0		0	0	0						0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	0	0		0	1	1440	420	3	350	350	-1	0		0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1	128	0		0			0	0	1	204	1					
27537	刷花灯的总控			2	0	0	1	1	0	1	0	950	1	3	1	1		180	5	0	0	4	0	0	100	6	22	9000	0	0	0	0	8	3	3	3	3	3	1024	6	1	1	1	1	0	27537	1	3	2	3	2	0	0	32	0	1	1024	16	8	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Act_元宵节	0	0	1	1	0	0		0		0		0		0	0	0						0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	0	0	0	1	1440	420	3	2	1	-1	0		0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	0	0		0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1	128	0		0			0	0	1	204	0					
27538	花灯							3		90			72			0			10205			9184					4						57	19	19	19	19	19		44	4	4	4	4		27538		1477	738	1477	738	28	1	236		1	1024	226	10																																				39043														Act_元宵节						12																										0	9000								0	0		0					350	350																																																												0	0	0	0	0																																	1					
27539	花灯							3		90						0			10205			9184					4						57	19	19	19	19	19		44	4	4	4	4		27539		1477	738	1477	738	28	1	236		1	1024	226	10																																				39044														Act_元宵节						12																										0	9000								0	0		0					350	350																																																												0	0	0	0	0																																	1					
27540	花灯							3		90			33			0			10205			9184					4						57	19	19	19	19	19		44	4	4	4	4		27540		1477	738	1477	738	28	1	236		1	1024	226	10																																				39045														Act_元宵节						12																										0	9000								0	0		0					350	350																																																												0	0	0	0	0																																	1					
27541	花灯·竹梦							3		90			330			0			10205			9184					4						57	19	19	19	19	19		44	4	4	4	4		27541		200	100	200	100	28	1	11		1	1024	1	10																																				39046														Act_元宵节						12																										0	9000								0	0	254	0					350	350																																																												0	0	0	0	0																																	1					
27542	风筝							3		90									10205			9184											57	19	19	19	19	19		44	4	4	4	4		27542		1721	860	1721	860	28	1	275		1	1024	265	10																																				39047														Act_元宵节																																0	9000									0		0					350	350																																																												0	0	0	0	0																																	1					
27543	王樊									90			29						10205			9184											57	19	19	19	19	19		44	4	4	4	4		27543		200	100	200	100	28	1	28		1	1024	18	10																																				39048											545	1656	838860	Act_元宵节							<G>这风筝何时才能取下来……	1000	<G>当年我也是会轻功的一把好手，直到岁月砍了我一刀。	1000							scripts\Map\ACT_元宵节\npc\王樊.lua															0	9000											0		1440	420		350	350																																																																																																						
27544	汤小尛									25			18						360			324					20						15	5	5	5	5	5		11	1	1	1	1		27544		36	18	36	18	28	1	25		1	1024	15	10																																				39049											26	77	629145	Act_元宵节																																0	9000									0		0					69	220																																																																																																						
27545	汤小圆									25									360			324					20						15	5	5	5	5	5		11	1	1	1	1		27545		36	18	36	18	28	1	25		1	1024	15	10																																				39050											26	77	629145	Act_元宵节																																0	9000											0					69	220																																																																																																						
27546	孙海南									90			74						10205			9184											57	19	19	19	19	19		44	4	4	4	4		27546		200	100	200	100	28	1	30		1	1024	20	10																																				39051											545	1656	838860	Act_元宵节																																0	9000											0					350	350																																																																																																						
