ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
17864	阿幼朵	圣蝎使		3		16				93				2					72320559			65088503					33						0	170	170	170	170	170		254	22	22	22	22		17864		5563	2782	5563	2782	28	1	31		1	1024	21	10																																				27774											16472	50166	838860	安史之乱枫华谷							<G>汉人打仗真没意思，弄得到处都是残肢污血。	100	<G>这些笨弟子，一到中原整天都板着脸，真是无趣！	100																						0	9000											0				2	605	5000																																																																																															1		0	1				
17865	江夏	江家二少		3		37				87									7280			6552											55	18	18	18	18	18		42	4	4	4	4		17865		170	84	170	84	28	1	28		1	1024	18	10																																				27775											497	1506	838860	安史之乱枫华谷							<G>嫂子的香气好比洛阳中的牡丹，紧紧将我包围。	100	<G>赛飞燕，总有一天会让你知道我的厉害。	100							scripts\Map\枫华谷_安史之乱\npc\江夏.lua															0	9000											0					300	344																																																							37																																								1		0					
17866	李婉仪	江家大儿媳		3		37				87									7280			6552											55	18	18	18	18	18		42	4	4	4	4		17866		170	84	170	84	28	1	26		1	1024	16	10																																				27776											497	1506	838860	安史之乱枫华谷							<G>我的儿，我的儿，你到底在哪……	100	<G>小女子一生命苦，只是个飘零浮萍。	100							scripts\Map\枫华谷_安史之乱\npc\李婉仪.lua															0	9000											0					300	344																																																							37																																								1		0					
17867	弃尸表现1			3		28				88									7387			6648											56	18	18	18	18	18		43	4	4	4	4		17867		171	86	171	86	28	1	31		1	1024	21	10	664	17	32		1	512	9	8																												27777											513	1556	838860	安史之乱枫华谷							<G>第一次来中原，想不到竟然看到这幅尸横遍野战火焚烧的模样儿。	100	<G>这些背叛蚩尤大神的天一恶贼，终会被消灭掉！	100																						0	9000									5		0					304	346																																																							28																																								1		0					
17868	耿金忠	奔雷营统帅				37				93				4					146901			132211											99	170	170	170	170	170		160	15	15	15	15		17868		682	342	682	342	28	1	31		1	1024	21	10																																				27778											2965	9030	838860	安史之乱枫华谷							<G>狼牙将我等将士围困于此，又不动全力来歼，定然有所图谋。	100	<G>不知道外面战况如何，实在让人内心焦急。	100							scripts/Map/枫华谷_安史之乱/npc/耿金忠.lua															0	9000											0				8	605	1780																																																							37																																								1		0	1				
17869	霍去狄	奔雷营先锋官				37				90				6					551094			495985											0	58	58	58	58	58		93	8	8	8	8		17869		801	401	801	401	28	1	43		1	1024	33	10	667	1	80		1	512	9	8																												27779											6812	20700	838860	安史之乱枫华谷							<G>狼牙这些疯狗，总有一天我们会打得他们哭爹喊娘。	100																								500	9000											0				5	350	4375																																																							37																																								1		0					
17870	贾主簿	奔雷营主簿		3		37				88									7387			6648											56	18	18	18	18	18		43	4	4	4	4		17870		171	86	171	86	28	1	28		1	1024	18	10	688	1	120		7	500		8																												27834	0	0	0	0	0	0	0	0	0		513	1556	838860	安史之乱枫华谷							<G>不义而富且贵，于我如浮云。	100	<G>裔不谋夏，夷不乱华，俘不干盟，兵不逼好。	100							scripts\Map\枫华谷_安史之乱\npc\贾主簿.lua															0	9000											0					304	346																																																							37																																								1		0					
17871	孟平	奔雷营昭武校尉		3		37				90			29	4					76540			68886											57	98	98	98	98	98		93	8	8	8	8		17871		398	198	398	198	28	1	31		1	1024	21	10	634	17	240		2	512		8																												27781											2725	8280	838860	安史之乱枫华谷							<G>在穿上这身军装的时候，我已经有了为国捐躯的心理准备。那时候，我是孑身一人。	100																								0	9000											0				8	350	1750																																																							37																																								1		0					
17873	明旭	奔雷营新兵				37				87									7280			6552											55	18	18	18	18	18		42	4	4	4	4		17873		170	84	170	84	28	1	30		1	1024	20	10	666	1	80		1	512		8																												27783											497	1506	838860	安史之乱枫华谷							<G>俺很挂念俺娘，等这仗打完了，俺得赶回去照顾俺娘。	100																								0	9000											0					300	344																																																							37																																								1		0					
17874	元小二	奔雷营老兵				37				87				4					18202			16381											55	95	95	95	95	95		89	8	8	8	8		17874		329	165	329	165	28	1	31		1	1024	21	10	659	17	320		1	512		8																												27784											591	1792	838860	安史之乱枫华谷							<G>今朝有酒今朝醉，得活一天是一天呀。	100																								0	9000											0				6	300	409																																																							37																																								1		0					
