ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
3994	阮唯			3	0	26				50		950	28	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		3994	21	86	43	86	43	28	1	28				18	10			32								32								32																	2920										1	56	72	734003	巴陵友善NPC							<G>这么水灵的姑娘也被那些山贼打伤了……	100	<G>这巴陵是越来越不安稳了。	100	<G>这道上山贼出没，行路人快快赶路，别要停留却伤了性命。	100																				0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
3995	陈八			3	0	26				50		950	31	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		3995	21	86	43	86	43	28	1	28				18	10			32								32								32																	2921										1	56	72	734003	巴陵友善NPC							<G>救命啊……大侠你是来救我的么？呜呜……吓死我也……	100	<G>哎呀呀！莫要杀吾！吾乃一介寒门孺子，身无半两纹银啊……	100							scripts\Map\巴陵县\npc\陈八先生.lua															0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
3996	金九陵			3	0	26				50		950	28	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		3996	21	86	43	86	43	28	1	28				18	10	697	11	80		1	512	14	8			32								32																	2922										1	56	72	734003	巴陵友善NPC							<G>君子爱财，取他人之财为我用，此乃人生一大乐事！	100	<G>人生苦短，为官者谁不想为己谋点小利。那些小民，且不说他们命如蝼蚁，但凡于本官无用之人，留着何用？	100			<G>恩断义绝情已碎，十年恩怨化成风。望眼欲穿红尘路，浮生若梦终成空。	3723																		0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
3997	曲无歌	七秀坊		3	0	15				50		950	36	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		3997	21	86	43	86	43	28	1	30				20	10			32								32								32																	2924										1	56	72	734003	巴陵友善NPC							<G>七秀坊弟子虽然不喜招惹是非，但遇到这等良善之人被欺之事却也不能袖手旁观。	100	<G>是非之地，不宜久留……	100	<G>近日巴陵过来不少江湖中人，这小镇也不再那般安静了。	100																				0	9000									15		0				3	147	265																																																							15				0									0	0	0	0															1									1		0					
3998	谷之岚	万花谷		3	0	12				50		950	36	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		3998	21	86	43	86	43	28	1	30				20	10			32								32								32																	2926										1	56	72	734003	巴陵友善NPC							<G>从长安一路追查至此。一路的稀奇事件实不寻常。可怜的是无辜的村民百姓。	100																								0	9000									15		0				3	147	265																																																							12				0									0	0	0	0															1									1		0					
3999	影	天璇		3	0	26				72		950	28	2				3600	3927603			1642130					32						49	99	99	99	99	99		243	72	72	72	72		3999	21	17543	8771	17543	8771	28	1	28				18	10			32								32								32																	2927										1	5555	9027	838860	巴陵友善NPC					1		<G>看到的不是真相，真相你永远看不到。	100	<G>不灭烟定然在巴陵……莫要被我找到他……	100	<G>浩气盟总盟便在南屏山中，有志除恶的高手皆可前往入盟。	100																				500	9500									15	254	0				2	111	2000																																																							26					0	0	0	0	0				0	0	0	0															1									1		1					
4001	东郭小天	浩气盟		3	0	26				55		950	39	6				30	96167			86550					22						0	35	35	35	35	35		56	5	5	5	5		4001	21	284	142	284	142	28	1	27				17	10			32								32								32																	2929										1	1100	1425	838860	巴陵友善NPC							<G>浩气长存天地间。	100	<G>我们浩气盟可不是寻常江湖人便能入的，盟里都是大英雄，专惩世间恶贼！\n<H28><G><F174 东郭小天头抬得高高的，十分得意。>\n<H28><G>看见那边的影大人了么，那可是天下七星之一，天璇之星啊。我便是大人的亲随了！	100	<G>影大人的随身兵刃落入河中了，可惜我东郭小天不会水性。\n<H28><G>下次回家，定要学上一番，以后也好为影大人出力。	100	<G><F174 东郭小天笑道：>\n<H28><G>听说你帮影大人找回了寒光照铁刃，幸亏有你在啊，那样的宝刀，若是落入凡人手中便可惜了……\n<H28><G><F174 东郭小天遗憾的摇头：>\n<H28><G>不知我何日才配持有那样的神兵……	3413																		500	9000									15		0				5	163	2000																																																							26				20									0	0	0	0															1									1		0					
4002	杨守良	浩气盟		3	0	26				50		950	28	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		4002	21	89	44	89	44	28	1	33				23	10			32								32								32																	2930										1	56	72	734003	巴陵友善NPC							<G>贼人就是贼人，不可能还有好的！	100																								0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
4007	颜如烟	七秀坊		3	0	15				65		950	36	3				30	2699			2429					22						41	14	14	14	14	14		31	3	3	3	3		4007	21	113	57	113	57	28	1	30				20	10			32								32								32																	2935										1	168	218	838860	巴陵友善NPC							<G>想不到在这里还能碰上之岚姐姐，这可都是缘分啊。	100																								0	9000									15		0				3	194	280																																																							15				0									0	0	0	0															1									1		0					
4008	符木子	浩气盟		3	0	26				50		950	27	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		4008	21	86	43	86	43	28	1	10				0	10			32								32								32																	2936										1	56	72	734003	巴陵友善NPC							<G>我就说还管这些个闲事做什么！闹的现在是泥菩萨过江了！	100																								0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
4009	紫竹翁	浩气盟		3	0	26				50		950	28	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		4009	21	86	43	86	43	28	1	28				18	10			32								32								32																	2937										1	56	72	734003	巴陵友善NPC							<G>那些山贼人多，又居高仗势，我等还要小心行事才好啊……	100																								0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
4010	善进			3	0	26				50		950	35	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		4010	21	105	52	105	52	28	1	39				29	10			32								32								32																	2938										1	56	72	734003	巴陵友善NPC							<G>阿弥陀佛，不知师父现在是否……阿弥陀佛……	100																								0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
4011	释然			3	0	26				50		950	48	3		0		30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		4011	21	86	43	86	43	28	1	25				15	10			32								32								32																	2943										1	56	72	734003	巴陵友善NPC							<G><F174 释然大师已然圆寂多时……>	100																								0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
4012	释智			3	0	26				50		950	42	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		4012	21	86	43	86	43	28	1	23				13	10			32								32								32																	2939										1	56	72	734003	巴陵友善NPC							<G>人生在世，如身处荆棘之中，心不动，人不妄动，不动则不伤；如心动则人妄动，伤其身痛其骨，于是体会到世间诸般痛苦。	100	<G>我不入地狱，谁入地狱。	100																						0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
4013	巴蜀东			3	0	26				50		950	27	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		4013	21	86	43	86	43	28	1	28				18	10			32								32								32																	2940										1	56	72	734003	巴陵友善NPC							<G>娘子还在家里候着我回去。该死的山贼，我们已经把能给的都给他们了，还要赶尽杀绝！	100	<G>你来救我么？陈八他们还活着吗？	100																						0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
4015	和尚的遗体			3	0	26				50		950	41	3	0	0		30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		4015	21	86	43	86	43	28	1	31				21	10			32								32								32																	2944										1	56	72	734003	巴陵友善NPC							<G><F174 这是个年幼的小和尚，只可惜已经没有了呼吸……>	100																								0	9000								0	15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
4016	莫辨机	恶人谷		3	0	26				50		950	28	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		4016	21	86	43	86	43	28	1	27				17	10			32								32								32																	2945										1	56	72	734003	巴陵友善NPC							<G><F174 莫辨机呆呆地望向白首山山门。>\n<H28><G>不妙不妙，就要过了和少爷说好的期限了。	100					<G>多亏了你，不然可不知道少爷要如何惩罚于我了。	3756																		0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
4017	令狐潮			3	0	26				50		950	41	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		4017	21	86	43	86	43	28	1	31				21	10			32								32								32																	2946										1	56	72	734003	巴陵友善NPC							<G><F174 令狐潮咬牙叫道：>\n<H28><G>铁马别牙不开口，钢刀剜胆心不变。小弟废话有一句，五雷击顶不久全。	100																								0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
4076	莫雨	恶人谷		3	0	26				52		950	28	6				30	88371			79534					22						0	33	33	33	33	33		52	5	5	5	5		4076	21	268	135	268	135	28	1	24				14	10	1184	20	32				14		1185	20	32				15		1197	20	32				22													37197										1	850	1100	838860	巴陵友善NPC							<G>好多鳄鱼……	100	<G><F174 莫雨目光茫然……>\n<H28><G>恶人谷你去过么？那是我世上唯一可容身之地。	100	<G>恶人谷……是个好所在……	100					scripts\Map\巴陵县\npc\莫雨.lua															500	9000											0				5	154	2000																																																							26													0	0	0	0															1									1		0					
4083	莫阿金	恶人谷		3	0	26				50		950	28	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		4083	21	86	43	86	43	28	1	31				21	10			32								32								32																	2960										1	56	72	734003	巴陵友善NPC							<G>能在此遇见大侠真是太好了。说起我家主子……还是少知道点的好。	100																								0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
4084	莫采薇	恶人谷		3	0	26				50		950	36	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		4084	21	94	47	94	47	28	1	35				25	10			32								32								32																	2961										1	56	72	734003	巴陵友善NPC							<G>我，我什么都不知道。	100	<G>公子，公子说什么，照做就好了。	100	<G>恶人谷中的人都知道，不要惹怒公子。	100																				0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
4085	尹金水			3	0	26				50		950	28	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		4085	21	86	43	86	43	28	1	28				18	10			32								32								32																	2962										1	56	72	734003	巴陵友善NPC							<G>但愿大当家早些好转，好好看看董龙那恶人的嘴脸！	100	<G>静虎就是做事太过冲动了……	100																						0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
4087	姚静虎			3	0	26				50		950	47	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		4087	21	86	43	86	43	28	1	26				16	10			32								32								32																	2963										1	56	72	734003	巴陵友善NPC							<G>飞飞……\n<H28><G>我这热火的性子已被师父他教训多次，可还是改不掉，这次都怪我，害到飞飞和我那些兄弟们了……	100																								0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
4088	受伤的八角寨弟子			3	0	26				50		950	27	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		4088	21	86	43	86	43	28	1	28				18	10			32								32								32																	2966	3988									1	56	72	734003	巴陵友善NPC							<G>董龙小儿……竟然出……阴招……	100					<G>姚哥安全……便可为我等兄弟报仇了……	3541			scripts\Map\巴陵县\npc\受伤的八角寨弟子.lua															0	9000									9		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
4089	凤飞飞			3	0	26				50		950	41	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		4089	21	86	43	86	43	28	1	26				16	10			32								32								32																	2971										1	56	72	734003	巴陵友善NPC							<G>该死的，尽使阴招。今日若让飞飞活着出去，绝不放过这等小人！	100	<G>静虎他安然无恙便好……	100																						0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
4090	白孙太			3	0	26				50		950	41	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		4090	21	86	43	86	43	28	1	26				16	10			32								32								32																	2973										1	56	72	734003	巴陵友善NPC							<G>我等虽为山贼出身，但所作之事上可见苍天，下可对人心。今日遭此暗算，白孙太死也不瞑目！	100	<G>明枪易躲，暗箭难防啊……	100																						0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
4091	周童			3	0	26				50		950	39	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		4091	21	86	43	86	43	28	1	28				18	10			32								32								32																	2975										1	56	72	734003	巴陵友善NPC							<G>呵呵，我只是一个糟老头子，又能知道什么呢……	100																								0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
4092	周景			3	0	26				5		950	21	3				30	33			30					22						8	3	3	3	3	3		6	1	1	1	1		4092	21	6	3	6	3	28	1	24				14	10			32								32								32																	2977										1	2	2	629145	巴陵友善NPC							<G>你是坏人！再来打扰我爷爷我就吐你口水！	100																								0	9000									15		0				3	12	110																																																							26				0									0	0	0	0															1									1		0					
4093	周瑾			3	0	26				5		950	21	3				30	33			30					22						8	3	3	3	3	3		6	1	1	1	1		4093	21	6	3	6	3	28	1	24				14	10			32								32								32																	2982										1	2	2	629145	巴陵友善NPC							<G>看什么看！没见过小孩子啊！	100																								0	9000									15		0				3	12	110																																																							26				0									0	0	0	0															1									1		0					
4096	莫蓉蓉			3	0	26				50		950	36	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		4096	21	94	47	94	47	28	1	35				25	10			32								32								32																	2985										1	56	72	734003	巴陵友善NPC							<G>我在这兽居再多呆片刻，少爷也不会生气的吧？	100	<G>这里许多野兽，便如本谷兽王殿中一般。	100																						0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
4097	朱无垢	浩气盟		3	0	26				50		950	48	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		4097	21	86	43	86	43	28	1	28				18	10			32								32								32																	2987										1	56	72	734003	巴陵友善NPC							<G>那些个山贼真不识趣！还不自己降服，怕是朱某带人打进去的时候，他们便没什么活路了！	100																								0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
4098	镇鳄仙子	恶人谷		3	0	26				50		950	41	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		4098	21	86	43	86	43	28	1	26				16	10			32								32								32																	2991										1	56	72	734003	巴陵友善NPC							<G>世界上最美的，便是那厚实的鳄皮，当然，需得经过我的加工方能美的不可琢磨。	100	<G>兽王答应此番回去，便要赏我一只南洋运来的巨鳄呐！	100	<G>恶人谷中，除了王遗风谷主雄才大略，最为出众的便是小小年纪便名列十大恶人的莫雨公子了。	100																				0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
4099	伏豹散人	恶人谷		3	0	26				50		950	50	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		4099	21	97	48	97	48	28	1	36				26	10			32								32								32																	2998										1	56	72	734003	巴陵友善NPC							<G>森林虽小，和谐处处，处处是家；江湖乃大，形形色色，何处可容？	100	<G>你说那边的镇鳄仙子，与我可还匹配？	100																						0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
4100	斩鹅尊者	恶人谷		3	0	26				50		950	41	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		4100	21	86	43	86	43	28	1	31				21	10			32								32								32																	3001										1	56	72	734003	巴陵友善NPC							<G>我一见到烤肥鹅……就……就想吞口水啊……	100																								0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
4101	功夫螳螂	恶人谷		3	0	26				50		950	31	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		4101	21	86	43	86	43	28	1	25				15	10			32								32								32																	3007										1	56	72	734003	巴陵友善NPC							<G>在下善长治兽！嘿嘿！这也是个能耐啊！我也因而深得兽王看重。	100	<G>吱吱，呱～～～哞……噜噜、噜噜、噜噜……\n<H28><G><F174 功夫螳螂疑惑地看向你。>\n<H28><G>你听得懂我在说什么吗？	100	<G>人有人言，兽有兽语。	100					scripts\Map\巴陵县\npc\功夫螳螂.lua															0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
4102	铁心兰			3	0	26				5		950	21	3				30	33			30					22						8	3	3	3	3	3		6	1	1	1	1		4102	21	6	3	6	3	28	1	24				14	10			32								32								32																	3009										1	2	2	629145	巴陵友善NPC							<G>心兰好痛，心兰好痛。	100																								0	9000									15		0				3	12	110																																																							26				0									0	0	0	0															1									1		0					
4103	猴大师			3	0	26				50		950	63	3				30	1608			0					22						32	9	9	9	9	9		21	1	1	1	1		4103	21	93	47	93	47	28	1	27				17	10	625	11	240		2	512	48	8			32								32																	3012										1	56	72	734003	巴陵友善NPC			2				<G>吱吱吱吱……唧唧？唔，吱唧嗷嗷……嗷嗷，呜呜……吱吱吱吱吱吱，唧唧！	100									scripts\Map\巴陵县\npc\猴大师.lua															0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									0		0					
4104	盘蛇			3	0	26				50		950	56	3				30	1608			0					22						32	9	9	9	9	9		21	1	1	1	1		4104	21	93	47	93	47	28	1	22				12	10	646	11	160		1	512	12	8			32								32																	3013										1	56	72	734003	巴陵友善NPC			2				<G>嘶嘶嘶嘶嘶嘶……吱吱，嘶嘶吱吱嘶嘶吱吱……	100									scripts\Map\巴陵县\npc\盘蛇.lua															0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									0		0					
4106	痩鹤			3	0	26				50		950	29	3				30	1608			0					22						32	9	9	9	9	9		21	1	1	1	1		4106	21	93	47	93	47	28	1	20				10	10	636	11	240		7	200	10	8			32								32																	3018										1	56	72	734003	巴陵友善NPC			2				<G>咕咕咕咕，呃呃…………吱吱，咕咕咕咕咕咕！	100									scripts\Map\巴陵县\npc\瘦鹤.lua															0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									0		0					
4108	悍虎			3	0	26				50		950	90	3				30	1608			0					22						32	9	9	9	9	9		21	1	1	1	1		4108	21	93	47	93	47	28	1	26				16	10	655	11	160		1	512	16	8			32								32																	3020										1	56	72	734003	巴陵友善NPC			2				<G>嗷嗷嗷嗷……\n<H28><G><F174 这头老虎发出狂野的咆哮。>	100									scripts\Map\巴陵县\npc\悍虎.lua															0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									0		0					
4110	惊慌的乌龟			3	0	37				50		950	68	3				30	1608			0					22						32	9	9	9	9	9		21	1	1	1	1		4110	21	93	47	93	47	28	1	30				20	10	634	11	240		2	512	20	8			32								32																	3021	3831									1	56	72	734003	巴陵友善NPC			2				<G><F174 这只小龟惊慌失措的看着你。>	100	<G><F174 似乎看到它的头顶有金星闪耀。>	100	<G><F174 它伸展四爪，竭力抓挠，却上不着天，下不着地，看来被吓坏了。>	100					scripts\Map\巴陵县\npc\晒背乌龟.lua															0	9000											0				3	147	265																																																							37				0									0	0	0	0															1									0		0					
4111	肥鹅			3	0	37				5		950	17	3				30	35			0					22						8	2	2	2	2	2		6	0	0	0	0		4111	21	7	3	7	3	28	1	23				13	10			32								32								32																	3022										1	2	2	629145	巴陵友善NPC			2				<G>嘎嘎嘎！	100	<G><F174 好一只白毛长颈大头鹅。>	100																						0	9000									15		0				3	12	110																																																							37				0									0	0	0	0															1									0		0					
4112	肥鸡			3	0	37				5		950	14	3				30	35			0					22						8	2	2	2	2	2		6	0	0	0	0		4112	21	12	5	12	5	28	1	56				46	10			32								32								32																	3023										1	2	2	629145	巴陵友善NPC			2				<G>咕咕咕！	100	<G><F174 一只芦花鸡。>	100	<G><F174 看来镇民对这里的小鸡很和善，它见你悄悄地靠近，没有一丝惊异。>	100																				0	9000									15		0				3	12	110																																																							37				0									0	0	0	0															1									0		0					
4113	肖天歌	恶人谷		3	0	26				50		950	36	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		4113	21	94	47	94	47	28	1	35				25	10			32								32								32																	3024										1	56	72	734003	巴陵友善NPC							<G>离我远点。我并无什么能告之的。	100	<G>咳咳……咳咳……\n<H28><G>请离我远点！	100																						0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
4114	周正虎			3	0	26				50		950	27	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		4114	21	113	57	113	57	28	1	42				32	10			32								32								32																	3026										1	56	72	734003	巴陵友善NPC							<G>那天有很多人来找我大哥，给他很多钱，就是为了让他说自己见过一种大老虎！看我大哥多有本事！	100									scripts\Map\节日七夕\npc\七夕周正虎.lua															0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
4117	百里断水			3	0	26				50		950	28	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		4117	21	86	43	86	43	28	1	28				18	10			32								32								32																	3028										1	56	72	734003	巴陵友善NPC							<G>我一代豪侠，居然被这六只小妖戏弄于此，日后如何立足于武林之中！	100																								0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
4119	桃根仙			3	0	26				50		950	41	3				30	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		4119	21	86	43	86	43	28	1	25				15	10	696	11	32		8	102400	12	8			32								32																	3052										1	56	72	734003	巴陵友善NPC							<G>树无根不活，只有桃干仙那白痴，才会琢磨着如何超越我这般优秀的大哥。	100	<G><F174 桃根仙看了看肖天歌。>\n<H28><G>这小女子如此白皙，便是以我桃根仙江湖上数一数二的见多识广，也是未曾见过。\n<H28><G>你听她的咳嗽声这般脆，可要把我这英姿飒爽的魂魄都要咳出来了……	100	<G>从前我六兄弟一直以为，这世上再也不会有配得上似我等这般年少多金，武盖江湖，形体健壮，眉带风流之英雄的完美女子了，却没想到似我桃根仙这等天才人物，果然连老天都要照看一二的。\n<H28><G>等这肖家女子情不自禁倾倒于我，定要让我五个兄弟抱头痛哭一番，那时他们定然悔不该将我赶出桃仙居来了。\n<H28><G><F174 桃根仙十分得意。>	100																				0	9000									15		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
