ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
8358	禅心	藏经阁		3		26				73				2					24879587			22391628				6	22						0	79	79	79	79	79		119	10	10	10	10		8358	1	2218	1109	2218	1109	28	1	22		1	1024	12	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20									7044											7333	9527	838860	白龙口任务友善NPC						0	<G>易筋经乃少林镇寺之宝，决计不能有失。	100	<G>此番多亏流云寺诸位僧友相助，阿弥陀佛！	100	<G>流云寺因我少林而遭此劫难，罪过罪过！	100										0	0	0	0	0	0	0	0			0	9000	3840								1	0	0		0	960	2	235	2000					-1	7	0																0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26										0			0	0	0	0		0													1									1		0					
8369	枯荣	流云寺主持		3		26				71									3960			3564				6	22						45	15	15	15	15	15		34	3	3	3	3		8369	1	133	67	133	67	28	1	27		1	1024	17	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20									7054											237	308	838860	白龙口任务友善NPC						0	<G>江湖风波又起，这白龙口看来是无法再安宁了……	100							0	0						0	0	0	0	0	0	0	0			0	9000	3840								1	0	0		0	960		228	312		0			-1	7	0																0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26	0									0			0	0	0	0		0													1									1		0					
8386	流云寺僧人			3		26				71									3960			3564				6	22						45	15	15	15	15	15		34	3	3	3	3		8386	1	133	67	133	67	28	1	30		1	1024	20	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20									7059											237	308	838860	白龙口任务友善NPC						0	<G>这些番僧是从哪里来的，从来没见过！	100	<G>施主不知，本寺当年也是颇有风光的，只是近些年才渐渐萧条。	100		0					scripts\Map\白龙口\npc\流云寺僧人.lua					0	0	0	0	0	0	0	0			0	9000	3840								1	0	0		0	960		228	312					-1	7	0																0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26										0			0	0	0	0		0													1									1		0					
8387	藏经阁僧人					27				71									3960			3564				6	22						45	15	15	15	15	15		34	3	3	3	3		8387	1	133	67	133	67	28	1	16		1	1024	20	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20									7070											237	308	838860	白龙口任务友善NPC						0	<G>施主不知，本寺当年也是颇有风光的，只是近些年才渐渐萧条。	100		0		0					scripts\Map\白龙口\npc\流云寺僧人.lua					0	0	0	0	0	0	0	0			0	9000	3840								5	0	0		0	960		228	312					-1	7	0																0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	27										0			0	0	0	0		0													1									1		0					
8388	道可	藏经阁		3		26				72									4043			3639				6	22						45	15	15	15	15	15		35	3	3	3	3		8388	1	135	67	135	67	28	1	31		1	1024	21	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20									7069											250	325	838860	白龙口任务友善NPC						0	<G>这些番僧，出手好狠！	100	<G>可用的药越来越少了，得想想办法才行。	100	<G>希望师兄他们能早点将吐蕃番僧打退！	100										0	0	0	0	0	0	0	0			0	9000	3840								1	0	0		0	960		231	314					-1	7	0																0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26										0			0	0	0	0		0													1									1		0					
8394	受伤的僧人			3		26				71								30	3960			3564				6	22	1					45	15	15	15	15	15		34	3	3	3	3		8394	1	133	67	133	67	28	1	30		1	1024	20	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20									7079											237	308	838860	白龙口任务友善NPC						0	<G>抬我起来，吐蕃僧不过如此，我不惧他！	100		0		0					scripts\Map\白龙口\npc\受伤的僧人.lua					0	0	0	0	0	0	0	0			0	9000	3840								1	0	0		0	960		228	312					-1	7	0																0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26										0			0	0	0	0		0													1									1		0					
8418	乔庸	杂货商				26				71									3960			3564				6	22						45	15	15	15	15	15		34	3	3	3	3		8418	1	133	67	133	67	28	1	29		1	1024	19	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20									7103											237	308	838860	白龙口任务友善NPC						0	<G>白龙口最近不太平，生意越来越难做了。我先在这里避上一阵，过几日再去龙隐村看看吧。	100		0		0										0	0	0	0	0	0	0	0			0	9000	3840								1	0	0		0	960		228	312					-1	7	0																0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26										0			0	0	0	0		0													1									1		0					
8419	道允			3		26				72									4043			3639				6	22						45	15	15	15	15	15		35	3	3	3	3		8419	1	164	83	164	83	28	1	39		1	1024	29	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20									7106											250	325	838860	白龙口任务友善NPC						0	<G>希望道衍师兄不要出什么事才好……	100	<G>这次出山，真是步步艰险。	100					0	0						0	0	0	0	0	0	0	0			0	9000	3840								1	0	0		0	960		231	314		0			-1	7	0																0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26	0									0			0	0	0	0		0													1									1		0					
8420	扫地僧			3		26				73									4146			3731				6	22						46	15	15	15	15	15		35	3	3	3	3		8420	1	167	84	167	84	28	1	39		1	1024	29	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20									7130											264	343	838860	白龙口任务友善NPC						0	<G>听说很多寺里的扫地僧都是深藏不露的高手，那你觉得我呢？\n<H28><G><F174 扫地僧微笑着对你说。>	100		0		0										0	0	0	0	0	0	0	0			0	9000	3840								1	0	0		0	960		235	316					-1	7	0																0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26										0			0	0	0	0		0													1									1		0					
8428	朗云	五毒		3						72									4043			3639				6	22						45	15	15	15	15	15		35	3	3	3	3		8428	1	135	67	135	67	28	1	28		1	1024	18	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20									7163											250	325	838860	白龙口任务友善NPC						0	<G>早听说中原武学十分了得，正好借此次武林大会见识一下。	100		0		0					scripts\Map\白龙口\npc\朗云.lua					0	0	0	0	0	0	0	0			0	9000	3840								1	0	0		0	960		231	314					-1	7	0																0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8											0			0	0	0	0		0													1									1		0					
