ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
1348	玄字叁玖	侠义值商人		3	0	48	1	1	0	70	0	950	28	2	1	1		180	23273681	0	0	20946313	0	0	100	6	22	9000	0	0	0	0	0	76	76	76	76	76		113	10	10	10	10	0	1348	1	2125	1063	2125	1063	28	1	30		1	1024	20	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	5075	0	0	0	0	0	0	0	0	0	1	6222	8083	838860	帮会	0	0	1	1	0	0	<G>他们都说日轮山城是最凶险的地方。\n<H28><G><F174 这个男子轻蔑地看了你一眼。>\n<H28><G>哈，这种程度而已！我倒想看看，等我放榜发放通告之时，何人能接！\n<H28><G>还有一事，近来诸事繁多，不胜其烦。你若是想换取门派套装的话，还是回师门找声望商人吧。	100	<G>近来诸事繁多，不胜其烦。你若是想换取门派套装的话，还是回师门找声望商人吧。	100	<G>上面有令，还没到发通告的时候，别烦我。	100					scripts\Map\活动\npc\侠义值商店.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1.00	0	0	2	225	2000	-1			0		7	0																																																48													0	0	0	0															1											0					
1349	玄字伍叁	帮会阵营总管		2	0	48	1	1	0	70	0	950	28	2	1	1		180	23273681	0	0	20946313	0	0	100	6	22	9000	0	0	0	0	0	76	76	76	76	76		113	10	10	10	10	0	1349	1	2325	1162	2325	1162	28	1	35		1	1024	25	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	5104	0	0	0	0	0	0	0	0	0	1	6222	8083	838860	帮会	0	0	1	1	0	0	<G>想听八卦么？\n<G>等什么时候你能接我的通告了再说。	100	<G>还没放榜发通告呢，你急巴巴地来找我也没有用呀。	100	<G>我想要的东西，天南地北，无所不包。\n<G>价钱么？我自不会亏待了你。	100					scripts\Tong\npc\帮会阵营.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	0	2	225	2000	-1			0		7	0																																																48													0	0	0	0															1											0					
1494	玄字肆捌	帮会仓库总管		3	0	48	1	1	0	70	0	950	28	2	1	1		180	23273681	0	0	20946313	0	0	100	6	22	9000	0	0	0	0	0	76	76	76	76	76		113	10	10	10	10	0	1494	1	2125	1063	2125	1063	28	1	26		1	1024	16	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	5103	0	0	0	0	0	0	0	0	0	1	6222	8083	838860	帮会	0	0	1	1	0	0	<G>帮会仓库已经开放了。但眼目下，仓库还在筹建中，位置有限，只能为各位侠士提供九十八格的位置。仓库还会不断扩展，日后将有十倍的空间供给，欢迎使用。	100	<G>一张琴，一壶酒。烂醉烟花之地，梦觉相思是谁？	100		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	0	2	225	2000	-1			0		7	0																																																48	1	帮会仓库											0	0	0	0															1											0					
1495	玄字柒肆	江湖物资商		3	0	48	1	1	0	70	0	950	28	2	1	1		180	23273681	0	0	20946313	0	0	100	6	22	9000	0	0	0	0	0	76	76	76	76	76		113	10	10	10	10	0	1495	1	2125	1063	2125	1063	28	1	28		1	1024	18	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	184	0	0	0	0	0	0	0	0	0	1	6222	8083	838860	帮会	0	0	1	1	0	0	<G>最新的帮会物资到了。	100	<G>这个世界是公平的，你做的越多，得的越多。	100		0					scripts/Map/活动/npc/帮贡商店.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	0	2	225	2000	-1			0		7	0																																																48													0	0	0	0															1											0					
2364	玄字陆陆	帮会推荐人		3	0	48	1	1	0	70	0	950	28	2	1	1		180	23273681	0	0	20946313	0	0	100	6	22	9000	0	0	0	0	0	76	76	76	76	76		113	10	10	10	10	0	2364	1	2325	1162	2325	1162	28	1	35		1	1024	25	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	497	0	0	0	0	0	0	0	0	0	1	6222	8083	838860	帮会	0	0	1	1	0	0	<G><F174 人在江湖漂，可得找个大树好乘凉，这个江湖有很多强大的帮会，让我来告诉你吧。>	100		0		0					scripts\Map\帮会领地\npc\十大推荐帮会.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	0	2	225	2000	-1			0		7	0																																																48													0	0	0	0															1											0					
4706	玄字叁伍	帮会执事		3	0	48	1	1	0	70	0	950	28	2	1	1		180	23273681	0	0	20946313	0	0	100	6	22	9000	0	0	0	0	0	76	76	76	76	76		113	10	10	10	10	0	4706	1	2125	1063	2125	1063	28	1	30		1	1024	20	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	5081	0	0	0	0	0	0	0	0	0	1	6222	8083	838860	帮会	0	0	1	1	0	0	<G>他们都说日轮山城是最凶险的地方。\n<H28><G><F174 这个男子轻蔑地看了你一眼。>\n<H28><G>哈，这种程度而已！我倒想看看，等我放榜发放通告之时，何人能接！	100	<G>你说你打倒了老卫？凭你？\n<G>嘿，等你到了那个地方，自会明白。	100	<G>上面有令，还没到发通告的时候，别烦我。	100										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	0	2	225	2000	-1			0		7	0																																																48													0	0	0	0															1											0					
4707	玄字壹肆	帮会执事		3	0	48	1	1	0	70	0	950	28	2	1	1		180	23273681	0	0	20946313	0	0	100	6	22	9000	0	0	0	0	0	76	76	76	76	76		113	10	10	10	10	0	4707	1	2125	1063	2125	1063	28	1	30		1	1024	20	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	5081	0	0	0	0	0	0	0	0	0	1	6222	8083	838860	帮会	0	0	1	1	0	0	<G>他们都说日轮山城是最凶险的地方。\n<H28><G><F174 这个男子轻蔑地看了你一眼。>\n<H28><G>哈，这种程度而已！我倒想看看，等我放榜发放通告之时，何人能接！	100	<G>你说你打倒了老卫？凭你？\n<G>嘿，等你到了那个地方，自会明白。	100	<G>上面有令，还没到发通告的时候，别烦我。	100										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	0	2	225	2000	-1			0		7	0																																																48													0	0	0	0															1											0					
4708	玄字捌玖	乙字帮会物资商		3	0	48	1	1	0	70	0	950	28	2	1	1		180	23273681	0	0	20946313	0	0	100	6	22	9000	0	0	0	0	0	76	76	76	76	76		113	10	10	10	10	0	4708	1	2125	1063	2125	1063	28	1	28		1	1024	18	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	1003	0	0	0	0	0	0	0	0	0	1	6222	8083	838860	帮会	0	0	1	1	0	0	<G>欢迎挑选。	100	<G>这里必定有你所需。	100		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	0	2	225	2000	-1			0		7	0																																																48													0	0	0	0															1											0					
4714	玄字玖贰	帮会家园执事		3	0	48	1	1	0	70	0	950	28	2	1	1		180	23273681	0	0	20946313	0	0	100	6	22	9000	0	0	0	0	0	76	76	76	76	76		113	10	10	10	10	0	4714	1	6841	3421	6841	3421	28	1	103		1	1024	93	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	1195	0	0	0	0	0	0	0	0	0	1	6222	8083	838860	帮会	0	0	1	1	0	0	<G>人在外啊，总需要一个家。帮会也是需要家的，帮会有了落脚处，人心也就安稳了。我手上这几块地，地处闹市，交通便利，还能看看风景，这个价格很公道了。	1000	<G>人无完人，每个人总有些弱点，就看你抓不抓得住。	1000		0					scripts\Map\帮会领地\npc\帮会领地购买和传送.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	0	2	225	2000	-1			0		7	0																																																48													0	0	0	0															1											0					
4718	玄字零陆	帮会文书		3	0	48	1	1	0	70	0	950	28	2	1	1		180	23273681	0	0	20946313	0	0	100	6	22	9000	0	0	0	0	0	76	76	76	76	76		113	10	10	10	10	0	4718	1	2125	1063	2125	1063	28	1	30		1	1024	20	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	1215	0	0	0	0	0	0	0	0	0	1	6222	8083	838860	帮会	0	0	1	1	0	0	<G>第一批货到了。	100	<G>这个世界是公平的，你做的越多，得的越多。	100		0					scripts\Tong\npc\帮会文书.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	0	2	225	2000	-1			0		7	0																																																48													0	0	0	0															1											0					
