ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
18702	召唤战车			3	0	0	1	1	0	95	0	950	1		1	1		180	10205	0	0	9184	0	0	100	6	22	9000	0	0	0	0	126	42	42	42	42	42	1024	97	9	9	9	9	0	18702	1	213	106	213	106	28	1	34	0	1	1024	24	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	29310	0	0	0	0	0	0	0	0	0		0	0	0	帮会约战	0	0	1	1	0	0		0		0		0					scripts\Map\帮会约战\npc\测试_召唤战车.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1.00	0	960	3	350	350	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8				0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1											0					
18703	重炮战车			2	0	0	1	3	0	95	0	950		6	1	1		180	23761276	0	0	21385149	0	0	100	6	22	9000	0	0	0	0	0	218	218	218	218	218	1024	326	28	28	28	28	0	18703	1	9328	4664	9328	4664	7710	1	32	0	1	1024	32	0	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	29311	0	0	0	0	0	0	0	0	0					帮会约战	0	0	1	1		0		0		0		0					scripts\Map\帮会约战\npc\战车.lua					0	0	0	0	0	0	0	0	0	0	500	10000	1920	0	0	0	0	0	0	0	0	254	0	1.00	0	960	15	775	59333	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1											1					
18704	厚甲战车			2	0	0	1	3	0	95	0	950		6	1	1		180	30000000	0	0	21385149	0	0	100	6	22	9000	0	0	0	0	0	218	218	218	218	218	1024	326	28	28	28	28	0	18704	1	9328	4664	9328	4664	7711	1	32	0	1	1024	32	0			480	32	1	1024	150	10	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	29312	0	0	0	0	0	0	0	0	0					帮会约战	0	0	1	1	1	0		0		0		0					scripts\Map\帮会约战\npc\战车.lua					0	0	0	0	0	0	0	0	0	0	500	10000	1920	0	0	0	0	0	0	0	0	254	0	1.00	0	960	15	775	59333	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1											1					
18705	巨弩战车			2	0	0	1	3	0	95	0	950		6	1	1		180	23761276	0	0	21385149	0	0	100	6	22	9000	0	0	0	0	0	218	218	218	218	218	1024	326	28	28	28	28	0	18705	1	9328	4664	9328	4664	7709	1			1	1024	32	0	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	29313	0	0	0	0	0	0	0	0	0					帮会约战	0	0	1	1		0		0		0		0					scripts\Map\帮会约战\npc\战车.lua					0	0	0	0	0	0	0	0	0	0	500	10000	1920	0	0	0	0	0	0	0	0	254	0	1.00	0	960	15	775	59333	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1											1					
18740	纯阳帮众				0	26	1	1	0	95	0	950	199	4	1	1		180	76540	0	0	68886	0	0	100	6	22	9000	0	0	0	0	126	218	218	218	218	218	1024	205	19	19	19	19	0	18740	1	398	198	398	198	7637	1			1	1024	20	10	7638	1	240	32	1	1024	16	8	7639	1	240	272	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	29319	0	0	0	0	0	0	0	0	0		0	0	0	帮会约战	0	0	1		0	0		0		0		0					scripts\Map\帮会约战\npc\路径小兵.lua					0	0	0	0	0	0	0	0	0	0	0	9000	1920	0	0	0	0	0	0	1	5	0	0	1.00	0	960	8	350	0	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1											0					
18741	藏剑帮众			2	0	26	1	1	0	95	0	950	1	4	1	1		180	76540	0	0	68886	0	0	100	6	22	9000	0	0	0	0	126	218	218	218	218	218	1024	205	19	19	19	19	0	18741	1	398	198	398	198	7634	1			1	1024	20	10	7635	1	240	32	1	1024	80	8	7636	1	240	272	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	29320	0	0	0	0	0	0	0	0	0		0	0	0	帮会约战	0	0	1	1	0	0		0		0		0					scripts\Map\帮会约战\npc\路径小兵.lua					0	0	0	0	0	0	0	0	0	0	0	9000	1920	0	0	0	0	0	0	1	5	0	0	1.00	0	960	8	350	0	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1											0					
18742	七秀帮众			2	0	26	1	1	0	95	0	950	1	4	1	1		180	76540	0	0	68886	0	0	100	6	22	9000	0	0	0	0	126	218	218	218	218	218	1024	205	19	19	19	19	0	18742	1	398	198	398	198	7640	1			1	1024	20	10	7641	1	240	32	1	1024	16	8	7642	1	240	272	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	29321	0	0	0	0	0	0	0	0	0		0	0	0	帮会约战	0	0	1	1	0	0		0		0		0					scripts\Map\帮会约战\npc\路径小兵.lua					0	0	0	0	0	0	0	0	0	0	0	9000	1920	0	0	0	0	0	0	1	5	0	0	1.00	0	960	8	350	0	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1											0					
18743	少林帮众			2	0	26	1	1	0	95	0	950	1	4	1	1		180	76540	0	0	68886	0	0	100	6	22	9000	0	0	0	0	126	218	218	218	218	218	1024	205	19	19	19	19	0	18743	1	398	198	398	198	7643	1			1	1024	20	10	7644	1	240	32	1	1024	16	8	7645	1	240	272	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	29322	0	0	0	0	0	0	0	0	0		0	0	0	帮会约战	0	0	1	1	0	0		0		0		0					scripts\Map\帮会约战\npc\路径小兵.lua					0	0	0	0	0	0	0	0	0	0	0	9000	1920	0	0	0	0	0	0	1	5	0	0	1.00	0	960	8	350	0	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1											0					
18744	唐门帮众			2	0	26	1	1	0	95	0	950	1	4	1	1		180	76540	0	0	68886	0	0	100	6	22	9000	0	0	0	0	126	218	218	218	218	218	1024	205	19	19	19	19	0	18744	1	398	198	398	198	7649	1			1	1024	20	10	7650	1	240	32	1	1024	16	8	7651	1	240	272	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	29323	0	0	0	0	0	0	0	0	0		0	0	0	帮会约战	0	0	1	1	0	0		0		0		0					scripts\Map\帮会约战\npc\路径小兵.lua					0	0	0	0	0	0	0	0	0	0	0	9000	1920	0	0	0	0	0	0	1	5	0	0	1.00	0	960	8	350	0	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1											0					
18745	五毒帮众			2	0	26	1	1	0	95	0	950	1	4	1	1		180	76540	0	0	68886	0	0	100	6	22	9000	0	0	0	0	126	218	218	218	218	218	1024	205	19	19	19	19	0	18745	1	398	198	398	198	7652	1			1	1024	20	10	7653	1	240	32	1	1024	16	8	7654	1	240	272	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	29324	0	0	0	0	0	0	0	0	0		0	0	0	帮会约战	0	0	1	1	0	0		0		0		0					scripts\Map\帮会约战\npc\路径小兵.lua					0	0	0	0	0	0	0	0	0	0	0	9000	1920	0	0	0	0	0	0	1	5	0	0	1.00	0	960	8	350	0	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1											0					
