ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
15467	南诏信使			2	0	31	1	1	352	80	0	950	1	4	1	1		180	14900	0	0	13410	0	0	100	6	22	9000	0	0	0	0	51	87	87	87	87	87	1024	82	7	7	7	7	0	15467	1	310	155	310	155	28	1	30	0	1	1024	20	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	25594	0	0	0	0	0	0	0	0	0		458	595	838860	苍山洱海北部战斗NPC	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	960	6	275	392	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	31			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0						1									1		0					
15757	厉天行	邪灵		2	0	37	1	1	0	82	0	950	1	6	1	1		180	1323049	0	0	1190744	0	0	100	6	22	9000	0	0	0	0	0	89	89	89	89	89	1024	84	8	8	8	8	0	15757	1	2827	1414	2827	1414	28	1	43	0	1	1024	33	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	25894	0	0	0	0	0	0	0	0	0		21388	27777	838860	苍山洱海北部战斗NPC	0	0	1	1	0	0	<G>以直报怨，以德报德！	10000	<G>吾将一直追随阁罗鸿将军，至死方休、	10000	<G>事出总是突然的，而理由则是后来加上去的。\n<H28><G>就像你能来此见我，亦如我在此等你。\n<G><F174 厉天行意味深长的看了你一眼，说不出的高深莫测。>	10000										0	0	0	0	0	0	0	0	0	0	500	10000	3840	0	0	0	0	0	0	1		0	0	1	0	960	12	282	5000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	37			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0					1									1		0					
16179	火布日则	飞熊百夫长		2	0	0	1	1	0	81	0	950	1	6	1	1		1	326937	0	0	294243	0	0	100	6	22	9000	0	0	0	0	0	52	52	52	52	52	1024	83	8	8	8	8	0	16179	1	480	241	480	241	28	1	16		1	1024	18	10	7587	1		16	1	512	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	26613	0	0	0	0	0	0	0	0	0		4812	6250	838860	苍山洱海北部战斗NPC	0	0	1	1	0	0	<G>我亏欠缇萦太多太多了！	100		0		0					scripts\Map\苍山洱海\npc\火布日则_武装版.lua					0	0	0	0	0	0	0	0	0	0	500	9000	3840	0	0	0	0	0	0	1	11	0	0	1	0	960	5	279	4150	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8				0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0					1									1		0					
16185	南诏斥候	飞豹军		2	0	29	1	1	352	80	0	950	1	4	1	1		180	14900	0	0	13410	0	0	100	6	22	9000	0	0	0	0	51	87	87	87	87	87	1024	82	7	7	7	7	0	16185	1	310	155	310	155	0	0	32	0	1	1024	16	8	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	27383	0	0	0	0	0	0	0	0	0		458	595	838860	苍山洱海北部战斗NPC	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1		0	0	1	0	960	6	275	392	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	29			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0					1									1		0					
16197	赤黑赤莫	监工		2	0	31	1	1	352	80	0	950		4	1	1		180	44701	0	0	40231	0	0	100	6	22	9000	0	0	0	0	51	87	87	87	87	87	1024	82	7	7	7	7	0	16197	1	317	159	317	159	28	1	28	0	1	1024	18	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	27379	0	0	0	0	0	0	0	0	0		1925	2500	838860	苍山洱海北部战斗NPC	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1		200	0	1	0	960	8	275	1650	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	31			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0					1									1		1					
16431	飞熊百夫长	飞熊营		2	0	95	1	1	352	80	0	950		5	1	1		180	23840	0	0	21456	0	0	100	6	22	9000	0	0	0	0	0	51	51	51	51	51	1024	82	7	7	7	7	0	16431	1	511	256	511	256	28	1	43	0	1	1024	33	10	7586	1	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	27385	0	0	0	0	0	0	0	0	0		1336	1736	838860	苍山洱海北部战斗NPC	0	0	1	1	0	0	<G>看你也有些底子，做个小兵有些屈才，来当我的副手如何？	10000	<G>我们飞熊营的将士一生都不会犯错，因为只要错一次，一生便结束了。	10000	<G>退役之后我想在老家盖个房，再娶个媳妇儿，或者换个顺序也行。	10000										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	5	0	0	1	0	960	7	275	1145	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	95			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1									1		0					
16573	可疑的路人			2	0	37	1	1	0	80	0	950		4	1	1		180	14900	0	0	13410	0	0	100	6	22	9000	0	0	0	0	51	87	87	87	87	87	1024	82	7	7	7	7	0	16573	1	310	155	310	155	28	1	31	0	1	1024	21	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	27359	27384	0	0	0	0	0	0	0	0		458	595	838860	苍山洱海北部战斗NPC	0	0	1	1	0	0	<G>一路车马劳顿，我要赶紧找家客栈歇歇。	10000	<G>我认识你么？	10000	<G>土匪？强盗？哦，原来是闯江湖的。	10000					scripts\Map\苍山洱海\npc\伪装的斥候.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	2	0	0	1	0	960	6	275	392	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	37			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1									1		0					
16929	上门闹事的兵痞			2	0	28	1	1	0	80	0	950	1		1	1		180	5960	0	0	5364	0	0	100	6	22	9000	0	0	0	0	51	17	17	17	17	17	1024	39	4	4	4	4	0	16929	1	160	80	160	80	28	1	28	0	1	1024	18	10	7506	1	160	48	1	1024	16	8			144	64	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	25591	21123	21124	21125	0	0	0	0	0	0	2	0	0	0	苍山洱海北部战斗NPC	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	5	0	0	1	0	960		275	330	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0						1									1		0					
17470	护鼎弟子	青城派		2	0	95	1	1	352	80	0	950	1	4	1	1		180	23840	0	0	21456	0	0	100	6	22	9000	0	0	0	0	51	87	87	87	87	87	1024	82	7	7	7	7	0	17470	1	473	236	473	236	28	1	39	0	1	1024	29	10	7582	1	80	0	1	1024	16	8	7584	1	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	27423	27722	0	0	0	0	0	0	0	0		641	833	838860	苍山洱海北部战斗NPC	0	0	1	1	0	0		0		0		0					scripts\Map\苍山洱海\npc\青城炼丹师.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	5	0	0	1	0	960	4	275	550	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	95			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1									1		0					
17471	试丹暴猿			2	0	28	1	2	0	80	0	950	1	4	1	1		180	23840	0	0	21456	0	0	100	6	22	9000	0	0	0	0	51	87	87	87	87	87	1024	82	7	7	7	7	0	17471	1	388	194	388	194	28	1	26	0	1	1024	16	10	639	1	160	80	7	3000	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	27424	0	0	0	0	0	0	0	0	0		0	0	0	苍山洱海北部战斗NPC	0	0	1	1	0	0		0		0		0					scripts\Map\苍山洱海\npc\青城炼丹师.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	5		0	1	0	960	4	275	550	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1									1		0					
