ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
15305	南诏骑兵			2	0	28	1	1	352	80	0	950	1	4	1	1		180	23840	0	0	21456	0	0	100	6	22	9000	0	0	0	0	51	87	87	87	87	87	1024	82	7	7	7	7	0	15305	1	388	194	388	194	28	1	30	0	1	1024	20	10	7482	1	160		24	10240	16	8	7484	1	96	48	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	25441	0	0	0	0	0	0	0	0	0		641	833	838860	苍山洱海敌对NPC	0	0	1	1		0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	5	0	0	1	0	960	4	275	550	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0						1									1		0					
15307	南诏弓兵			2	0	28	1	1	0	80	0	950	1		1	1		180	4887	0	0	5562	0	0	100	6	22	9000	0	0	0	0	48	18	18	18	18	18	1024	31	4	4	4	4	0	15307	1	192	96	192	96	7487	1	26	0	1	1024	16	10	7485	1	160	16	1	1024	16	8	7486	1	8	32	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	25442	0	0	0	0	0	0	0	0	0		385	500	838860	苍山洱海敌对NPC	0	0	1	4	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	960	3	275	330	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0						1									1		0					
15314	南诏伍长			2	0	31	1	1	352	80	0	950	1	4	1	1		180	19549	0	0	22250	0	0	100	6	22	9000	0	0	0	0	48	95	95	95	95	95	1024	64	7	7	7	7	0	15314	1	625	313	625	313	28	1	43	0	1	1024	33	10	7492	1	80	48	1	1024	16	8	7493	1	144	80	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	25443	27713	0	0	0	0	0	0	0	0		641	833	838860	苍山洱海敌对NPC	0	0	1	3	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	960	4	275	550	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	31			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0						1									1		0					
15315	南诏盾斧卫			2	0	28	1	1	352	80	0	950	1	4	1	1		180	23840	0	0	21456	0	0	100	6	22	9000	0	0	0	0	51	87	87	87	87	87	1024	82	7	7	7	7	0	15315	1	412	206	412	206	28	1	34	0	1	1024	24	10	7509	1	320	32	2	1024	16	8	7481	1	32	16	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	25444	27721	0	0	0	0	0	0	0	0		641	833	838860	苍山洱海敌对NPC	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	5	0	0	1	0	960	4	275	550	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0						1									1		0					
15316	南诏铁爪侍卫			2	0	28	1	1	352	80	0	950	1	4	1	1		180	23840	0	0	21456	0	0	100	6	22	9000	0	0	0	0	51	87	87	87	87	87	1024	82	7	7	7	7	0	15316	1	521	261	521	261	28	1	43	0	1	1024	33	10	7488	1	160	80	1	1024	16	8	7490	1	90	45	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	25445	0	0	0	0	0	0	0	0	0		641	833	838860	苍山洱海敌对NPC	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	5	0	0	1	0	960	4	275	550	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0						1									1		0					
15418	南诏督工			2	0	28	1	1	0	80	0	950	1		1	1		180	5960	0	0	5364	0	0	100	6	22	9000	0	0	0	0	51	17	17	17	17	17	1024	39	4	4	4	4	0	15418	1	160	80	160	80	28	1	31	0	1	1024	21	10	7491	1	96	48	2	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	25544	0	0	0	0	0	0	0	0	0		385	500	838860	苍山洱海敌对NPC	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	960	3	275	330	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0						1									1		0					
15446	蒙涛			2	0	28	1	1	352	80	0	950	1	4	1	1		180	12218	0	0	13906	0	0	100	6	22	9000	0	0	0	0	48	95	95	95	95	95	1024	64	7	7	7	7	0	15446	1	454	227	454	227	28	1	39	0	1	1024	29	10	7492	1	192	96	1	1024	16	8	7493	1	160	40	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	25573	0	0	0	0	0	0	0	0	0		458	595	838860	苍山洱海敌对NPC	0	0	1	3	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	960	6	275	392	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0						1									1		0					
15457	回风兽			2	0	28	1	2	0	80	0	950	1	4	1	1		180	23840	0	0	21456	0	0	100	6	22	9000	0	0	0	0	51	87	87	87	87	87	1024	82	7	7	7	7	0	15457	1	388	194	388	194	28	1	30	0	1	1024	20	10	7497	1	160	32	1	1024	16	8	7500	1	128	64	1	10240	16	8	0	0	480		1	1024	16	8	4800	0	20		0		0		0		0	25584	0	0	0	0	0	0	0	0	0		0	0	0	苍山洱海敌对NPC	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	960	4	275	550	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0						1									1		0					
15458	萧烬	南诏禁军副统领		2	0	28	1	1	352	80	0	950	1	4	1	1		180	19549	0	0	22250	0	0	100	6	22	9000	0	0	0	0	48	95	95	95	95	95	1024	64	7	7	7	7	0	15458	1	465	233	465	233	28	1	20	0	1	1024	10	10	7503	1	240	120	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	25585	0	0	0	0	0	0	0	0	0		641	833	838860	苍山洱海敌对NPC	0	0	1	3	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	960	4	275	550	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0						1									1		0					
15459	石塔	萧烬的战熊		2	0	28	1	2	0	80	0	950	1	4	1	1		180	14900	0	0	13410	0	0	100	6	22	9000	0	0	0	0	51	87	87	87	87	87	1024	82	7	7	7	7	0	15459	1	310	155	310	155	28	1	28	0	1	1024	18	10	7494	1	192		2	512	18	8	7496	1	144	32	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	25586	0	0	0	0	0	0	0	0	0		0	0	0	苍山洱海敌对NPC	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	960	6	275	392	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0						1									1		0					
