ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
658	杨国强			3	0	36				15	1		74	3				30	131			118					22						8	3	3	3	3	3		6	1	1	1	1		658	21	19	9	19	9	28	1	36				26	10																																				3089	1877	2882								1	24	31	629145	长安友善npc							<G>时间就是金钱！我一柱香十几万上下！	300																								0	9000									5		0				3	38	188																																																							36				0									0	0	0	0															1									1		0					
2427	王博			3	0	36				8	1		27	3				60	59			53					22						8	3	3	3	3	3		6	1	1	1	1		2427	21	9	4	9	4	28	1	28				18	10																																				2736										1	5	6	629145	长安友善npc							<G>天南地北双飞客，老翅几回寒暑。渺万里层云，千山暮雪，只影为谁去。	300									scripts\Traffic\新手镇车夫.lua															0	9000									1		0				3	20	134																																																							36				0									0	0	0	0															1									1		0					
2436	尹红竹	阿里曼宣号司事		3	0	26				25			30	3				30	360			324					22	9450					15	5	5	5	5	5		11	1	1	1	1	13	2436	21	39	20	39	20	28	1	35		1	1024	25	10	666	6	80		1	512	25	8																												1791										1	26	33	629145	长安友善npc			0	0			<G>圣教主神力非凡、泽被苍生，被圣教主光辉笼罩，红竹疲顿全消。	500	<G>这些日子，我们已不知救助了多少人了。\n<H28><G><F174 尹红竹看起来略显疲惫。>\n<H28><G>学武之人虽然体格较一般人好，若染上疫症也是繁琐之事。	500																						0	9000									1		0				3	69	220																																																							26				0									0	0	0	0															1									1		0					
2438	杜甫	诗圣		3	0	36				10			29	3				30	77			69					22	9450					8	3	3	3	3	3		6	1	1	1	1	13	2438	21	11	5	11	5	28	1	28		1	1024	18	10																																				1790										1	8	10	629145	长安友善npc			0	0			<G>少壮能几时，鬓发各已苍。访旧半为鬼，惊呼热中肠。	100	<G>如今瘟疫横行，杜某一己生死无碍，只是苦了这里的百姓啊……	100							scripts\Map\长安\Npc\杜甫.lua															0	9000									1		0				3	25	149																																																							36				0									0	0	0	0															1									1		0					
2439	雷夜安	丐帮雷神		3	0	36				50			30	3				105	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		2439	21	86	43	86	43	28	1	25				15	10																																				1329										1	56	72	734003	长安友善npc							<G>什么“雷神”，呵呵，只是江湖人赏脸而已。	300	<G>小玉乖，爷爷在这里，莫怕莫怕。	300																						0	9000									1		0				3	147	265																																																							36				0									0	0	0	0															1									1		0					
2445	雷小玉	小乞丐			0	36				10		950	21	3				180	77			69					22						8	3	3	3	3	3		6	1	1	1	1		2445	21	11	5	11	5	28	1	24		1	1024	14	10			32								32								32																	1567										1	8	10	629145	长安友善npc							<G>我好饿啊……	100	<G>爷爷，我……我难受……	200																						0	9000									1		0				3	25	149																																																							36				0									0	0	0	0															1									1		0					
2446	谷之岚	万花谷弟子		3	0	26				45			36	3				180	1309			1178					22	9450					28	9	9	9	9	9		21	2	2	2	2		2446	21	77	39	77	39	28	1	30				20	10																																				1578	2769									1	49	63	734003	长安友善npc			0	0			<G>这病以前竟没有发过？嗯……其中定有玄机……	300	<G>哎……难怪进哥对我如此细心，原来还有当年之事由……	300			<G>莲生千载，竟有这造化之功……	2197			scripts\Map\长安\Npc\谷之岚.lua															0	9000									5		0				3	132	260																																																							26				0									0	0	0	0															1									1		0					
2468	沈晓云	阿里曼宣号者		3	0	26				25			30	3				30	360			324					22	9450					15	5	5	5	5	5		11	1	1	1	1	13	2468	21	36	18	36	18	28	1	28				18	10	666	6	80		1	512	25	8																												1785										1	26	33	629145	长安友善npc			0	0			<G>那些无良地痞，抢我红衣教圣教主盛泽的药物，应当尽数斩杀才好。	100	<G>有时我会觉得有些累，不过想起圣教主的光辉，便会再度振作了。	100																						0	9000									1		0				3	69	220																																																							26				0									0	0	0	0															1									1		0					
2475	小敏妹妹			3	0	36				5		800	21	3				30	33			30					22						8	3	3	3	3	3		6	1	1	1	1		2475	21	6	3	6	3	28	1	24		1	1024	14	10																																				2101										1	2	2	629145	长安友善npc							<G>谁不听话就不给谁糖！	500	<G>我是头儿！你们都要听我的！	500																						0	9000									1		0				3	12	110																																																							36				0									0	0	0	0															1									1		0					
2476	小璧姐姐			3	0	36				5			21					105	33			30					22						8	3	3	3	3	3		6	1	1	1	1		2476	25	6	3	6	3	28	1	24		1	1024	14	10																																				1784										1	2	2	629145	长安友善npc							<G>这些个地痞平日游手好闲，现下竟然抢小孩子的玩具！真是无耻至极。	300																								0	9000									1		0				3	12	110																																																							36				0									0	0	0	0															1									1		0					
2481	莫氏			3	0	36				20			41	3				105	266			240					22						11	4	4	4	4	4		9	1	1	1	1		2481	21	26	14	26	14	28	1	26				16	10																																				1598										1	38	49	629145	长安友善npc							<G>这死男人，不知道又搞什么鬼，粗人一个，学什么文人雅士？！	300	<G>这么晚了还不回！今日尔等不回便罢，回了老娘定让你吃吃棒子！	300																						0	9000									1		0				3	54	210																																																							36				0									0	0	0	0															1									1		0					
2491	莫怀恩			3	0	26				25			31	3				0	414			324					22	9450					17	5	5	5	5	5		14	1	1	1	1	130	2491	11	29	14	29	14	28	1	30				20	10	5079	7	240																																	1599										1	26	33	629145	长安友善npc				2			<G>琴魔着实不讲理，左兄已三年未见，何以突然要伤我等的性命？	300																								0	9450									5		0				3	69	220																																																							26													0	0	0	0															1									1		0					
2493	左丞韦			3	0	36				25		900	47	3				35	360			324					22	9450					15	5	5	5	5	5		11	1	1	1	1		2493	21	36	18	36	18	28	1	26				16	10			19																																	1650										1	26	33	629145	长安友善npc							<G>哎……是福不是祸，是祸躲不过啊……佛祖保佑我可躲过这一劫……	500																								0	9000									1		0				3	69	220																																																							36				0									0	0	0	0															1									1		0					
2496	羽	琴魔弟子		3	0	36				30		900	20	3				35	476			429					22	9450					18	6	6	6	6	6		14	1	1	1	1		2496	21	50	25	50	25	28	1	30				20	10			19																																	1646										1	40	52	629145	长安友善npc							<G>莫看只是敲敲打打。听音实玄妙的很，心中若无三音五常，那是打不准的。	300	<G>乐理之神奇，就在与其虽变化多端，但无论是绕梁余音还是天籁之音，皆逃不出宫商角徵羽五音。	300							scripts\flowlib\catcher\npc\2496.lua															0	9000									1		0				3	85	230																																																							36				0									0	0	0	0															1									1		0					
2497	徵	琴魔弟子		3	0	36				30		900	20	3				35	476			429					22	9450					18	6	6	6	6	6		14	1	1	1	1		2497	21	50	25	50	25	28	1	30				20	10			19																																	1647										1	40	52	629145	长安友善npc							<G>我甚是愚钝，粗手粗脚，竟弄断了琴魔大人的琴弦！	500																								0	9000									1		0				3	85	230																																																							36				0									0	0	0	0															1									1		0					
2498	洛清	金手指		3	0	36				25		900	41	3				35	360			324					22	9450					15	5	5	5	5	5		11	1	1	1	1		2498	21	36	18	36	18	28	1	26				16	10			19																																	1648										1	26	33	629145	长安友善npc							<G>宋大侠若饶我一命，小女子以后绝不再行骗，倘反悔，便死无葬身之地！	500																								0	9000									1		0				3	69	220																																																							36				0									0	0	0	0															1									1		0					
2499	宋听枫	枫上听琴		3	0	12				50		900	27	3				35	1531			1378					22	9450					31	10	10	10	10	10		24	2	2	2	2		2499	21	86	43	86	43	28	1	32				22	10			19																																	1649										1	56	72	734003	长安友善npc							<G>在下最是看不得为恶之人，若是碰到，定下重手，绝不轻饶！	1000																								0	9000									1		0				3	147	265																																																							12				0									0	0	0	0															1									1		0					
2501	武六郎	酚河花夜叉		3	0	36				25			47	3				120	360			324					22	9450					15	5	5	5	5	5		11	1	1	1	1		2501	21	40	20	40	20	28	1	36				26	10																																				1609										1	26	33	629145	长安友善npc			0	0			<G>打也打了，气也该消了，把我们拦在这里是何道理？纯阳竟也有不讲理的人么？！	300																								0	9000									1		0				3	69	220																																																							36				0									0	0	0	0															1									1		0					
