ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
9767	燕平	高级采金师		3		26				80									5960			5364											51	17	17	17	17	17		39	4	4	4	4		9767		160	80	160	80																																																							385	500	838860	成都功能NPC																																0	9000											0					275	330																																																							26																															1									1		0					
9768	妙手刘离	高级庖丁术师		3		26				80									5960			5364											51	17	17	17	17	17		39	4	4	4	4		9768		160	80	160	80																																																							385	500	838860	成都功能NPC																																0	9000											0					275	330																																																							26																															1									1		0					
9769	李虬髯	高级烹饪训练师		3		26				80									5960			5364											51	17	17	17	17	17		39	4	4	4	4		9769		160	80	160	80	28	1	30		1	1024	20	10																																				24842											385	500	838860	成都功能NPC							想做各种从未见过的菜式么？那可得跟我好好学了！	100									scripts/Craft/Npc/制造类训练师/烹饪训练师.lua															0	9000											0					275	330																																																																																						1									1		0					
9770	郭晴云	高级医术师		3		26				80									5960			5364											51	17	17	17	17	17		39	4	4	4	4		9770		160	80	160	80																																																							385	500	838860	成都功能NPC																																0	9000											0					275	330																																																																																						1									1		0					
9771	何仙姑	高级神农师		3		26				80									5960			5364											51	17	17	17	17	17		39	4	4	4	4		9771		160	80	160	80																																																							385	500	838860	成都功能NPC																																0	9000											0					275	330																																																																																						1									1		0					
9772	武奇申	武器商		3		26				80									5960			5364											51	17	17	17	17	17		39	4	4	4	4		9772		160	80	160	80	28	1	26		1	1024	16	10																																				24799											385	500	838860	成都功能NPC							<G>作为一个人，作为一个江湖中人，作为一个有身份的江湖中人，没有一把称手的兵刃，叫你叫我叫大家情何以堪啊！	500																								0	9000											0					275	330																																																																																						1									1		0					
9773	云承	大师级制甲铸造师		3		26				80									5960			5364											51	17	17	17	17	17		39	4	4	4	4		9773		160	80	160	80																																																							385	500	838860	成都功能NPC																																0	9000											0					275	330																																																																																						1									1		0					
9774	高游岑	高级武器铸造师		3		26				80									5960			5364											51	17	17	17	17	17		39	4	4	4	4		9774		160	80	160	80																																																							385	500	838860	成都功能NPC							<G>我可从来没输给任何一个人！	100									scripts/Craft/Npc/制造类训练师/铸造训练师.lua															0	9000											0					275	330																																																																																						1									1		0					
9775	甄悦星	高级万花医术师		3		26				80									5960			5364											51	17	17	17	17	17		39	4	4	4	4		9775		160	80	160	80	28	1	30		1	1024	20	10																																				24811											385	500	838860	成都功能NPC							<G>不治已病治未病，不治已乱治未乱。	100									scripts/Craft/Npc/制造类训练师/医术训练师.lua															0	9000											0					275	330																																																																																						1									1		0					
9776	金针苏蓉	高级缝纫师		3		26				80									5960			5364											51	17	17	17	17	17		39	4	4	4	4		9776		160	80	160	80																																																							385	500	838860	成都功能NPC																																0	9000											0					275	330																																																							26																															1									1		0					
9854	黎书彦	阅读材料供应商		3		26				80									5960			5364											51	17	17	17	17	17		39	4	4	4	4		9854		160	80	160	80	28	1	28		1	1024	18	10																																				24801											385	500	838860	成都功能NPC							<G>读书识字，可是能派上大用场的！	100									scripts\Map\洛阳\npc\旧书换新书.lua															0	9000											0					275	330																																																																																						1									1		0					
9855	乌壮离	高级武器铸造训练师		3		26				80									5960			5364											51	17	17	17	17	17		39	4	4	4	4		9855		215	107	215	107	28	1	43		1	1024	33	10																																				24831											385	500	838860	成都功能NPC							<G>你不知道神兵是如何炼成的？你直接问我啊！	100									scripts/Craft/Npc/制造类训练师/铸造训练师.lua															0	9000											0					275	330																																																																																						1									1		0					
9856	金烟锵	拜火教声望商		3		89				80									5960			5364											51	17	17	17	17	17		39	4	4	4	4		9856		195	97	195	97	28	1	39		1	1024	29	10																																				24847											385	500	838860	成都功能NPC							<G>圣教之火，永不熄灭！	100																								0	9000											0					275	330																																																							89																															1									1		0					
9857	百小昇					26				80									5960			5364											51	17	17	17	17	17		39	4	4	4	4		9857		160	80	160	80	28	1	24		1	1024	14	10																																				24854											385	500	838860	成都功能NPC																																0	9000											0					275	330																																																																																						1									1		0					
9858	朴伊俊	高丽商人				26				80									5960			5364											51	17	17	17	17	17		39	4	4	4	4		9858		160	80	160	80	28	1	28		1	1024	18	10																																				24969											385	500	838860	成都功能NPC							<G>我来大唐多年，早已习惯了这里的生活。	500																								0	9000											0					275	330																																																																																						1									1		0					
