ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
15529	地刺机关			2	0	28	1	9	0	83	0	950		6	0	0		0	63100	0	0	0	0	0	100	6	0	9000	0	0	0	0	47	35	35	35	35	35	1024	217	0	0	0	0	0	15529	1	2093	1047	2093	1047	3249	1	27	0	1	1024	17	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	25655	0	0	0	0	0	0	0	0	0		0	0	0	低级唐门密室	0	0	3	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500		-1	0	0	0	0	0	0	0	0	3070	1	1	0	960	5	211	4200	60			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0					1											1					
15548	天雷			2	0	28	1	3	0	25	0	950	1	1	1	1		0	25	0	0	0	0	0	100	6	22	9000	0	0	0	0	16	17	17	17	17	17	1024	19	0	0	0	0	0	15548	1	12	6	12	6	28	1	52	0	1	1024	42	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	25675	0	0	0	0	0	0	0	0	0	2	0	0	0	低级唐门密室	0	0	3	1	1	0		0		0		0					scripts\Map\低级唐门密室\npc\落雷机关.lua					0	0	0	0	0	0	0	0	0	0			3840	0	0	0	0	0	0	1	0	894	0	1	0	960	1	25	55	60			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0					1											1					
15579	光圈			2	0	28	1	9	0	1	0	950			0	0		0	1	0	0	45	0	0	100	6	0	9000	0	0	0	0	0	1	1	1	1	1	1024						0	15579	1	10	5	10	5	28	1	43	0	1	1024	33	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	25702	0	0	0	0	0	0	0	0	0	2	0	0	0	低级唐门密室	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0			3840	0	0	0	0	0	0	0	3	3071	1	1	0	960	3		78	60			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0					1											1					
15605	机关弩			2	0	26	1	9	0	1	0	950	1		0	0		0	1	0	0	45	0	0	100	6	0	9000	0	0	0	0	0	1	1	1	1	1	1024						0	15605	1	10	5	10	5	28	1	43	0	1	1024	33	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	0	0	20		0		0		0		0	25725	0	0	0	0	0	0	0	0	0		0	0	0	低级唐门密室	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	3071	1	1	0	960	3		78	60			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0					1											1					
15607	汉唐			2	0	28	1	3	0	25	0	950		6	1	1		0	1800	0	0	0	0	0	100	6	32	9000	0	0	0	0	19	0	0	0	0	0	1024	12	11	11	11	11	0	15607	1	66	0	503	251	28	1	62	0	1	1024	52	10			320		1	10240	16	8			160		1	1024	16	8			208	0	1	1024	16	8	99999999	0	20		0		0		0		0	25730	0	0	0	0	0	0	0	0	0		0	0	0	低级唐门密室	0	0	2	3	1	0		0		0		0					scripts\Map\低级唐门密室\npc\汉唐.lua					0	0	0	0	0	0	0	0	0	0		10000	-1	0	0	0	0	0	0	1	0	254	1	1	0	960	5	25	2750	63			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0		0	0	0	0					1											1					
15636	双子机甲			2	0	28	1	3	0	25	0	950		5	1	1		0	300	0	0	0	0	0	100	6	22	9000	0	0	0	0	16	0	0	0	0	0	1024	19	0	0	0	0	0	15636	1	26	3	232	116	28	1	27	0	1	1024	17	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	99999	0	20		0		0		0		0	25753	0	0	0	0	0	0	0	0	0	2	0	0	0	低级唐门密室	0	0	3	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0		10000	-1	0	0	0	0	0	0	1	0	0	1	1	0	960	9	25	1145	60			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0					1											0					
15640	零件			2	0	28	1	3	0	25	0	950		5	1	1		0	25	0	0	0	0	0	100	6	32	9000	0	0	0	0	16	0	0	0	0	0	1024	19	0	0	0	0	0	15640	1	181	90	181	90	854	1	52	0		1024	3	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	99999999	0	20		0		0		0		0	25758	0	0	0	0	0	0	0	0	0	2	0	0	0	低级唐门密室	0	0	3	0	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0		9500	-1	0	0	0	0	0	0	1	0	172	1	1	0	960	7	25	763	60			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0					1											1					
15641	蟑螂			2	0	26	1	9	0	1	0	950			0	0		0	1	0	0	45	0	0	100	6	22	9000	0	0	0	0	0	1	1	1	1	1	1024						0	15641	1	8	3	8	3	0	0	32	0	1	1024	16	8	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	25760	0	0	0	0	0	0	0	0	0		0	0	0	低级唐门密室	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0			3840	0	0	0	0	0	0	0	0	0	1	1	0	960	3		78	60			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0					1											0					
15643	废掉的NPC			2	0	26	1	9	0	80	0	950	1		0	0		0	2200	0	0	15602	0	0	100	6	0	9000	0	0	0	0	54	32	32	32	32	32	1024	191	80	80	80	80	0	15643	1	238	119	238	119	28	1	43	0	1	1024	33	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	25762	0	0	0	0	0	0	0	0	0		0	0	0	低级唐门密室	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0			3840	0	0	0	0	0	0	0	6	3071	1	1	0	960	3	190	330	60			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0					1											1					
15645	四象机甲龙·青龙			2	0	28	1	3	0	25	0	950	1	4	1	1		0	200	0	0	0	0	0	100	6	22	9000	0	0	0	0	16	0	0	0	0	0	1024	19	0	0	0	0	0	15645	1	85	43	85	43	28	1	49	0	1	1024	39	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	99999	0	20		0		0		0		0	25775	0	0	0	0	0	0	0	0	0	2	0	0	0	低级唐门密室	0	0	3	1	1	0		0		0		0					scripts\Map\低级唐门密室\npc\四象小龙.lua					0	0	0	0	0	0	0	0	0	0			3840	0	0	0	0	0	0	1	0	494	1	1	0	960	4	25	366	60			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0					1											1					
