ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
11766	新建数据1																		5			4											8	3	3	3	3	3		6	1	1	1	1		11766		3	2	3	2																																												23286											1	1	629145	动物世界																																0	9000											0					2	78																																																																																						1											0					
11767	新建数据2																		5			4											8	3	3	3	3	3		6	1	1	1	1		11767		3	2	3	2																																												23287											1	1	629145	动物世界																																0	9000											0					2	78																																																																																						1											0					
11768	新建数据3																		5			4											8	3	3	3	3	3		6	1	1	1	1		11768		3	2	3	2																																												23288											1	1	629145	动物世界																																0	9000											0					2	78																																																																																						1											0					
11769	新建数据4																		5			4											8	3	3	3	3	3		6	1	1	1	1		11769		3	2	3	2																																												23289											1	1	629145	动物世界																																0	9000											0					2	78																																																																																						1											0					
11770	新建数据5																		5			4											8	3	3	3	3	3		6	1	1	1	1		11770		3	2	3	2																																												23290											1	1	629145	动物世界																																0	9000											0					2	78																																																																																						1											0					
11771	新建数据6																		5			4											8	3	3	3	3	3		6	1	1	1	1		11771		3	2	3	2																																												23291											1	1	629145	动物世界																																0	9000											0					2	78																																																																																						1											0					
11772	新建数据7																		5			4											8	3	3	3	3	3		6	1	1	1	1		11772		3	2	3	2																																												23292											1	1	629145	动物世界																																0	9000											0					2	78																																																																																						1											0					
11773	新建数据8																		5			4											8	3	3	3	3	3		6	1	1	1	1		11773		3	2	3	2																																												23293											1	1	629145	动物世界																																0	9000											0					2	78																																																																																						1											0					
11774	新建数据9																		5			4											8	3	3	3	3	3		6	1	1	1	1		11774		3	2	3	2																																												23294											1	1	629145	动物世界																																0	9000											0					2	78																																																																																						1											0					
11775	新建数据10																		5			4											8	3	3	3	3	3		6	1	1	1	1		11775		3	2	3	2																																												23295											1	1	629145	动物世界																																0	9000											0					2	78																																																																																						1											0					
11776	新建数据11																		5			4											8	3	3	3	3	3		6	1	1	1	1		11776		3	2	3	2																																												23296											1	1	629145	动物世界																																0	9000											0					2	78																																																																																						1											0					
11777	新建数据12																		5			4											8	3	3	3	3	3		6	1	1	1	1		11777		3	2	3	2																																												23297											1	1	629145	动物世界																																0	9000											0					2	78																																																																																						1											0					
11778	新建数据13																		5			4											8	3	3	3	3	3		6	1	1	1	1		11778		3	2	3	2																																												23298											1	1	629145	动物世界																																0	9000											0					2	78																																																																																						1											0					
11779	新建数据14																		5			4											8	3	3	3	3	3		6	1	1	1	1		11779		3	2	3	2																																												23299											1	1	629145	动物世界																																0	9000											0					2	78																																																																																						1											0					
11780	新建数据15																		5			4											8	3	3	3	3	3		6	1	1	1	1		11780		3	2	3	2																																												23300											1	1	629145	动物世界																																0	9000											0					2	78																																																																																						1											0					
11781	新建数据16																		5			4											8	3	3	3	3	3		6	1	1	1	1		11781		3	2	3	2																																												23301											1	1	629145	动物世界																																0	9000											0					2	78																																																																																						1											0					
11782	新建数据17																		5			4											8	3	3	3	3	3		6	1	1	1	1		11782		3	2	3	2																																												23302											1	1	629145	动物世界																																0	9000											0					2	78																																																																																						1											0					
11783	新建数据18																		5			4											8	3	3	3	3	3		6	1	1	1	1		11783		3	2	3	2																																												23303											1	1	629145	动物世界																																0	9000											0					2	78																																																																																						1											0					
11784	新建数据19																		5			4											8	3	3	3	3	3		6	1	1	1	1		11784		3	2	3	2																																												23304											1	1	629145	动物世界																																0	9000											0					2	78																																																																																						1											0					
11785	新建数据20																		5			4											8	3	3	3	3	3		6	1	1	1	1		11785		3	2	3	2																																												23305											1	1	629145	动物世界																																0	9000											0					2	78																																																																																						1											0					
11786	新建数据21																		5			4											8	3	3	3	3	3		6	1	1	1	1		11786		3	2	3	2																																												23306											1	1	629145	动物世界																																0	9000											0					2	78																																																																																						1											0					
11787	新建数据22																		5			4											8	3	3	3	3	3		6	1	1	1	1		11787		3	2	3	2																																												23307											1	1	629145	动物世界																																0	9000											0					2	78																																																																																						1											0					
11788	新建数据23																		5			4											8	3	3	3	3	3		6	1	1	1	1		11788		3	2	3	2																																												23308											1	1	629145	动物世界																																0	9000											0					2	78																																																																																						1											0					
11789	新建数据24																		5			4											8	3	3	3	3	3		6	1	1	1	1		11789		3	2	3	2																																												23309											1	1	629145	动物世界																																0	9000											0					2	78																																																																																						1											0					
