ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
3600	猴子				0	31		8				550	63	3				60	50			0			0		22						0	1	1	1	1	1		0	0	0	0	0		3600	27	19	10	19	10	28	1	27		1	1024	17	10																																				2561										1	0	0	0	动物园			2		1																											0										10		0				3	1	78																																																							31				0									0	0	0	0															1											0					
3601	小野猪				0	31		2	22	30	1	950	62	3				180	476			429					22						18	6	6	6	6	6		14	1	1	1	1		3601	23	50	25	50	25	28	1	23				13	10			32								32								32																	2566										1	0	0	0	动物园																																0	9000									10		0				3	85	230																																																							31				0									0	0	0	0															1											0					
3602	水牛				0	26		2					94	3				30	5			4					22	9450					8	3	3	3	3	3		6	1	1	1	1		3602	21	6	3	6	3	28	1	57		1	1024	47	10																																				2567										1	0	0	0	动物园			0	0																												0	9000									2		0				3	2	78																																																							26				0									0	0	0	0															1											0					
3603	小马			3	0	26		2		8			90	3	0	0		90	59			53					22	9450					8	3	3	3	3	3		6	1	1	1	1		3603	21	9	4	9	4	28	1	26				16	10																																				2568										1	0	0	0	动物园			0	0			<G><F174 一匹牙口好的马，它在看着你。>	100																								0	9000								0	1		0				3	20	134																																																							26				0									0	0	0	0															1											0					
3604	小鸡				0	26		8	26			200	3	3	0	0		90	10			0			0	4	18	0					0	0	1	1	1	1		0						3604	27	28	14	28	14	28	1	51		1	1024	41	10																																				2570										1	0	0	0	动物园			0	0	1																											0									0	10		0				3	1	78																																																							26				0									0	0	0	0															1											0					
3605	猫				0	37		8				550	90	3	0			35	5			0			0	16	22						3	2	1	1	1	1		0						3605	21	18	8	18	8	28	1	26		1	1024	16	10																																				2571										1	0	0	0	动物园			0	0	1	40											scripts\Map\寇岛\npc\小馋猫.lua															0										10		0				3	1	78																																																							37				0									0	0	0	0															1											0					
3606	青蛙				0	31		8	503	11	3	600	58	3				120	93			0					22						8	2	2	2	2	2		6	0	0	0	0		3606	23	13	6	13	6	28	1	25				15	10	5047	3	240																																	2572										354	0	0	0	动物园			2																													0	9000									2		0				3	28	157																																																							31				0									0	0	0	0															1											0					
3607	小白兔				0	31		8	42	1		950	18	3	0	0		45	5			0					22						8	2	2	2	2	2		6	0	0	0	0		3607	27	5	3	5	3	28	1	49		1	1024	39	10			32								32								32									洛阳\tuzirou.tab	1							2573										386	0	0	0	动物园			2																													0	9000								0	10		0				3	2	78																																																							31				0									0	0	0	0															1											0					
3608	小猪				0	31		8	22			450	39	3				20	5			4					22	9450					8	3	3	3	3	3		6	1	1	1	1		3608	13	3	2	3	2	28	1	31				21	10																																				2574										1	0	0	0	动物园			0	0																												0	9000									10		0				3	2	78																																																							31				0									0	0	0	0															1											0					
3620	小熊				0	26		2	105	20	1	950	75	3	0			180	266			240					22						11	4	4	4	4	4		9	1	1	1	1		3620	13	26	14	26	14	28	1	28				18	10			32								32								32																	2587										1	0	0	0	动物园																																0	9000									10		0				3	54	210																																																							26				0									0	0	0	0															1											0					
3621	乌龟			2	0	26	1	8	56	20	0	950	68	3	1	1		180	280	0	0	0	0	0	100	6	22	9000	0	0	0	0	12	3	3	3	3	3		8	0	0	0	0	0	3621	1	28	15	28	15	28	1	30		1	1024	20	10	0	0	32		1	1024			0	0	32		1	1024			0	0	32		1	1024			480	0	10		0		0		0		0	2588	0	0	0	0	0	0	0	0	0	373	0	0	0	动物园	0	0	2	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	2048	0	0	0	0	0	0	1	10		0				3	54	210																																																							26				0									0	0	0	0															1											0					
3622	小狗			3	0	26			30	2		500	47	3	0	0		180	12			11				4	22	9450					8	3	3	3	3	3		6	1	1	1	1		3622	24	4	2	4	2	28	1	23		1	1024	13	10																																				2589										1	1	1	629145	动物园			0	0																												0	9000									10		0				3	5	86																																																							26				0									0	0	0	0															1											0					
3623	小蛇				0	28		2	243	15	2	650	56	3				120	137			0					22						8	2	2	2	2	2		6	0	0	0	0		3623	15	18	9	18	9	28	1	22				12	10	5055	7	400																																	2590										1	0	0	0	动物园			2																													0	9000									10		0				3	38	188																																																							28				0									0	0	0	0															1											0					
3624	小鳄鱼			2	0	26	1	8	60	15	3	950	169	3	1	1		180	137	0	0	0	0	0	100	6	22	9000	0	0	0	0	8	2	2	2	2	2		6	0	0	0	0	0	3624	1	18	9	18	9	28	1	25		1	1024	15	10	0	0	32		1	1024			0	0	32		1	1024			0	0	32		1	1024			480	0	10		0		0		0		0	2591	0	0	0	0	0	0	0	0	0	378	0	0	0	动物园	0	0	2	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	2048	0	0	0	0	0	0	1	10		0				3	38	188																																																							26				0									0	0	0	0															1											0					
3625	小螃蟹				0	28		2	206	13	1		69	3					94			0					22						8	3	3	3	3	3		4	0	0	0	0		3625	12	19	9	19	9	28	1	22				12	10																																				2592										1	0	0	0	动物园			2	3																												0	9000									10		0				3	33	173																																																							28				0									0	0	0	0															1											0					
3626	小狼				0	26		8	242	11	2	400	71	3				120	93			0					22	9450					8	2	2	2	2	2		6	0	0	0	0		3626	13	13	6	13	6	28	1	27				17	10																																				2593										360	0	0	0	动物园			2																													0	9000									10		0				3	28	157																																																							26				0									0	0	0	0															1											0					
3627	小果子狸				0	26		8	22	11	2	900	42	3				60	93			0					22	9450					8	2	2	2	2	2		6	0	0	0	0		3627	11	13	6	13	6	28	1	23				13	10	5056	10	400						5049	10	200																									2594										354	0	0	0	动物园			2																													0	9000									10		0				3	28	157																																																							26				0									0	0	0	0															1											0					
