ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
652	恶犬			3	0	37	1	2	0	10	0	950	28		0	0		180	81	0	0	0	0	0	100	6	22	9000	0	0	0	0	8	2	2	2	2	2		6	0	0	0	0	0	652	1	12	6	12	6	28	1	23		1	1024	13	10	623	3	240		2	512	13	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4764	0	0	0	0	0	0	0	0	0	1	0	0	0	恶人谷	0	0	2	1	0	0	<G><F174 好恶一只犬！>	100		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	0	1	0	0	1	0	0	3	25	149	0			0																																																			37				0									0	0	0	0															1									0		0					
656	牛			3	0	37	1	2	0	10	0	950	28		0	0		180	77	0	0	69	0	0	100	6	22	9000	0	0	0	0	8	3	3	3	3	3		6	1	1	1	1	0	656	1	12	6	12	6	28	1	36		1	1024	26	10	617	3	240		2	512	26	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4765	0	0	0	0	0	0	0	0	0	1	0	0	0	恶人谷	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	0	1	0	0	1	0	0	3	25	149	0			0																																																			37				0									0	0	0	0															1									1		0					
657	辛巴			3	0	37	1	2	0	60	0	950	28		0	0		180	2372	0	0	2135	0	0	100	6	22	9000	0	0	0	0	37	12	12	12	12	12		29	3	3	3	3	0	657	1	104	52	104	52	28	1	26		1	1024	16	10	655	13	160		1	512	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4766	0	0	0	0	0	0	0	0	0	1	0	0	0	恶人谷	0	0	1	1	0	0	<G><F174 据说它的王位被它的叔叔黄云抢了。而它，是兽王救回来的。>	100		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	0	1	0	0	1	0	0	3	178	275	0			0																																																			37				0									0	0	0	0															1									1		0					
660	马满江			3	0	49	1	1	0	60	0	950	28		1	1		180	2372	0	0	2135	0	0	100	6	22	9000	0	0	0	0	37	12	12	12	12	12		29	3	3	3	3	0	660	1	104	52	104	52	28	1	28		1	1024	18	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4769	0	0	0	0	0	0	0	0	0	1	125	162	838860	恶人谷	0	0	1	1	0	0	<G>兽王大人除了脾气不是太好，却是个心地不错的主人。	100		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	0	3	178	275	0			0																																																			49				0									0	0	0	0															1									1		0					
662	彭彭			3	0	37	1	2	0	10	0	950	28		0	0		180	77	0	0	69	0	0	100	6	22	9000	0	0	0	0	8	3	3	3	3	3		6	1	1	1	1	0	662	1	11	5	11	5	28	1	23		1	1024	13	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4772	0	0	0	0	0	0	0	0	0	1	0	0	0	恶人谷	0	0	1	1	0	0	<G><F174 这只野猪的两只獠牙尖亮异常，可是眼神却很温柔。>	100		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	0	1	0	0	1	0	0	3	25	149	0			0																																																			37				0									0	0	0	0															1									1		0					
663	丁满			3	0	37	1	2	0	10	0	950	28		0	0		180	77	0	0	69	0	0	100	6	22	9000	0	0	0	0	8	3	3	3	3	3		6	1	1	1	1	0	663	1	11	5	11	5	28	1	23		1	1024	13	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4771	0	0	0	0	0	0	0	0	0	1	0	0	0	恶人谷	0	0	1	1	0	0	<G><F174 这是一只猫鼬，应该是外邦特意给兽王送来的。>	100		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	0	1	0	0	1	0	0	3	25	149	0			0																																																			37				0									0	0	0	0															1									1		0					
664	秋凝丝	初级医术师		3		49				80			28						5960			5364				6	22						51	17	17	17	17	17		39	4	4	4	4		664	1	175	87	175	87	28	1	35		1	1024	25	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20									4773											385	500	838860	恶人谷						0	<G>在谷中若是有个小病小伤，找我还是能轻松解决的。	100		0		0					scripts/Craft/Npc/制造类训练师/医术训练师.lua					0	0	0	0	0	0	0	0			0	9000	3840			4					1	0	0		0	0		275	330	0																																																						49													0	0	0	0															1									1		0					
665	成仓邕	中级医术训练师		3		49				80			28						5960			5364				6	22						51	17	17	17	17	17		39	4	4	4	4		665	1	160	80	160	80	28	1	28		1	1024	18	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20									4774											385	500	838860	恶人谷						0	<G>医术可疗伤、可救人，但也要看是什么人，若是本性无可救药，那就他便是浪费了这么好的药材。	100		0		0					scripts/Craft/Npc/制造类训练师/医术训练师.lua					0	0	0	0	0	0	0	0			0	9000	3840			4					1	0	0		0	0		275	330	0																																																						49													0	0	0	0															1									1		0					
666	孙储顺	高级医术训练师		3		49				80			28						5960			5364				6	22						51	17	17	17	17	17		39	4	4	4	4		666	1	160	80	160	80	28	1	25		1	1024	15	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20									4775											385	500	838860	恶人谷						0	<G>虽然你我现在同在恶人谷，但也莫要忘了济世救人的根本。	100		0		0					scripts/Craft/Npc/制造类训练师/医术训练师.lua					0	0	0	0	0	0	0	0			0	9000	3840								1	0	0		0	0		275	330	0																																																						49													0	0	0	0															1									1		0					
667	刁山虎	初级铸造训练师		3		49				80			28						5960			5364				6	22						51	17	17	17	17	17		39	4	4	4	4		667	1	195	97	195	97	28	1	39		1	1024	29	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20									4776											385	500	838860	恶人谷						0	<G>你到如今才来学铸造吗？不过有我老刁在，你学的定然会很好！哈哈哈哈！	100		0		0					scripts/Craft/Npc/制造类训练师/铸造训练师.lua					0	0	0	0	0	0	0	0			0	9000	3840			4					1	0	0		0	0		275	330	0																																																						49													0	0	0	0															1									1		0					
