ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
577	马云	信使		3	0	26				34		900	28	3				180	706			635					22	9450					21	7	7	7	7	7		16	2	2	2	2		577	21	56	29	56	29	28	1	28				18	10			19																																	2336										1	41	53	734003	枫桦谷							<G>大唐邮政，八百里加急，特快专递！	1000	<G>放心，您的邮件一定能够快捷、安全、完好的抵达目的地。	1000						1		飞鸽传书														0	9000									1		0				3	97	238																																																							26				0									0	0	0	0															1									1		0					
1753	唐无影	唐门		3	0	17			1	50			40	3				180	1761			1378					22	9450					35	10	10	10	10	10		29	2	2	2	2	41001	1753	21	69	34	69	34	28	1	28				18	10																																				939										1	56	72	734003	枫桦谷				2			<G>在下唐无影，来自巴蜀唐门，在此处是为了调查当年枫华谷大战真相，可一到这就被对面的丐帮弟子给拦住。哎……	1000					<G>这重重迷雾，谁能替我解开。	1600																		0	9450									1		0				3	147	265																																																							17				0									0	0	0	0															1									1		0					
1754	曾有才	小吃商		3	0	54				30		950	41	3				180	476			429					22						18	6	6	6	6	6		14	1	1	1	1		1754	21	50	25	50	25	28	1	26				16	10			32								32								32																	938										1	40	52	629145	枫桦谷							<G>旁边的大雷老问我为什么不找神策来护镖，他脑袋被门夹了啊，找神策，别人是要钱他们可是要命呢。	1000					<G>没有小贼的骚扰，这路程就快了。	1596																		0	9000											0				3	85	230																																																							54				0									0	0	0	0															1									1		0					
1755	王大雷	服装商		3	0	26				30		950	47	3				180	476			429					22						18	6	6	6	6	6		14	1	1	1	1		1755	21	50	25	50	25	28	1	31				21	10	664	7	32		1	512	16	8			32								32																	940										1	40	52	629145	枫桦谷							<G>老板也真是的，这里明明有神策军，为什么不找他们帮忙呢，不就花点钱么？	1000					<G>总算可以赶路了，不怕路程被耽搁了。	1596																		0	9000									1		0				3	85	230																																																							26				0									0	0	0	0															1									1		0					
1756	焦维琳	远程武器商		3	0	26				50		950	41	3				180	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		1756	21	86	43	86	43	28	1	26				16	10			32								32								32																	941										1	56	72	734003	枫桦谷							<G>这里是平顶村，离洛阳长安挺近的。洛阳和长安可真是繁华啊。你是从这两处来的吧，不知道到了这小村子习惯不？	1000					<G>呵呵，是你啊，上次焦松的事情感谢你的帮忙。焦松已经好了，只不过弟弟的过世让他难过好一阵子，以后路过这里的时候常来看看我们，喝喝茶聊聊天也是好的。	1632			scripts\Map\枫华谷\npc\焦维琳.lua															0	9000									1		0				3	147	265																																																							26				0									0	0	0	0															1									1		0					
1757	焦原的遗体			3	0	26				35		950	58	3				180	750			675					22						21	7	7	7	7	7		16	2	2	2	2		1757	21	59	30	59	30			32								32								32								32																	1837										1	41	53	734003	枫桦谷							<G><F174 焦原的身体似乎被一种强力的腐蚀剂泡过，发散着一股恶臭，面目残缺不全，狰狞可怖。>	1																								0	9000											0				3	101	240																																																							26				0									0	0	0	0															1									1		0					
1758	焦一鸣	菜贩		3	0	26				35		950	27	3				180	750			675					22						21	7	7	7	7	7		16	2	2	2	2		1758	21	59	30	59	30	28	1	28				18	10			32								32								32																	942										1	41	53	734003	枫桦谷							<G>秋天的季节，适合打猎，最近村子附近出了什么大熊，老半夜跑出来吓死人了。	1000					<G>现在打猎不用担心熊了。	1621			scripts\Map\枫华谷\npc\焦一鸣.lua															0	9000									1		0				3	101	240																																																							26				0									0	0	0	0															1									1		0					
1759	焦玲儿			3	0	26				35		950	41	3				180	750			675					22						21	7	7	7	7	7		16	2	2	2	2		1759	21	59	30	59	30	28	1	26				16	10			32								32								32																	1824										1	41	53	734003	枫桦谷							<G>蜂蜜茶就是在茶水温温的时候加点蜂蜜，口感细腻甘甜。	1000					<G>上次的蜂蜜茶好喝吧？嘻嘻，要是你再给我采点蜂蜜来，我就泡给你喝。	1623			scripts\Map\枫华谷\npc\焦玲儿.lua															0	9000									1		0				3	101	240																																																							26				0									0	0	0	0															1									1		0					
1760	焦琪霏	杂货商		3	0	26				35		950	36	3				180	750			675					22						21	7	7	7	7	7		16	2	2	2	2		1760	21	65	32	65	32	28	1	35				25	10			32								32								32																	1826										1	41	53	734003	枫桦谷							<G>最近村子里来了好多人，哎……不太平，焦松哥俩也不知跑哪去了。	1000					<G>原来焦松哥俩发生了这么可怕的事情，哎。	1624																		0	9000									1		0				3	101	240																																																							26				0									0	0	0	0															1									1		0					
1761	焦印			3	0	26				35		950	27	3				180	750			675					22						21	7	7	7	7	7		16	2	2	2	2		1761	21	65	32	65	32	28	1	35				25	10			32								32								32																	1828										1	41	53	734003	枫桦谷							<G>村子里最近发生了很多事情，很是不安。	1000					<G>多亏有你的帮助，我们村子才平静下来。	1632			scripts\Map\枫华谷\npc\焦印.lua															0	9000									1		0				3	101	240																																																							26				0									0	0	0	0															1									1		0					
1762	焦松			3	0	26				35		950	27	3				180	750			675					22						21	7	7	7	7	7		16	2	2	2	2		1762	21	59	30	59	30	28	1	28				18	10			32								32								32																	1831										1	41	53	734003	枫桦谷							<G>吓死我了，好多怪物！这是什么鬼地方啊，我弟弟也被他们给抓起来了。吓死我了。	1000					<G>弟弟啊，我可怜的弟弟，你死得好惨。\n<H28><G><F174 焦松呜呜呜的哭。>	1625																		0	9000									1		0				3	101	240																																																							26				0									0	0	0	0															1									1		0					
1763	焦佳斌			3	0	26				35		950	26	3				180	750			675					22						21	7	7	7	7	7		16	2	2	2	2		1763	21	59	30	59	30	28	1	23				13	10			32								32								32																	1832										1	41	53	734003	枫桦谷							<G>为什么我们村子叫平顶村？你别看我一把年纪，这个我也不是很清楚。	1000									scripts\Map\枫华谷\npc\焦佳斌.lua															0	9000									1		0				3	101	240																																																							26				0									0	0	0	0															1									1		0					
1764	何威猛			3	0	26				30		950	28	3				300	476			429					22						18	6	6	6	6	6		14	1	1	1	1		1764	12	50	25	50	25	28	1	28				18	10			32								32								32																	951										1	40	52	629145	枫桦谷					1		<G>江湖上传言当年枫华谷大战有一人还活着，这么扬名立威的事，怎么可能少得了我。	1000									scripts\Map\枫华谷\npc\何威猛.lua															0	9000									2		0				3	85	230																																																							26				0									0	0	0	0															1									1		0					
1765	马未末			3	0	26				30		950	41	3				180	476			429					22						18	6	6	6	6	6		14	1	1	1	1		1765	12	50	25	50	25	28	1	31				21	10			32								32								32																	950										1	40	52	629145	枫桦谷					1		<G>枫华谷？没想到这里十年前居然发生过大战，看起来很普通嘛，还就一个破茶水铺，一点好吃的都没有。	1000									scripts\Map\枫华谷\npc\马未末.lua															0	9000									2		0				3	85	230																																																							26				0									0	0	0	0															1									1		0					
1766	成文武			3	0	26				30		950	28	3				300	476			429					22						18	6	6	6	6	6		14	1	1	1	1		1766	12	50	25	50	25	28	1	28				18	10			32								32								32																	949										1	40	52	629145	枫桦谷					1		<G>没想到在这里还碰见了他们两人，看来咱们都是想要扬名江湖啊。	1000									scripts\Map\枫华谷\npc\成文武.lua															0	9000									2		0				3	85	230																																																							26				0									0	0	0	0															1									1		0					
1767	周紫鹃	酱料商		3	0	26				30		950	41	3				180	476			429					22						18	6	6	6	6	6		14	1	1	1	1		1767	21	50	25	50	25	28	1	26				16	10			32								32								32																	952										1	40	52	629145	枫桦谷							<G>客官打哪儿来呢？坐下歇息喝杯茶吧。我这里还有上好的杏花酒，那做诗的李白都爱喝的。	1000					<G>呵呵，我没有骗你吧，我都说了，这可是李白爱喝的酒。	1730			scripts\Map\枫华谷\npc\周紫鹃.lua															0	9000									1		0				3	85	230																																																							26				0									0	0	0	0															1									1		0					
1768	张鹏涛			3	0	26				30		950	27	3				180	476			429					22						18	6	6	6	6	6		14	1	1	1	1		1768	21	50	25	50	25	28	1	28				18	10			32								32								32																	1835										1	40	52	629145	枫桦谷							<G>枫林风景果然秀丽。	1																								0	9000									1		0				3	85	230																																																							26				0									0	0	0	0															1									1		0					
1769	澄正	达摩院首座		3	0	11				72			42	2				0	24262924			21836631					22	9450					0	78	78	78	78	78		117	10	10	10	10		1769	21	2184	1092	2184	1092	28	1	23				13	10																																				391										1	6944	9027	838860	枫桦谷			0	0																												0	9000									1		0				2	231	2000																																																							11													0	0	0	0															1									1		0					
1771	李白	长歌门		3	0	45				50		950	41	3				180	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		1771	21	86	43	86	43	28	1	28				18	10			32								32								32																	1652										1	56	72	734003	枫桦谷							<G>此处幽静且安宁，沐着微风品着小酒，神仙过的日子啊。\n<H28><G><F174 李白双颊通红，醉眼朦胧。>	1000																								0	9000									1		0				3	147	265																																																							45				0									0	0	0	0															1									1		0					
1772	肖药儿			3	0	37				72		950	28	2				180	24262924			21836631					22						0	78	78	78	78	78		117	10	10	10	10		1772	21	2184	1092	2184	1092	28	1	24				14	10			32								32								32																	955										1	6944	9027	838860	枫桦谷							<G>可恶的红衣教，居然乘老夫不备抢走了叶儿。老夫赶到此处，正是为了救出叶儿。	1000					<G>荻花宫？！哼，居然把叶儿虏去此处，当真欺负老夫年迈！这帮女子不知好歹，可得好好教训一番。\n<H28><G><F174 肖药儿有点愤怒。>	1706			scripts\Map\枫华谷\npc\肖药儿.lua															0	9000									1		0				2	231	2000																																																							37													0	0	0	0															1									1		0					
1773	柳公子			3	0	37				72		950	35	2				180	24262924			21836631					22						0	78	78	78	78	78		117	10	10	10	10		1773	21	2184	1092	2184	1092	28	1	28				18	10			32								32								32																	956										1	6944	9027	838860	枫桦谷							<G>神策军现在太嚣张了，好歹也是朝廷的队伍，怎么逢人就抢。	1																								0	9000									1		0				2	231	2000																																																							37													0	0	0	0															1									1		0					
1774	王遗风	恶人谷		3	0	26				73		950	44	2				3600	24879587			22391628					22						0	79	79	79	79	79		119	10	10	10	10	320	1774	21	2218	1109	2218	1109	28	1	27				17	10			32								32								32																	957										1	7333	9527	838860	枫桦谷							<G>世人总是爱论黑白之界，善恶之分，可是谁又能说得清什么是黑？什么是白？什么是善？什么是恶呢？	1000																								0	9000									3		0				2	235	2000																																																							26													0	0	0	0															1									1		0					
1775	莫雨			3	0	26				45		950	28	3				180	1309			1178					22						28	9	9	9	9	9		21	2	2	2	2		1775	21	77	39	77	39	28	1	24				14	10			32								32								32																	958										1	49	63	734003	枫桦谷							<G>我和毛毛从村里一起流浪快十年了，虽然苦一点，但互相之间有个照应，我们已如亲兄弟一般，可今天却被这群恶人逼到此处。	1000					<G>毛毛，我的好兄弟，没有想到你居然被这群坏人逼死，我一定要给你报仇。	1727																		0	9000											0				3	132	260																																																							26				0									0	0	0	0															1									1		0					
