ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
6332	陈月			2	0	32	1	1	0	51	0	950	28		1	1		0	2000	0	0	87540	0	0	100	6	22	9000	0	0	0	0	36	35	35	35	35	35		68	51	51	51	51	0	6332	1	42	21	42	21	28	1	30		1	1024	20	10	1183	11	80		2	1024	16	8	1182	11	100		2	1024	16	8	946	11	48		4	1024	16	8	4800	0	20		0		0		0		0	537										2	62	80	838860	风雨稻香村(英雄)	0	0	1	6	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9450	3840	0	0	0	0	0	0	1		0	1	1	0	0	3	51	266	-1			0		7	0	-1	0	0																																													32													0	0	0	0															1											0					
6333	稻山老野猪			2	0	29	1	2	22	15	0	950	28		1	1		180	137	0	0	0	0	0	100	6	22	9000	0	0	0	0	8	2	2	2	2	2		6	0	0	0	0	0	6333	1	18	9	18	9	28	1	23		1	1024	13	10	656	1	160		1	512	11	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	523	0	0	0	0	0	0	0	0	0	354	0	0	0	风雨稻香村(英雄)	0	0	2	1	0	0	<G>此次藏剑和霸刀之事可有听说？	300		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	3	0	1	1	0	0	3	38	188	-1			0		7	0	-1	0	0																																													29				0									0	0	0	0															1											0					
6334	孔真	浩气盟		2	0	32	1	1	0	51	0	950	1		1	1		0	1900	0	0	13981	0	0	100	6	22	9000	0	0	0	0	35	35	35	35	35	35		76	51	51	51	51	0	6334	1	51	26	51	26	28	1	32		1	1024	14	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	527	0	0	0	0	0	0	0	0	0	1	62	80	838860	风雨稻香村(英雄)	0	0	1	1	1	0	<G>此次藏剑和霸刀之事可有听说？	300		0		0										0	0	0	0	0	0	0	0	0	0	0		3840	0	0	0	0	0	0	1	5	0	1	1	0	0	3	55	266	-1			0		7	0	-1	0	0																																													32													0	0	0	0															1											0					
6335	李复			2	0	26	1	1	0	73	0	950	45	2	1	1		0	350900	0	0	1754825	0	0	100	6	22	10000	0	0	0	0	500	100	100	100	100	100		188	67	67	67	67	0	6335	1	551	200	551	200	28	1	30		1	1024	20	10	1529	15	100		2	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	4684	0	0	0	0	0	0	0	0	0	1	5555	9527	838860	风雨稻香村(英雄)	0	0	1	1	1	480	<G><F174 这些家伙放火烧掉了去路，为今之计只有突围而出……>	500	<G>此次凶恶，不过我仍有胜券。	500		0					scripts\Map\英雄风雨稻香村\npc\李复.lua					0	0	0	0	0	0	0	0	0	0	2198	9500	-1	0	0	0	0	0	0	1	5	254	1	1.00	0	0	2	235	2000	0			0																																																			26					0	0	0	0	0				0	0	0	0															1											1					
6336	毛毛			2	0	32	1	1	0	51	0	950	28		1	1		0	4300	0	0	13660	0	0	100	6	28	9000	0	0	0	0	402	35	35	35	35	35		93	51	51	51	51	0	6336	1	42	21	42	21	28	1	36		1	1024	26	10	1180	11	90		1	1024	16	8	1181	11	160		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	4730	0	0	0	0	0	0	0	0	0	2	62	80	838860	风雨稻香村(英雄)	0	0	1	2	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9450	-1	0	0	0	0	0	0	1	1	0	1	1	0	0	3	51	266	0			0																																																			32													0	0	0	0															1											0					
6337	莫雨			2	0	32	1	1	0	52	0	950		5	1	1		0	3000	0	0	38855	0	0	100	6		9000	0	0	0	0	900	39	39	39	39	39		61	52	52	52	52	0	6337	1	175	75	204	75	28	1	24				14	10	1184	11	160				24		1185	11	320		2				1197	11	48							0			0		0		0		0	4729	0	0	0	0	0	0	0	0	0	2	236	305	838860	风雨稻香村(英雄)	0	0	1	3	1					0		0										0	0	0	0	0	0	0	0	0	0	0	9500		0	0	0	0	0	0	1	1	32	1	1	0	0	7	52	927	0			0																																																			32													0	0	0	0															1											0					
6338	秋叶青			2	0	26	1	1	0	70	0	950	28	4	1	1		0	2500	0	0	13911	0	0	100	6	22	9000	0	0	0	0	848	47	47	47	47	47		93	70	70	70	70	0	6338	1	130	135	270	135	28	1	30		1	1024	20	10	1483	15	160		7	1024	20	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	5163	0	0	0	0	0	0	0	0	0	1	316	485	838860	风雨稻香村(英雄)	0	0	1	6	1	0	<G>此地竟然出现了如此之多的乌合之众，遍地狼牙和叛军的走狗！不过那家伙可不是那么容易屈服的人。	500	<G><F174 在此梦中，你看到了什么？……>	500		0					scripts\Map\英雄风雨稻香村\npc\秋叶青传送.lua					0	0	0	0	0	0	0	0	0	0	200	9450	-1	0	0	0	0	0	0	1		2048	1	1	0	960	4	120	516	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0										0	0	0	0															1											0					
6339	刘大海			2	0	32	1	1	0	70	0	950	49	6	1	1		0	240882	0	0	188516	0	0	100	6	28	9000	0	0	0	0	0	45	45	45	45	45		88	6	6	6	6	0	6339	1	352	176	352	176	28	1	36		1	1024	26	10	1176	11	80		1	1024	16	8	1177	11	160		1	1024	16	8	1178	11	140		2	1024	16	8	99999999	0	20		0		0		0		0	542	0	0	0	0	0	0	0	0	0	1	2800	3637	838860	风雨稻香村(英雄)	0	0	1	2		0		0		0		0										0	0	0	0	0	0	0	0	0	0	500	9450	-1	0	0	0	0	0	0	1	15	222	1	1	0	0	5	225	2000	-1			0		7	0	-1	0	0													1179				11				120																								32													0	0	0	0															1											1					
6340	狼牙夜暮刺客	夜幕		2	0	28	1	1	300	70	0	950	36	5	1	1		0	6000	0	0	15141	0	0	100	6	22	9000	0	0	0	0	45	52	52	52	52	52		82	70	70	70	70	0	6340	1	1440	475	1790	475	28	1	27		1	1024	17	10	1061	15	100		1	1024	16	8	1168	15	160		7	1	1024	8	0	0	32		1	1024	16	8	99999999	0	20	70级副本\craft_xiaoguai.tab	1	四公共英雄副本\recipe_xiaoguai.tab	1	四公共英雄副本\skillbook_xiaoguai.tab	1	四公共英雄副本\skillmiji_xiaoguai.tab	1	5294	0	0	0	0	0	0	0	0	0	1	659	1010	838860	风雨稻香村(英雄)	0	0	1	3	1	0		0		0		0										44	5	0	0	0	0	0	0	0	0	0	9500	-1	0	0	0	0	0	0	1	5	766	1	1	0	960	7	111	0	4			0	-1	7	0	-1	0			0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0				6	0	0	0															1											1					
6341	骁骑营十骑卫			2	0	28	1	1	285	70	0	950	28	5	1	1		0	9100	0	0	35707	0	0	100	6	22	9000	0	0	0	0	47	47	47	47	47	47		105	70	70	70	70	0	6341	1	1314	377	1174	377	28	1	39		1	1024	29	10	1054	15	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		1		1		1		0	3621	0	0	0	0	0	0	0	0	0	1	659	1010	838860	风雨稻香村(英雄)	0	0	1	1	1	0		0		0		0										44	2	0	0	0	0	0	0	0	0	0	9500	-1	0	0	0	0	0	0	1	5	0	1	1	0	960	7	111	0	4			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28													6	0	0	0															1											0					
