ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	SkillRemarks1	SkillRemarks2	SkillRemarks3	SkillRemarks4	SkillRemarks5	SkillRemarks6	SkillRemarks7	SkillRemarks8	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	IconTypeID	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	IsHideName	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
373	方勇	镖局声望商		3	0	42	1	1	0	70	0	950	45		1	1		180	3878	0	0	3491	0	0	100	6	22	9000	0	0	0	0	44	15	15	15	15	15		34	3	3	3	3	0	373	1	131	66	131	66	28	1	27		1	1024	17	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4683	0	0	0	0	0	0	0	0	0	1	224	291	838860	功能通用NPC	0	0	1	1	0	0	<G>行走江湖，重在一个义字，再而言其他！	100		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	5	0	0	1	0	0	3	225	310	0			0																																																			42				0									0	0	0	0			[NPC-普通攻击]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:													1										1		0						
434	范励	关中商会交易师		3	0	54				20		970	30					25	266			240					22	9450					11	4	4	4	4	4		9	1	1	1	1		434	21	26	14	26	14	28	1	28				18	10																																				4850										1	38	49	629145	功能通用NPC			0	0			<G>南来的北往的，走东的串西的，都来看看吧！	100	<G>您可要瞧好了，货物一经出手，概不退换呐！	100					0		scripts\AuctionAndCoin\AuctionAndCoin.lua															0	9000									15		0				3	54	210		1	交易行																																																				54				0									0	0	0	0			[NPC-普通攻击]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:								1	通宝兑换金钱	金钱购买时间	金钱求购通宝	通宝换购金钱	1										1		0						
836	胡雪严	西域商会交易师		3	0	115				20		970	30					25	266			240					22	9450					11	4	4	4	4	4		9	1	1	1	1		836	21	26	14	26	14	28	1	28				18	10																																				4851										1	38	49	629145	功能通用NPC			0	0			<G>各位，来看下吧，西域来的商品、大唐本土货色应有尽有啊！	100	<G>明码标价，童叟无欺！	100					0		scripts\AuctionAndCoin\AuctionAndCoin.lua															0	9000									15		0				3	54	210		1	交易行																																																				115				0									0	0	0	0			[NPC-普通攻击]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:								1	通宝兑换金钱	金钱购买时间	金钱求购通宝	通宝换购金钱	1										1		0						
837	王炽	南洋商会交易师		3	0	43				20		970	30					25	266			240					22	9450					11	4	4	4	4	4		9	1	1	1	1		837	21	26	14	26	14	28	1	28				18	10																																				4852										1	38	49	629145	功能通用NPC			0	0			<G>需要什么？来里边儿看看咯，这里要什么有什么，嘿嘿，只要你有钱！	100	<G>公平交易，不得欺诈，若然欺诈，那便捉官府查办啊！	100					0		scripts\AuctionAndCoin\AuctionAndCoin.lua															0	9000									15		0				3	54	210		1	交易行																																																				43				0									0	0	0	0			[NPC-普通攻击]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:								1	通宝兑换金钱	金钱购买时间	金钱求购通宝	通宝换购金钱	1										1		0						
848	白圭	关中商会交易师		3	0	54				20		970	30					25	266			240					22	9450					11	4	4	4	4	4		9	1	1	1	1		848	21	26	14	26	14	28	1	28				18	10																																				4850										1	38	49	629145	功能通用NPC			0	0			<G>现货要现钱，一手交钱一手交货。	100	<G>不管小本经营还是大笔买卖，老规矩概不赊帐。	100					0		scripts\AuctionAndCoin\AuctionAndCoin.lua															0	9000									15		0				3	54	210		1	交易行																																																				54				0									0	0	0	0			[NPC-普通攻击]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:								1	通宝兑换金钱	金钱购买时间	金钱求购通宝	通宝换购金钱	1										1		0						
849	沈万	关中商会交易师		3	0	54				20		970	30					25	266			240					22	9450					11	4	4	4	4	4		9	1	1	1	1		849	21	26	14	26	14	28	1	28				18	10																																				4850										1	38	49	629145	功能通用NPC			0	0			<G>举头三尺有神明，骗人钱财有报应。	100	<G>天下熙熙，皆为利来，天下攘攘，皆为利往。	100					0		scripts\AuctionAndCoin\AuctionAndCoin.lua															0	9000									15		0				3	54	210		1	交易行																																																				54				0									0	0	0	0			[NPC-普通攻击]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:								1	通宝兑换金钱	金钱购买时间	金钱求购通宝	通宝换购金钱	1										1		0						
850	张 骞	西域商会交易师		3	0	115				20		970	30					25	266			240					22	9450					11	4	4	4	4	4		9	1	1	1	1		850	21	26	14	26	14	28	1	28				18	10																																				4851										1	38	49	629145	功能通用NPC			0	0			<G>拿人钱财，代人买卖，价高价少，我说了可不算。	100	<G>货比三家不吃亏！	100					0		scripts\AuctionAndCoin\AuctionAndCoin.lua															0	9000									15		0				3	54	210		1	交易行																																																				115				0									0	0	0	0			[NPC-普通攻击]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:								1	通宝兑换金钱	金钱购买时间	金钱求购通宝	通宝换购金钱	1										1		0						
851	王子贡	西域商会交易师		3	0	115				20		970	30					25	266			240					22	9450					11	4	4	4	4	4		9	1	1	1	1		851	21	26	14	26	14	28	1	28				18	10																																				4851										1	38	49	629145	功能通用NPC			0	0			<G>不怕货比货，就怕不识货。	100	<G>大唐的东西虽然很好，但是就比我们西域的贵很多。	100					0		scripts\AuctionAndCoin\AuctionAndCoin.lua															0	9000									15		0				3	54	210		1	交易行																																																				115				0									0	0	0	0			[NPC-普通攻击]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:								1	通宝兑换金钱	金钱购买时间	金钱求购通宝	通宝换购金钱	1										1		0						
852	叶澄衷	南洋商会交易师		3	0	43				20		970	30					25	266			240					22	9450					11	4	4	4	4	4		9	1	1	1	1		852	21	26	14	26	14	28	1	28				18	10																																				4852										1	38	49	629145	功能通用NPC			0	0			<G>需要什么？来里边儿看看咯，这里要什么有什么，嘿嘿，只要你有钱！	100	<G>公平交易，不得欺诈，若然欺诈，那便捉官府查办啊！	100					0		scripts\AuctionAndCoin\AuctionAndCoin.lua															0	9000									15		0				3	54	210		1	交易行																																																				43				0									0	0	0	0			[NPC-普通攻击]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:								1	通宝兑换金钱	金钱购买时间	金钱求购通宝	通宝换购金钱	1										1		0						
853	孟川	南洋商会交易师		3	0	43				20		970	30					25	266			240					22	9450					11	4	4	4	4	4		9	1	1	1	1		853	21	26	14	26	14	28	1	28				18	10																																				4852										1	38	49	629145	功能通用NPC			0	0			<G>需要什么？来里边儿看看咯，这里要什么有什么，嘿嘿，只要你有钱！	100	<G>公平交易，不得欺诈，若然欺诈，那便捉官府查办啊！	100					0		scripts\AuctionAndCoin\AuctionAndCoin.lua															0	9000									15		0				3	54	210		1	交易行																																																				43				0									0	0	0	0			[NPC-普通攻击]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:	[Default]:								1	通宝兑换金钱	金钱购买时间	金钱求购通宝	通宝换购金钱	1										1		0						
