ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
1160	恶人谷囚徒			2	0	49	1	1	269	69	0	950	28		1	1		180	2962	0	0	2666	0	0	100	6	22	9000	0	0	0	0	43	14	14	14	14	14		33	3	3	3	3	0	1160	1	135	68	135	68	28	1	36		1	1024	26	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20	浩气盟\recipe_renxing.tab	1		0		0		0	5026	0	0	0	0	0	0	0	0	0		211	274	838860	浩气盟敌对	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	9	0	1	1	0	0	3	206	284	-1			0		7	0																																																49				0									0	0	0	0															1									1		0					
1166	恶人谷囚徒			2	0	49	1	1	269	69	0	950	28		1	1		180	2962	0	0	2666	0	0	100	6	22	9000	0	0	0	0	43	14	14	14	14	14		33	3	3	3	3	0	1166	1	120	61	120	61	28	1	31		1	1024	21	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20	浩气盟\recipe_renxing.tab	1		0		0		0	5025	0	0	0	0	0	0	0	0	0		211	274	838860	浩气盟敌对	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	9	0	1	1	0	0	3	206	284	-1			0		7	0																																																49				0									0	0	0	0															1									1		0					
1167	恶人谷囚徒			2	0	49	1	1	269	69	0	950	28		1	1		180	2962	0	0	2666	0	0	100	6	22	9000	0	0	0	0	43	14	14	14	14	14		33	3	3	3	3	0	1167	1	135	68	135	68	28	1	36		1	1024	26	10	666	1	80		1	512	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20	浩气盟\recipe_renxing.tab	1		0		0		0	5024	0	0	0	0	0	0	0	0	0		211	274	838860	浩气盟敌对	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	9	0	1	1	0	0	3	206	284	-1			0		7	0																																																49				0									0	0	0	0															1									1		0					
5122	玉泽鳄			2	0	28	1	2	60	67	0	950	169		1	1		180	2971	0	0	0	0	0	100	6	22	9000	0	0	0	0	43	13	13	13	13	13		29	2	2	2	2	0	5122	1	126	64	126	64	28	1	25		1	1024	15	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	3970	0	0	0	0	0	0	0	0	0	383	0	0	0	浩气盟敌对	0	0	2	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	7	0	1	1	0	0	3	200	282																																																							28				0									0	0	0	0															1									0		0					
5209	玉泽龟			2	0	29	1	2	56	67	0	950	28		1	1		180	3418	0	0	0	0	0	100	6	22	9000	0	0	0	0	48	13	13	13	13	13		35	2	2	2	2	0	5209	1	101	51	101	51	28	1	30		1	1024	20	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4167	0	0	0	0	0	0	0	0	0	377	0	0	0	浩气盟敌对	0	0	2	2	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9450	3840	0	0	0	0	0	0	1	7	0	1	1	0	0	3	200	282																																																							29				0									0	0	0	0															1									0		0					
5210	玉泽鹤			2	0	26	1	2	254	67	0	950	28		0	0		180	2971	0	0	0	0	0	100	6	22	9000	0	0	0	0	43	13	13	13	13	13		29	2	2	2	2	0	5210	1	126	64	126	64	28	1	20		1	1024	10	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4064	0	0	0	0	0	0	0	0	0	1	0	0	0	浩气盟敌对	0	0	2	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	0	3	0	1	1	0	0	3	200	282																																																							26				0									0	0	0	0															1									0		0					
5211	漓水鳄			2	0	28	1	2	60	68	0	950	28		1	1		180	3040	0	0	0	0	0	100	6	22	9000	0	0	0	0	44	13	13	13	13	13		29	2	2	2	2	0	5211	1	128	64	128	64	28	1	25		1	1024	15	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4025	0	0	0	0	0	0	0	0	0	383	0	0	0	浩气盟敌对	0	0	2	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	7	0	1	1	0	0	3	203	283																																																							28				0									0	0	0	0															1									0		0					
5212	漓水龟			2	0	28	1	2	56	68	0	950	28		1	1		180	3498	0	0	0	0	0	100	6	22	9000	0	0	0	0	49	13	13	13	13	13		35	2	2	2	2	0	5212	1	103	51	103	51	28	1	30		1	1024	20	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4026	0	0	0	0	0	0	0	0	0	377	0	0	0	浩气盟敌对	0	0	2	2	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9450	3840	0	0	0	0	0	0	1	7	0	1	1	0	0	3	203	283																																																							28				0									0	0	0	0															1									0		0					
5213	山鹿			2	0	31	1	2	52	66	0	950	28		1	1		180	2902	0	0	0	0	0	100	6	22	9000	0	0	0	0	42	13	13	13	13	13		28	2	2	2	2	0	5213	1	140	70	140	70	28	1	36		1	1024	26	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4068	0	0	0	0	0	0	0	0	0	391	0	0	0	浩气盟敌对	0	0	2	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	3	0	1	1	0	0	3	197	281																																																							31				0									0	0	0	0															1									0		0					
5214	火灵蛇			2	0	28	1	2	243	69	0	950	28		1	1		180	2550	0	0	0	0	0	100	6	22	9000	0	0	0	0	42	14	14	14	14	14		23	2	2	2	2	0	5214	1	156	78	156	78	28	1	22		1	1024	12	10	7160	1	320		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20	宠物驯养\snake_1.tab	1		0		0		0	4018	0	0	0	0	0	0	0	0	0	1	0	0	0	浩气盟敌对	0	0	2	3	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	7	0	1	1	0	0	3	206	284																																																							28				0									0	0	0	0															1									0		0					
5215	木灵蛛			2	0	28	1	2	84	69	0	950	28		1	1		180	3110	0	0	0	0	0	100	6	22	9000	0	0	0	0	44	13	13	13	13	13		30	2	2	2	2	0	5215	1	130	65	130	65	28	1	20		1	1024	10	10	680	14	160		1	512	10	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4021	0	0	0	0	0	0	0	0	0	1	0	0	0	浩气盟敌对	0	0	2	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	7	0	1	1	0	0	3	206	284																																																							28				0									0	0	0	0															1									0		0					
5216	土灵蜈			2	0	28	1	2	84	69	0	950	28		1	1		180	2550	0	0	0	0	0	100	6	22	9000	0	0	0	0	42	14	14	14	14	14		23	2	2	2	2	0	5216	1	156	78	156	78	28	1	25		1	1024	15	10	7164	1	320		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4019	0	0	0	0	0	0	0	0	0	1	0	0	0	浩气盟敌对	0	0	2	3	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	7	0	1	1	0	0	3	206	284																																																							28				0									0	0	0	0															1									0		0					
