ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
2845	红衣教众1低级-10				0	28			275	30		900	31	3				120	391			445					22	9450					17	6	6	6	6	6		11	1	1	1	1		2845	13	60	30	60	30	28	1	19							7	160																						28800											1952										1	40	52	629145	红衣教模板				3			<G>这贡橘林已是安静了好些年，这段时间又开始不太平了，真是吓人……	1000																								0	9000											0				3	85	230																																																							28				0									0	0	0	0															1											0					
2846	红衣教众2低级				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2846		3	2	3	2			32								32								32								32																											1	1	1	629145	红衣教模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2850	红衣教众3中级-30				0	28			275	30		900	30	3				120	391			445					22	9450					17	6	6	6	6	6		11	1	1	1	1		2850	13	60	30	60	30	28	1	19							7	160																						28800											1953										1	40	52	629145	红衣教模板				3			<G>这贡橘林已是安静了好些年，这段时间又开始不太平了，真是吓人……	1000																								0	9000											0				3	85	230																																																							28				0									0	0	0	0															1											0					
2851	红衣教众4中级				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2851		3	2	3	2			32								32								32								32																											1	1	1	629145	红衣教模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2852	红衣教众5高级-50				0	28			275	30		900	35	3				120	391			445					22	9450					17	6	6	6	6	6		11	1	1	1	1		2852	13	60	30	60	30	28	1	19							7	160																						28800											1954										1	40	52	629145	红衣教模板				3			<G>这贡橘林已是安静了好些年，这段时间又开始不太平了，真是吓人……	1000																								0	9000											0				3	85	230																																																							28				0									0	0	0	0															1											0					
2853	红衣教众6高级				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2853		3	2	3	2			32								32								32								32																											1	1	1	629145	红衣教模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2854	红衣昆仑奴1低级-30				0	0				1		950	47	3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2854		3	2	3	2			32								32								32								32																	1955										1	1	1	629145	红衣教模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2855	红衣男奴3-高级50				0	0				1		950	42	3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2855		3	2	3	2			32								32								32								32																	1956										1	1	1	629145	红衣教模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
3349	红衣昆仑奴2中级			2	0	0	1	1	0	1	0	950	28	3	1	1		180	5	0	0	4	0	0	100	6	22	9000	0	0	0	0	8	3	3	3	3	3		6	1	1	1	1	0	3349	1	3	2	3	2	0	0	32		1	1024			0	0	32		1	1024			0	0	32		1	1024			0	0	32		1	1024			480	0	10		0		0		0		0	0	0	0	0	0	0	0	0	0	0	1	1	1	629145	红衣教模板	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	2048	0	0	0	0	0	0	1			0				3	2	78																																																							0				0									0	0	0	0															1											0					
3350	红衣昆仑奴3高级			2	0	0	1	1	0	1	0	950	28	3	1	1		180	5	0	0	4	0	0	100	6	22	9000	0	0	0	0	8	3	3	3	3	3		6	1	1	1	1	0	3350	1	3	2	3	2	0	0	32		1	1024			0	0	32		1	1024			0	0	32		1	1024			0	0	32		1	1024			480	0	10		0		0		0		0	0	0	0	0	0	0	0	0	0	0	1	1	1	629145	红衣教模板	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	2048	0	0	0	0	0	0	1			0				3	2	78																																																							0				0									0	0	0	0															1											0					
3351	红衣主教1低级-30			2	0	0	1	1	0	1	0	950	28	3	1	1		180	5	0	0	4	0	0	100	6	22	9000	0	0	0	0	8	3	3	3	3	3		6	1	1	1	1	0	3351	1	3	2	3	2	0	0	32		1	1024			0	0	32		1	1024			0	0	32		1	1024			0	0	32		1	1024			480	0	10		0		0		0		0	0	0	0	0	0	0	0	0	0	0	1	1	1	629145	红衣教模板	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	2048	0	0	0	0	0	0	1			0				3	2	78																																																							0				0									0	0	0	0															1											0					
3352	红衣主教2中级			2	0	0	1	1	0	1	0	950	28	3	1	1		180	5	0	0	4	0	0	100	6	22	9000	0	0	0	0	8	3	3	3	3	3		6	1	1	1	1	0	3352	1	3	2	3	2	0	0	32		1	1024			0	0	32		1	1024			0	0	32		1	1024			0	0	32		1	1024			480	0	10		0		0		0		0	0	0	0	0	0	0	0	0	0	0	1	1	1	629145	红衣教模板	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	2048	0	0	0	0	0	0	1			0				3	2	78																																																							0				0									0	0	0	0															1											0					
