ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
19061	盗马贼首领					29				92				6					6000000			4589767											61	37	37	37	37	37		219	92	92	92	92		19061		60000	28218	56435	28218	28	1	20		1	1024	10	10	7623	1	320	160	2				7624	1	240	120																								29601											32055	97555	838860	集群刷马					1												scripts\Map\集群刷马\npc\马贼首领掉草料.lua															500										3		0				12	380	5000																																																							29					0	0	0	0	0																						1											1					
19062	盗马贼首领					29				92				6					6000000			4589767											61	37	37	37	37	37		219	92	92	92	92		19062		60000	28218	56435	28218	28	1	31		1	1024	21	10	7623	1	320	160	2				7624	1	240	120																								29602											32055	97555	838860	集群刷马					1												scripts\Map\集群刷马\npc\马贼首领掉草料.lua															500										3		0				12	380	5000																																																							29					0	0	0	0	0																						1											1					
19063	盗马贼					26				90				4					500000			274679											60	36	36	36	36	36		214	90	90	90	90		19063		8000	5341	10682	5341	7627	1	30		1	1024	20	10	7625	1	32		1	512	18	8	7626	1			2	512	18		7628	1					21	9												29603											2725	8280	838860	集群刷马					1												scripts\Map\集群刷马\npc\盗马贼喽啰.lua															500										4		0				8	350	1750																																																							26																															1											0					
19064	盗马贼					26				90				4					500000			274679											60	36	36	36	36	36		214	90	90	90	90		19064		8000	5341	10682	5341	7627	1	22		1	1024	12	10	7626	1	32	320	2	480	16	8	7628	1	162	81		512	20		7625	1	64	32		512														29604											2725	8280	838860	集群刷马					1												scripts\Map\集群刷马\npc\盗马贼喽啰.lua															500										4		0				8	350	1750																																																							26																															1											0					
19065	盗马贼					26				90				4					500000			274679											60	36	36	36	36	36		214	90	90	90	90		19065		8000	5341	10682	5341	7627	1	29		1	1024	19	10	7628	1	32		1	512	16	8	7625	1	188			512			7626	1			2	512														29605											2725	8280	838860	集群刷马					1												scripts\Map\集群刷马\npc\盗马贼喽啰.lua															500										4		0				8	350	1750																																																							26																															1											0					
19066	恶人谷运马首领				2	49				93				6					60000000			7573568											62	37	37	37	37	37		222	93	93	93	93		19066		78000	45422	90845	45422	28	1	43		1	1024	33	10	7629	1	320	160	2		16	8	7630	1	480	240	2				7631	1	80	40																29606											49416	150500	838860	集群刷马					1												scripts\Map\集群刷马\npc\恶人谷押运官.lua															500										3	254	0				15	395	5000																							7632				1				320	160							2																49					0	0	0	0	0																						1											1					
19067	恶人谷运马首领				2	49				93				6					60000000			7573568											62	37	37	37	37	37		222	93	93	93	93		19067		78000	33803	67605	33803	28	1	31		1	1024	21	10	7629	1	320	160	2				7630	1	480	320	2				7631	1	80	80																29607											49416	150500	838860	集群刷马					1												scripts\Map\集群刷马\npc\恶人谷押运官.lua															500										3	254	0				15	395	5000																							7632				1				320	320							2																49					0	0	0	0	0																						1											1					
19068	恶人谷运马守卫					49				90				6					551094			495985											0	58	58	58	58	58		93	8	8	8	8		19068		801	401	801	401	28	1	43		1	1024	33	10																																				29608											6812	20700	838860	集群刷马																																500	9000									3		0				5	350	4375																																																							49																															1											0					
19069	恶人谷运马守卫				2	49				90				6					551094			495985											0	58	58	58	58	58		93	8	8	8	8		19069		596	298	596	298	28	1	30		1	1024	20	10																																				29609											6812	20700	838860	集群刷马																																500	9000											0				5	350	4375																																																							49																															1											0					
19070	恶人谷运马守卫					49				90				6					551094			495985											0	58	58	58	58	58		93	8	8	8	8		19070		596	298	596	298	28	1	31		1	1024	21	10																																				29610											6812	20700	838860	集群刷马																																500	9000									3		0				5	350	4375																																																							49																															1											0					
19071	浩气盟运马首领				1	50				93				6					60000000			7573568											62	37	37	37	37	37		222	93	93	93	93		19071		78000	45422	90845	45422	28	1	43		1	1024	33	10	7629	1	320	160	2				7630	1	480	320	2				7631	1	80	80																29611											49416	150500	838860	集群刷马					1												scripts\Map\集群刷马\npc\浩气盟押运官.lua															500										3	254	0				15	395	5000																							7632				1				320	320																							50					0	0	0	0	0																						1											1					
19072	浩气盟运马首领				1	50				93				6					60000000			7573568											62	37	37	37	37	37		222	93	93	93	93		19072		78000	45422	90845	45422	28	1	43		1	1024	33	10	7629	1	160	320	2				7630	1	320	480	2				7631	1																		29612											49416	150500	838860	集群刷马					1												scripts\Map\集群刷马\npc\浩气盟押运官.lua															500										3	254	0				15	395	5000																							7632				1				320	320																							50					0	0	0	0	0																						1											1					
