ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
1770	燕小霞	纯阳		3	0	14				35		900	27	3				180	675			810					22	9450					22	7	7	7	7	7		15	2	2	2	2		1770	21	53	26	53	26	28	1	30				20	10			19																																	995										1	41	53	734003	金水镇				6			<G>天灵灵，地灵灵！妖魔鬼怪快走开！\n<H28><G><F174 燕小霞闭着双眼念念有词，偶尔睁开一只眼睛偷偷瞟了你一眼，又一本正经地念起来。>	1000	<G>本不该答应罗轩的，不过总觉得又有好戏看了，现在看来很麻烦啊！当然，凭着小道的聪明才智是没问题的，就是少个帮手！	1000							scripts\Map\金水镇\npc\燕小霞.lua															0	9450									1		0				3	101	240																																																							14				0									0	0	0	0															1									1		0					
1807	武晴			3	0	26				30		900	36	3				180	476			429				14	22	9450					18	6	6	6	6	6		14	1	1	1	1		1807	21	55	27	55	27	28	1	35				25	10			19																																	994										1	40	52	629145	金水镇							<G>爹爹，爹爹就这么死去了！呜呜呜……	1000					<G>其实，罗轩叔叔是个好人！这么多年来他一直对爹爹忠心耿耿！\n<H28><G>爹走了，罗轩也要走了……\n<H28><G><F174 武晴目光呆滞。>	2702			scripts\Map\金水镇\npc\武晴.lua															0	9000									1		0				3	85	230																																																							26				0									0	0	0	0															1									1		0					
1809	阳宝哥			3	0	26				32		900	30	3				180	653			588					22	9450					19	6	6	6	6	6		15	1	1	1	1		1809	21	59	29	59	29	28	1	35				25	10	666	7	80		1	512	16	8																												992										1	40	52	734003	金水镇							<G>真是有缘啊！<N>，我们又见面了！跟你说，沿着此路往北走，有个浩气营，那里人可多了，全是大侠！	1000	<G>刚才你有没有被蝙蝠帮伏击？唉，我可倒霉了！我去给燕道长取竹竿，竟被一群蝙蝠帮的人伏击，更可恨的是，最后他们还说什么杀错人了。气死我了！差点没被他们吓死。\n<H28><G>前面有个浩气盟营地，那有个可人，据说是浩气盟七星之一，蝙蝠帮的人似乎伏击的就是她。你可以去那看看。沿着路往北走就可以看浩气营了。	1000	<G>本来是退队要和阿诛组队的，却不小心开了屠杀，便想着逗她一逗，没想到不小心把她给打成重伤……\n<H28><G><F174 阳宝哥向你背后望了望。>\n<H28><G>她是不是很生气？你可别告诉她，是我不小心打了她的啊！千万别告诉她啊！	300																				0	9000									1		0				3	91	234																																																							26				0									0	0	0	0															1									1		0					
1810	浩气盟弟子	浩气盟		3	0	50				33		950	39					180	682			614					22						20	7	7	7	7	7		15	1	1	1	1		1810	25	60	31	60	31	28	1	35				25	10			32								32								32																	990	991									1	40	121	734003	金水镇							<G>奉盟主之命，我等从东往西剿灭十二连环坞山寨！	1000	<G>这金水镇真奇了，这么多山贼，当地百姓还能活得下去。	1000	<G>这次是可人大人来巡视！没想到可人大人竟是如此秀丽的小姑娘！不过她不爱说话，只在城墙上观望。	1000																				0	9000									3		0				3	94	236																																																							50				0									0	0	0	0															1									1		0					
1811	李博宇	远程武器商		3	0	50				33		900	39	3				180	682			614					22	9450					20	7	7	7	7	7		15	1	1	1	1		1811	21	67	34	67	34	28	1	39				29	10			19																																	1004										1	40	52	734003	金水镇							<G>山贼作恶多端，危害百姓，应该将他们从江湖上清除！	1000																								0	9000									1		0				3	94	236																																																							50				0									0	0	0	0															1									1		0					
1812	苏剑平	郎中		3	0	50				35		900	39	3				180	750			675					22	9450					21	7	7	7	7	7		16	2	2	2	2		1812	21	63	31	63	31	28	1	34				24	10			19																																	1005										1	41	53	734003	金水镇							<G>十二连环坞罪大恶极，浩气盟才向武林下长空令，广招各路豪杰共同铲除恶人！	1000																								0	9000									1		0				3	101	240																																																							50				0									0	0	0	0															1									1		0					
1813	澄信	少林戒律院首座		3	0	11				72			42	2				180	27902362			21836631					22	9450					0	78	78	78	78	78		145	10	10	10	10		1813	21	1747	874	1747	874	28	1	23				13	10	619	15	240		2	512	13	8																												390										1	6944	9027	838860	金水镇				2			<G>阿弥陀佛！老衲到此乃是为寻找失踪弟子，恰巧碰见浩气盟在此剿灭山贼。出家人虽以慈悲为怀，但这些山贼冥顽不灵，始终不肯改邪归正，反而变本加厉地危害人间，此等妖魔不如除掉为好。	1000	<G>这等恶贯满盈的鼠辈留在江湖只会让百姓叫苦连天，我少林向来弘扬佛法，普渡众生，对于这些屡教不改的恶人决不会姑息！	1000							scripts\Map\金水镇\npc\澄信.lua															0	9450									1		0				2	231	2000																																																							11													0	0	0	0															1									1		0					
1814	裘芊芊	东漓寨		3	0	26				33		900	41					180	682			614					22	9450					20	7	7	7	7	7		15	1	1	1	1		1814	21	67	34	67	34	28	1	39				29	10			19																																	1006										1	40	121	734003	金水镇							<G>那些铜钱地鼠的人真是令人作呕！要不是因为寨主的命令，我才不会来此地！	1000									scripts\Map\金水镇\npc\裘芊芊.lua															0	9000									1		0				3	94	236																																																							26				0									0	0	0	0															1									1		0					
1815	冰儿	七秀		3	0	15				35		900	36					180	750			675					22	9450					21	7	7	7	7	7		16	2	2	2	2		1815	21	59	30	59	30	28	1	30				20	10			19																																	1007										1	41	123	734003	金水镇							<G>看来你是常常行走江湖了，肯定遇到不少好玩的事吧！可否与我说说？\n<H28><G><F174 冰儿瞪着大大的眼睛，满怀期待。>	1000																								0	9000									1		0				3	101	240																																																							15				0									0	0	0	0															1									1		0					
1816	可人	浩气盟		3	0	50				72		900	36	2				3600	19895597			22644587					32	9450					0	85	85	85	85	85		90	10	10	10	10		1816	21	3194	1597	3194	1597	28	1	39				29	10																																				1008										1	5555	9027	838860	金水镇				3	1		<G>找我何事？	1000																								0	9000									15	254	0				2	231	2000																																																							50					0	0	0	0	0				0	0	0	0															1									1		1					
