ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
555	万平	信使		3	0	26				34		900	28	3				180	706			635					22	9450					21	7	7	7	7	7		16	2	2	2	2		555	21	56	29	56	29	28	1	28				18	10			19																																	2336										1	41	53	734003	寇岛							<G>海岛速递，海角七号也能送达，安全放心！	1000	<G>放心，您的邮件一定能够快捷、安全、完好的抵达目的地。	1000						1		飞鸽传书														0	9000									1		0				3	97	238																																																							26				0									0	0	0	0															1									1		0					
1264	丘秋			3	0	26				30		650	21	3				180	476			429					22	9450					18	6	6	6	6	6		14	1	1	1	1		1264	21	50	25	50	25	28	1	24				14	10			19																																	357										1	40	52	629145	寇岛							<G>你依然不知去向，夜色无心旧模样。	100					<G>梦太长，冷若冰霜。碧海蓝天共星光。总有一天，梦会实现。	2459																		0	9000									1		0				3	85	230																																																							26				0									0	0	0	0															1									1		0					
1265	司马雁			3	0	27				34		650	21	3		0		240	579			659				9	15						19	7	7	7	7	7		13	2	2	2	2		1265	11	76	38	76	38	28	1	24				14	10	666	7	80		1	512	16	8																												366										1	41	53	734003	寇岛				3	1		<G>方家说江湖险恶，却不曾提及也有徐淮这般的好人。	1000									scripts\Map\寇岛\npc\司马雁.lua															0	9000									5		0				3	97	238																																																							27				0									0	0	0	0															1									1		0					
1266	孟韩			3	0	26				35		650	21	3				180	615			700					22	9450					20	8	8	8	8	8		13	2	2	2	2		1266	25	71	36	71	36	28	1	24				14	10	666	8	80		1	512	16	8																												367										1	41	53	734003	寇岛				3			<G>祭祀日子快到了，还有好多东西要准备，可得抓紧时间。	100					<G>爹爹，又到你的忌日了。希望你在天之灵，安息、快乐。	1073			scripts/Map/世界奇遇/npc/三尺青锋_寇岛小孩.lua															0	9000									3		0				3	101	240																																																							26				0									0	0	0	0															1									1		0					
1267	上官寅			3	0	26				34		650	21	3				300	579			659					22	9450					19	7	7	7	7	7		13	2	2	2	2		1267	15	68	34	68	34	28	1	24				14	10			19																																	368										1	41	53	734003	寇岛				3			<G>没有想到这么偏远的小岛上，居然有这么好的水质，可以酿出祭祀用的好酒了。	100									scripts\Map\寇岛\npc\上官寅.lua															0	9000									1		0				3	97	238																																																							26				0									0	0	0	0															1									1		0					
1268	徐淮			3	0	26				36			28	3				180	641			729					22	9450					21	8	8	8	8	8		13	2	2	2	2		1268	21	73	37	73	37	28	1	30				20	10			19																																	369										1	41	53	734003	寇岛				3			<G>蝼蚁尚且是一条宝贵的生命，更何况这活生生的人？这些海寇不论之前犯过什么过错，也不应当受到如此的惩罚！我一定得治好他们！	100					<G><F174 徐淮已没有了呼吸。他的容貌变得无比苍老，简直无法相信。>\n<H28><G><F174 身边散落着书页，上面正是记载了徐淮中毒至临终的所有毒症。后面的字歪歪扭扭，显是已无力气记录，看来死前最后一点力气都留给了病人。医者！真正的医者啊！>	1066																		0	9000									1		0				3	104	242																																																							26				0									0	0	0	0															1									1		0					
1269	阿九			3	0	26				32			28	3				180	535			609					22	9450					18	7	7	7	7	7		12	1	1	1	1		1269	21	64	32	64	32	28	1	28				18	10			19																																	370										1	40	52	734003	寇岛				3			<G>我早就跟于兄说过，大唐商会迟早会找到我们的，有什么好着急的嘛。	100					<G>你看于兄乐得啥样子了。一直在嘀咕他那如花似玉老婆，我这老大粗这一辈子只怕是搞不明白哟。\n<H28><G>看他高兴，心底倒是快活。只是他这一下大悲一下大喜不会有什么事吧……如果万花的徐侠士在，能给他看看便好了。																			0	9000									1		0				3	91	234																																																							26				0									0	0	0	0															1									1		0					
1270	史谦	远程武器商		3	0	26				33			27	3				180	559			637					22	9450					19	7	7	7	7	7		12	1	1	1	1		1270	21	66	33	66	33	28	1	28				18	10			19																																	459										1	40	52	734003	寇岛				3			<G>货丢了就丢了，罢了！罢了！可元良兄呢？至今没有任何消息，生死未卜……若他真有什么不测，我也要找到他的尸骨，把他带回中原，不能让他在这荒岛做个孤魂野鬼。	100					<G>元良兄果然是我好大哥！如此重情重义！但愿他与徐侠士都能平安归来……	2534																		0	9000									1		0				3	94	236																																																							26				0									0	0	0	0															1									1		0					
1271	于连			3	0	26				33			27	3				180	559			637					22	9450					19	7	7	7	7	7		12	1	1	1	1		1271	21	66	33	66	33	28	1	28				18	10			19																																	460										1	40	52	734003	寇岛				3			<G>人生的大起大落来得太快！太快了！	100					<G>嘿嘿，商会救兵来了，给老婆的礼物也找回来了。\n<H28><G>一袋给如花，一袋给似玉，老婆们肯定高兴惨了！	1323																		0	9000									1		0				3	94	236																																																							26				0									0	0	0	0															1									1		0					
1272	水手			3	0	26				32			27	3				180	535			609					22	9450					18	7	7	7	7	7		12	1	1	1	1		1272	21	64	32	64	32	28	1	28				18	10			19																																	461										1	40	52	734003	寇岛				3			<G>这岛风景不错，就是有些荒凉，而且我听说有海寇在岛上，阁下还是小心为妙。	100																								0	9000									1		0				3	91	234																																																							26				0									0	0	0	0															1									1		0					
