ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
201	朱杰	正仁堂仓监令帅		3	0	50				68	1		39	5				120	52122			46910					22						0	43	43	43	43	43		69	6	6	6	6		201	21	779	390	779	390	28	1	28				18	10																																				4574										1	1851	2407	838860	昆仑							<G>我刚到昆仑，初任此职，<N>还请你多多帮我。	100																								0	9000									1		0				11	203	2000																																																							50													0	0	0	0															1									1		0					
380	恶人谷信使	恶人谷·冰血战团		3	0	49			269	69			39	4				10	7406			6665					22						43	75	75	75	75	75		70	6	6	6	6		380	21	234	117	234	117	28	1	28				18	10	664	14	32		1	512	16	8																												4688										1	251	326	838860	昆仑							<G>我得马上把信送回恶人谷。希望回到谷中不用再出来了。	100																								0	9000									5		0				6	206	338																																																							49													0	0	0	0															1									1		0					
448	火			4	0	26							1		0	0		180	5			4					22	9450					8	3	3	3	3	3		6	1	1	1	1		448	21	3	2	3	2																																												4832										1	1	1	629145	昆仑			0	0																												0	9000								0	1		0				3	2	78																																																							26				0									0	0	0	0															1									1		0					
450	潘婷	郎中		3	0	49	1	1	0	64	0	950	28		1	1		180	2635	0	0	2372	0	0	100	6	22	9000	0	0	0	0	40	13	13	13	13	13		31	3	3	3	3	0	450	1	112	56	112	56	28	1	26		1	1024	16	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4733	0	0	0	0	0	0	0	0	0	1	158	205	838860	昆仑	0	0	1	1	0	0	<G>跌打损伤，美容美发，护肤彩妆，应有尽有！	100		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	4	0	0	0	0	0	1	15	0	0	1	0	0	3	191	279	0			0																																																			49				0									0	0	0	0															1									1		0					
451	白少鱼	酱料商		3	0	49	1	1	0	60	0	950	28		1	1		180	2372	0	0	2135	0	0	100	6	22	9000	0	0	0	0	37	12	12	12	12	12		29	3	3	3	3	0	451	1	114	57	114	57	28	1	35		1	1024	25	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4735	0	0	0	0	0	0	0	0	0	1	125	162	838860	昆仑	0	0	1	1	0	0	<G>我这只卖酱料！价格绝对公道！	100		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	4	0	0	0	0	0	1	15	0	0	1	0	0	3	178	275	0			0																																																			49				0									0	0	0	0															1									1		0					
453	慕容烟	服装商		3	0	49	1	1	0	64	0	950	28		1	1		180	2635	0	0	2372	0	0	100	6	22	9000	0	0	0	0	40	13	13	13	13	13		31	3	3	3	3	0	453	1	112	56	112	56	28	1	26		1	1024	16	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4737	0	0	0	0	0	0	0	0	0	1	158	205	838860	昆仑	0	0	1	1	0	0	<G>只卖漂亮的衣服，我都不会买的衣服我是不会卖的。	100		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	4	0	0	0	0	0	1	15	0	0	1	0	0	3	191	279	0			0																																																			49				0									0	0	0	0															1									1		0					
454	张白菜	菜贩		3	0	49	1	1	0	64	0	950	28		1	1		180	2635	0	0	2372	0	0	100	6	22	9000	0	0	0	0	40	13	13	13	13	13		31	3	3	3	3	0	454	1	122	61	122	61	28	1	35		1	1024	25	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4739	0	0	0	0	0	0	0	0	0	1	158	205	838860	昆仑	0	0	1	1	0	0	<G>我家三代都是做蔬菜生意的。\n<H28><G><F174 真想跟他说：看出来了。>	100		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	4	0	0	0	0	0	1	15	0	0	1	0	0	3	191	279	0			0																																																			49				0									0	0	0	0															1									1		0					
455	潘松	武器商		3	0	49	1	1	0	64	0	950	28		1	1		180	2635	0	0	2372	0	0	100	6	22	9000	0	0	0	0	40	13	13	13	13	13		31	3	3	3	3	0	455	1	112	56	112	56	28	1	30		1	1024	20	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4741	0	0	0	0	0	0	0	0	0	1	158	205	838860	昆仑	0	0	1	1	0	0	<G><F174 潘松用手遮住嘴，压低声音道。>\n<H28><G>客官我这有新到的货，需要不？	100		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	4	0	0	0	0	0	1	15	0	0	1	0	0	3	191	279	0			0																																																			49				0									0	0	0	0															1									1		0					
457	潘柏	暗器商		3	0	49	1	1	0	64	0	950	28		1	1		180	2635	0	0	2372	0	0	100	6	22	9000	0	0	0	0	40	13	13	13	13	13		31	3	3	3	3	0	457	1	112	56	112	56	28	1	31		1	1024	21	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4742	0	0	0	0	0	0	0	0	0	1	158	205	838860	昆仑	0	0	1	1	0	0	<G>唐门独家代理暗器出售，绝对正品。	100		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	4	0	0	0	0	0	1	15	0	0	1	0	0	3	191	279	0			0																																																			49				0									0	0	0	0															1									1		0					
458	于乐	信使		3	0	49				70		900	28	6				180	209463			188516					22	9450					0	45	45	45	45	45		71	6	6	6	6		458	21	391	196	391	196	28	1	28				18	10			19																																	2336										1	2800	3637	838860	昆仑							<G>大唐邮政，八百里加急，特快专递！	1000	<G>放心，您的邮件一定能够快捷、安全、完好的抵达目的地。	1000						1		飞鸽传书														500	9000						4			15		0				5	225	2000																																																							49													0	0	0	0															1									1		0					
