ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
723	巴依老爷			2	0	0	1	1	0	1	0	950	28	3	1	1		180	5	0	0	4	0	0	100	6	22	9000	0	0	0	0	8	3	3	3	3	3		6	1	1	1	1	0	723	1	10	6	10	6	28	1	103		1	1024	93	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4810	0	0	0	0	0	0	0	0	0	1	1	1	629145	龙门荒漠	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	5	0	0	1	0	0	3	2	78	0			0																																																			0				0									0	0	0	0															1									1		0					
736	纳斯列丁·阿凡提			2	0	0	1	1	0	1	0	950	28	3	1	1		180	5	0	0	4	0	0	100	6	22	9000	0	0	0	0	8	3	3	3	3	3		6	1	1	1	1	0	736	1	4	2	4	2	28	1	39		1	1024	29	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4813	0	0	0	0	0	0	0	0	0	1	1	1	629145	龙门荒漠	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	0	3	2	78	0			0																																																			0				0									0	0	0	0															1									1		0					
839	毛驴“大人”			2	0	0	1	1	0	1	0	950	28	3	1	1		180	5	0	0	4	0	0	100	6	22	9000	0	0	0	0	8	3	3	3	3	3		6	1	1	1	1	0	839	1	3	2	3	2	28	1	32		1	1024	22	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4854	0	0	0	0	0	0	0	0	0	1	1	1	629145	龙门荒漠	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	5	0	0	1	0	0	3	2	78	-1			0		7	0																																																0				0									0	0	0	0															1									1		0					
841	沙菲娜			2	0	26	1	1	0	55	0	950	28		1	1		180	1780	0	0	1602	0	0	100	6	22	9000	0	0	0	0	34	11	11	11	11	11		26	3	3	3	3	0	841	1	116	58	116	58	28	1	39		1	1024	29	10	674	12	80		1	512	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4857	0	0	0	0	0	0	0	0	0	1	88	114	838860	龙门荒漠	0	0	1	1	0	0	<G><F174 这女子无甚表情，似乎在出神的想着什么。>	1000		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	5	0	0	1	0	0	3	163	270	-1			0		7	0																																																26				0									0	0	0	0															1									1		0					
868	谢渊			2	0	27	1	1	0	73	0	950	28	2	1	1		0	28611525	0	0	22391628	0	0	100	6	32	9800	0	0	0	0	0	79	79	79	79	79		147	10	10	10	10	0	868	1	1830	914	1830	914	28	1	33		1	1024	23	10	7234	3	64		1	1024	20	10	7233	3	160		1	1024	20	10	7183	1	480		1	1024	20	10	4800	0	20		0		0		0		0	4895	0	0	0	0	0	0	0	0	0	1	5555	9527	838860	龙门荒漠	0	0	1	2	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9450	3840	0	0	0	0	0	0	1	5	254	0	1	0	0	2	235	2000	-1			0		7	0																7180				1				480												320				20				10				27					0	0	0	0	0				0	0	0	0															1									1		1					
1038	燕小霞			3	0	26	1	1	0	54	0	950	28		1	1		180	1732	0	0	1558	0	0	100	6	22	9000	0	0	0	0	34	11	11	11	11	11		26	2	2	2	2	0	1038	1	93	47	93	47	28	1	30		1	1024	20	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4992	0	0	0	0	0	0	0	0	0	1	81	105	838860	龙门荒漠	0	0	1	1	0	0	<G>不用担心我，这区区几个马贼而已。	1000		0		0					scripts\Map\龙门荒漠\npc\燕小霞.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	5	0	0	1	0	0	3	160	269	-1			0		7	0																																																26				0									0	0	0	0															1									1		0					
1040	莫十七	大漠两把斧		2	0	68	1	1	300	55	0	950	28	4	1	1		10	4452	0	0	4006	0	0	100	6	22	9000	0	0	0	0	34	59	59	59	59	59		56	5	5	5	5	0	1040	1	185	93	185	93	28	1	27		1	1024	17	10	676	1	80		1	512	17	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4994	0	0	0	0	0	0	0	0	0		104	135	838860	龙门荒漠	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	5	0	0	1.00	0	0	6	163	321	-1			0		7	0																																																68													0	0	0	0															1									1		0					
1365	诗人达达	著名诗人		3	0	45	1	1	0	70	0	950	28		1	1		180	3878	0	0	3491	0	0	100	6	22	9000	0	0	0	0	44	15	15	15	15	15		34	3	3	3	3	0	1365	1	131	66	131	66	28	1	28		1	1024	18	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	5078	0	0	0	0	0	0	0	0	0	1	224	291	838860	龙门荒漠	0	0	1	1	0	0	<G>我在中原时游遍千山万水也未曾见得真正能让我钦佩的诗人。	300		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	1440	420	3	225	310	-1			0		7	0																																																45				0									0	0	0	0															1									1		0					
1399	鱼玄机			3	0	45	1	1	0	70	0	950	28		1	1		180	3878	0	0	3491	0	0	100	6	22	9000	0	0	0	0	44	15	15	15	15	15		34	3	3	3	3	0	1399	1	131	66	131	66	28	1	26		1	1024	16	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	529										1	224	291	838860	龙门荒漠	0	0	1	1	0	0	<G>虽恨独行冬尽日，终期相见月圆时。\n<G>别君何物堪持赠，泪落晴光一首诗。	300		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	1440	420	3	225	310	-1			0		7	0																																																45				0									0	0	0	0															1									1		0					
1401	阿里曼复仇者			2	0	28	1	1	187	70	0	950	28		1	1		180	3878	0	0	3491	0	0	100	6	22	9000	0	0	0	0	44	15	15	15	15	15		34	3	3	3	3	0	1401	1	160	80	160	80	28	1	39		1	1024	29	10	665	15	80		1	512	15	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	310	0	0	0	0	0	0	0	0	0	1	224	291	838860	龙门荒漠	0	0	1	1	0	0		0		0		0					scripts\Map\龙门荒漠\npc\日常任务血衣NPC.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	7	0	0	1	0	0	3	225	310	-1			0		7	0																																																28				0									0	0	0	0															1									1		0					
