ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
19766	邢旅帅					26				75				6					233094			209784											0	48	48	48	48	48		77	7	7	7	7		19766		537	268	537	268	28	1	41		1	1024	31	10																																				30293											3687	11062	838860	马嵬驿							<G>这次我可要立头功了，哈哈。	500																								500	9000											0				5	241	4000																																																							26																																								1		0					
19767	贵妃随侍														0	0			5			4											8	3	3	3	3	3		6	1	1	1	1		19767		3	2	3	2	28	1	26		1	1024	16	10																																				30294											1	2	629145	马嵬驿																																0	9000								0			0					2	78																																																																																															1		0					
19768	唐门刺客					29				77				4					11273			10146											49	84	84	84	84	84		79	7	7	7	7		19768		281	140	281	140	28	1	28		1	1024	18	10																																				30295											391	1173	838860	马嵬驿																																0	9000											0				6	248	385																																																							29																																								1		0					
19769	虢国夫人					26				50				5					13787			12408											0	31	31	31	31	31		50	5	5	5	5		19769		222	111	222	111	28	1	25		1	1024	15	10																																				30296											291	880	734003	马嵬驿																																0	9000											0				9	147	1406																																																							26																																								1		0					
19770	秦国夫人					26				50				5					13787			12408											0	31	31	31	31	31		50	5	5	5	5		19770		222	111	222	111	28	1	25		1	1024	15	10																																				30297											291	880	734003	马嵬驿																																0	9000											0				9	147	1406																																																							26																																								1		0					
19771	御前侍卫					27				80				4	0	0			23840			21456											51	87	87	87	87	87		82	7	7	7	7		19771		436	218	436	218	28	1	36		1	1024	26	10	666	1	80		1	512	22	8																												30298											641	1926	838860	马嵬驿							<G>御前重地，不得喧哗。	100																								0	9000								0			0				4	275	550																																																							27																																								1		0					
19772	贵妃随侍					26				75					0	0			4316			3884											47	16	16	16	16	16		36	3	3	3	3		19772		141	70	141	70	28	1	26		1	1024	16	10																																				30299	30294										295	885	838860	马嵬驿																																0	9000								0			0					241	320																																																							26																																								1		0					
19773	杨暄亲卫					29				78									4597			4137											49	16	16	16	16	16		38	4	4	4	4		19773		146	73	146	73	28	1	26		1	1024	16	10	634	1	240		2	512	20	8																												30300	30308										347	1040	838860	马嵬驿																																0	9000											0					251	326																																																							29																																								1		0					
19774	神武亲卫					27				78				5					41376			37238											0	50	50	50	50	50		80	7	7	7	7		19774		991	496	991	496	28	1	33		1	1024	23	10	634	1	240		2	512	20	8																												30301											1606	4814	838860	马嵬驿							<G>圣驾在此，闲杂人等一律回避。	500	<G>吾等誓死保护圣驾。	500																						0	9000											0				10	251	1509																																																							27																																								1		0					
19775	狼牙刺客首领					28				78				4				20	18389			16550											49	85	85	85	85	85		80	7	7	7	7		19775		355	178	355	178	28	1	31		1	1024	21	10																																				30302											578	1733	838860	马嵬驿																																0	9000									5		0				4	251	543					3502																																																		28				20																																				1		0					
19776	狼牙刺客					28				77									4509			4058											49	16	16	16	16	16		37	4	4	4	4		19776		145	72	145	72	28	1	26		1	1024	16	10																																				30303											329	986	838860	马嵬驿																																0	9000									5		0					248	324					3502																																																		28																																								1		0					
19777	穆玄英					26				93				2					72320559			65088503											0	170	170	170	170	170		254	22	22	22	22		19777		5563	2782	5563	2782	28	1	25		1	1024	15	10																																				35775	0	0	0	0	0	0	0	0	0		16472	50166	838860	马嵬驿							<G>社稷存亡之际，这些官兵竟然还只想着一己私欲。	500	<G>狼牙居然出动死士行刺皇上，看来他们的行动加快了。	500																						0	9000											0				2	605	5000																																																							26																																								1		0					
19778	韩国夫人					26				50				5					13787			12408											0	31	31	31	31	31		50	5	5	5	5		19778		222	111	222	111	28	1	25		1	1024	15	10																																				30305											291	880	734003	马嵬驿							<G>还好有这几只小家伙解闷，要不真不知道这日子该怎么过了。	500																								0	9000											0				9	147	1406																																																							26																																								1		0					
19779	东宫护卫			3		82				77									4509			4058											49	16	16	16	16	16		37	4	4	4	4		19779		145	72	145	72	28	1	28		1	1024	18	10	666	1	80		1	512	22	8																												30306											329	986	838860	马嵬驿							<G>护卫太子安危乃职责所在！	300																								0	9000											0					248	324																																																							82																																								1		0					
19780	御驾前军将士					27				75									4316			3884											47	16	16	16	16	16		36	3	3	3	3		19780		171	86	171	86	28	1	39		1	1024	29	10	667	19	80		1	512	16	8																												30307	35566										295	885	838860	马嵬驿							<G>请皇上明断！	100																								0	9000											0					241	320																																																							27																																								1		0					
