ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
19183	陈菁菁			3	0	26	1	1	0	50	0	950	1		1	1		180	1531	0	0	1378	0	0	100	6	22	9000	0	0	0	0	31	10	10	10	10	10	1024	24	2	2	2	2	0	19183	1	86	43	86	43	28	1	30	0	1	1024	20	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	30037	0	0	0	0	0	0	0	0	0		56	72	734003	明教	0	0	1	1	0	0	<G>怀念苏杭的月色，怀念西湖的醋鱼，怀念藏剑山庄的兄弟姐妹。但为何我还是留下，他难道还不明白……	1000	<G>为什么我的心意无法传达给他……	1000		0					scripts\Map\明教\往生涧·前段\宝剑碎星.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	960	3	147	265	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1									1		0					
19184	陆危楼	明教教主		3		20				83				2					33172556			29855300											0	91	91	91	91	91		135	12	12	12	12		19184		2655	1328	2655	1328	28	1	28		1	1024	18	10																																				29716											10694	13888	838860	明教							<G>冰冻三尺非一日之寒，不过希望此次会晤是个良好的开端。	1000																								0	9000									15		0				2	286	5000																																																							20																															1									1		0					
19185	陆烟儿	明教圣女		3		20				83				2					33172556			29855300											0	91	91	91	91	91		135	12	12	12	12		19185		2655	1328	2655	1328	28	1	25		1	1024	15	10																																				29717											10694	13888	838860	明教							<G>月之茫茫，辉映其光。星分雁落，何事其亡？\n<G>告我明月，寒影温香。风柔夜寂，心静神凉。\n<G>凡我弟子，同心同语。肝胆相对，不避风雨。\n<G>凡我弟子，同德同趣。无念死生，无关散聚。	1000	<G>教中先辈们的牺牲虽不可忘，但也莫要被仇恨蒙蔽双眼。	1000	<G>大光明寺之变中若没有那人相救，我想必难逃一死，也不知他如今过得怎样……	500																				0	9000											0				2	286	0																																																							20																															1									1		0					
19186	胆小的马贼			3		26			183	10									77			69											8	3	3	3	3	3		6	1	1	1	1		19186		11	5	11	5	28	1	24		1	1024	14	10																												明教\ShaMoMaZei.tab	1							29718											8	10	629145	明教							<G>水火明力那个什么风风，暗尘散在三界中……隐！\n<H28><G>你看不见我，看不见我，看不见我……\n<G>	1000									scripts\Map\明教\彩蛋相关\胆小的马贼.lua															0	9000											0					25	149																																																							26																															1									1		0					
19187	阿依吐露			3		20				50									1531			1378											31	10	10	10	10	10		24	2	2	2	2		19187		86	43	86	43	28	1	31		1	1024	21	10																																				29719											56	72	734003	明教							<G>小猫儿乖……\n<H28><G><F174 阿依吐露专心的看着圣猫们，并没有注意到你的存在。>	1000									scripts/Map/明教/彩蛋相关/阿依吐露.lua															0	9000											0		1440	420		147	265																																																							20																															1									1		0					
19188	不明身份的潜伏者			3		31			183	23	1			4				15	1295			1165											13	23	23	23	23	23		22	2	2	2	2		19188		79	40	79	40	28	1	28		1	1024	18	10																												明教\Quest_QianFuZhe.tab	1							29720											38	48	629145	明教																	scripts/Map/明教/npc/隐身卫兵.lua															0	9000											0				4	63	360																																																							31				5																											1									1		0					
19189	丁蓬蓬	厨师		3		20				15									131			118											8	3	3	3	3	3		6	1	1	1	1		19189		17	8	17	8	28	1	30		1	1024	20	10																																				29721											24	31	629145	明教							<G>这边大大小小几十号人的伙食，都由我丁蓬蓬一人负责，厉害吧？	1000	<G>那边的陈姑娘，似乎从江南来，有机会真想学几道新的菜式，给教中兄弟换换口味。	1000							scripts\Map\明教\npc\丁蓬蓬.lua															0	9000											0					38	188																																																							20																															1									1		0					
19190	阳宝哥			3		26				20									266			240											11	4	4	4	4	4		9	1	1	1	1		19190		26	14	26	14	28	1	30		1	1024	20	10																																				29722											38	49	629145	明教							<G>啊哟哟哟哟……\n<H28><G>广阔的沙漠，热情的村民，心情都放松了不少，一会去找阿诛一起来跳舞好了。	1000																								0	9000											0					54	210																																																							26																															1									1		0					
19191	蜥蜴					31		2	133	18	1								230			207											10	3	3	3	3	3		8	1	1	1	1		19191		22	12	22	12	28	1	28		1	1024	18	10																																				30074	30073	29723									0	0	0	明教																																0	9000											0					48	206																																																							31																															1									1		0					
19192	中原武林人士					31				49	1								1486			1337											30	10	10	10	10	10		23	2	2	2	2		19192		103	51	103	51	28	1	39		1	1024	29	10																																				30517	29724	30082									55	71	734003	明教																	scripts\Map\明教\50出师任务\生事之徒.lua															0	9000											0					144	264																																																							31																															1									1		0					
