ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
443	调整表现用专用id			2	0	0	1	1	0	1	0	950	45	3	1	1		180	5	0	0	4	0	0	100	6	22	9000	0	0	0	0	8	3	3	3	3	3		6	1	1	1	1	0	443	1	4	2	4	2	28	1	37		1	1024	27	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	3535	0	0	0	0	0	0	0	0	0	1	1	1	629145	南屏山	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	0	0	0	1	0	0	3	2	78	0			0																																																			0				0									0	0	0	0															1									1		0					
469	扎玛笃的机关卫士			2	0	26	1	3	73	55	0	950	28	1	1	1		0	1189	0	0	0	0	0	100	6	22	9000	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	469	1	63	32	63	32	28	1	62		1	1024	52	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4717	0	0	0	0	0	0	0	0	0	1	0	0	0	南屏山	0	0	3	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	5	0	0	1	0	0	1	163	67	0			0																																																			26													0	0	0	0															1									0		0					
488	毒手蛇群			2	0	28	1	2	243	40	0	950	28	1	0	0		180	573	0	0	0	0	0	100	6	22	9000	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	488	1	33	16	33	16	28	1	22		1	1024	12	10	646	9	160		1	512	12	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4718	0	0	0	0	0	0	0	0	0	1	0	0	0	南屏山	0	0	2	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	0	5	0	0	1	0	0	1	116	62	0			0																																																			28													0	0	0	0															1									0		0					
615	熊振鹏	信使		3	0	49	1	1	199	70	0	950	28	6	1	1		180	209463	0	0	188516	0	0	100	6	22	9000	0	0	0	0	0	45	45	45	45	45		71	6	6	6	6	0	615	1	391	196	391	196	28	1	22		1	1024	18	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4755	0	0	0	0	0	0	0	0	0	1	2800	3637	838860	南屏山	0	0	1	1		0	<G>有我送信，包你满意，大鹏振翅，瞬息千里，能不快么？	1000		0		0				1		飞鸽传书				0	0	0	0	0	0	0	0	0	0	500	9000	3840	0	0	0	0	4	0	1	1	254	0	1	0	0	5	225	2000				0																																																			49													0	0	0	0															1									1		1					
628	陆遥	信使		3	0	50	1	1	199	70	0	950	28	6	1	1		180	209463	0	0	188516	0	0	100	6	22	9000	0	0	0	0	0	45	45	45	45	45		71	6	6	6	6	0	628	1	391	196	391	196	28	1	22		1	1024	18	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4756	0	0	0	0	0	0	0	0	0	1	2800	3637	838860	南屏山	0	0	1	1		0	<G>我的名字就叫陆遥，还会怕路远么？再远的地方我都保管你的信一个时辰内就被收到。	1000		0		0				1		飞鸽传书				0	0	0	0	0	0	0	0	0	0	500	9000	3840	0	0	0	0	4	0	1	1	254	0	1	0	0	5	225	2000	0			0																																																			50													0	0	0	0															1									1		1					
637	勥翰超	信使		3	0	26	1	1	0	58	0	950	28	5	1	1		180	20271	0	0	18244	0	0	100	6	22	9000	0	0	0	0	0	37	37	37	37	37		59	5	5	5	5	0	637	1	260	130	260	130	28	1	22		1	1024	18	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4757	0	0	0	0	0	0	0	0	0	1	578	750	838860	南屏山	0	0	1	1	1	0	<G>看见那边我兄弟没，我们都姓勥，因为他的车是最快的，所以每次我都第一个把信送到，所以我是最快的信使。	1000	<G>“团子不见了，我的团子呢？”	1000		0				1		飞鸽传书				0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	15	0	0	1	0	0	9	172	1421				0																																																			26													0	0	0	0															1									1		0					
696	周斌举			3	0	26	1	1	0	70		950	27	6	1	1		300	209463	0	0	188516	0	0	100	6	22	9000	0	0	0	0	0	45	45	45	45	45		71	6	6	6	6	0	696	1	391	196	391	196	28	1	30		1	1024	20	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	2967	0	0	0	0	0	0	0	0	0	1	2800	3637	838860	南屏山	0	0	1	1	0	0	<G>虽然你的资质不错，但我还是不能破例。假如我教了你轻功以外的东西，那将会导致整个武林的混乱。	1000	<G>假如我早生那么些年，剑圣估计要姓周了。	1000	<G>若干年前，这天下可是叫大周的。	1000										0	0	0	0	0	0	0	0	0	0	500	9000	3840	0	0	0	0	0	0	1	15		0				5	225	2000																																																							26													0	0	0	0															1									1		0					
830	箭靶			2	0	26	1	3	0	1	0	950	86		1	1		60	5	0	0	0	0	0	100	6	22	9000	0	0	0	0	7	3	3	3	3	3		7	0	0	0	0	0	830	1	3	1	3	1	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4843	0	0	0	0	0	0	0	0	0	1	0	0	0	南屏山	0	0	3	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	9	0	0	1	0	0	3	2	78	-1			0		7	0																																																26				0									0	0	0	0															1									0		0					
986	许先			3	0	26	1	1	0	59	0	950	28		1	1		180	2312	0	0	2080	0	0	100	6	22	9000	0	0	0	0	37	12	12	12	12	12		28	3	3	3	3	0	986	1	102	52	102	52	28	1	24		1	1024	14	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4962	0	0	0	0	0	0	0	0	0	1	117	152	838860	南屏山	0	0	1	1	0	0	<G>这位大叔为什么连一条小蛇都不肯放过呢？而且小白蛇还受伤了。	1000		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	15	0	0	1	0	0	3	175	274	-1			0		7	0																																																26				0									0	0	0	0															1									1		0					
995	华海			3	0	26	1	1	0	63	0	950	28	4	1	1		180	6431	0	0	5787	0	0	100	6	22	9000	0	0	0	0	39	68	68	68	68	68		64	6	6	6	6	0	995	1	213	107	213	107	28	1	31		1	1024	21	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4968	0	0	0	0	0	0	0	0	0	1	177	229	838860	南屏山	0	0	1	1	0	0	<G>奶奶的，好不容易挖出了条罕见的小白蛇，老子还指望它卖个高价呢？想不到被这个小兔崽子给先抢到手了，还想要我放生，真搞笑！我可不是什么吃斋念佛的主。	1000		0		0	<G>嘿嘿，大侠，我们又遇到了……您放心，我绝对不会再找小兄弟的麻烦了，他让我放白蛇我就不会放黑蛇的。	4222			scripts\Map\南屏山\npc\华海.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	0	6	188	330	-1			0		7	0																																																26				20									0	0	0	0															1									1		0					
