ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
4642	楚霞影			4	0	26	1	1	0	70	0	950	28	4	1	1		180	263345	0	0	299732	0	0	100	6	22	9000	0	0	0	0	45	31	31	31	31	31		129	70	70	70	70	0	4642	1	2423	1212	2423	1212	28	1	30		1	1024	20	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	749	0	0	0	0	0	0	0	0	0	1	0	0	838860	瞿塘峡表现NPC	0	0	1	3	1	400	<G><N>，还记得风雨镇内的楚小妹么？\n<H28><G><F174 楚霞影双目迷离，无限神伤。>	100	<G>我这一生，欠义父的恩情太多，只怕难以偿还，只得来生再报了。	100	<G>这一切都不怪雨大哥，碰上我之前，他是中原武林的少年豪杰，是我这恶人谷的魔女，误了他的前程。\n<H28><G><F174 楚霞影坚定地道：>\n<H28><G>只是自打八岁那年随义父进入恶人谷，我却也从来没有后悔过，就像义父这些年来虽是想到义母常常伤心，可他也从未后悔过为我楚家出头一般。\n<H28><G>有些人和事，是从生下来便注定了的……	100										0	0	0	0	0	0	0	0	0	0	500	9000	3840	0	0	0	0	0	0	1		0	0	1	0	0	8	94	0	-1			0		7	0	-1	0	0																																													26													0	0	0	0															1									1		0					
4643	雨卓承			4	0	26	1	1	0	70	0	950	28	6	1	1		180	513845	0	0	462461	0	0	100	6	22	9000	0	0	0	0	47	28	28	28	28	28		167	70	70	70	70	0	4643	1	11780	5890	11780	5890	28	1	30		1	1024	20	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	812	0	0	0	0	0	0	0	0	0	1	15833	24250	838860	瞿塘峡表现NPC	0	0	1	1	1	400		0		0		0										0	0	0	0	0	0	0	0	0	0	500	9000	3840	0	0	0	0	0	0	1		0	0	1	0	0	15	94	0	-1			0		7	0	-1	0	0																																													26													0	0	0	0															1									1		0					
4644	一刀流弟子			2	0	0	1	1	0	70	0	950	28		1	1		180	3878	0	0	3491	0	0	100	6	22	9000	0	0	0	0	44	15	15	15	15	15		34	3	3	3	3	0	4644	1	131	66	131	66	28	1	21		1	1024	11	10	676	1	160		1	512	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	804	0	0	0	0	0	0	0	0	0	1	224	291	838860	瞿塘峡表现NPC	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	0	0	0	1	0	0	3	225	310	-1			0		7	0	-1	0	0																																													0				0									0	0	0	0															1									1		0					
4645	陶寒亭			2	0	26	1	1	0	72	0	950	28	2	1	1		180	24262924	0	0	21836631	0	0	100	6	22	9000	0	0	0	0	0	78	78	78	78	78		117	10	10	10	10	0	4645	1	2184	1092	2184	1092	28	1	27		1	1024	17	10	7238	1	300		1	1024	16	8	7239	1	300		1	1024	16	8	7240	1	32		1	1024	16	8	4800	0	20		0		0		0		0	776	0	0	0	0	0	0	0	0	0	1	6944	9027	838860	瞿塘峡表现NPC	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	0	0	0	1	0	0	2	231	2000	-1			0		7	0	-1	0	0																																													0													0	0	0	0															1									1		0					
4646	于睿			2	0	0	1	1	0	73	0	950	28	2	1	1		180	24879587	0	0	22391628	0	0	100	6	22	9000	0	0	0	0	0	79	79	79	79	79		119	10	10	10	10	0	4646	1	2495	1247	2495	1247	28	1	36		1	1024	26	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	809	0	0	0	0	0	0	0	0	0	1	7333	9527	838860	瞿塘峡表现NPC	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	5	0	0	1	0	0	2	235	2000	-1			0		7	0	-1	0	0																																													0													0	0	0	0															1									1		0					
4647	荆空儿			2	0	0	1	1	0	73	0	950	28	5	1	1		180	37319	0	0	33587	0	0	100	6	22	9000	0	0	0	0	0	47	47	47	47	47		75	7	7	7	7	0	4647	1	354	176	354	176	28	1	30		1	1024	20	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	774	0	0	0	0	0	0	0	0	0	1	1375	1786	838860	瞿塘峡表现NPC	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1		0	0	1	0	0	9	235	1645	-1			0		7	0	-1	0	0																																													0													0	0	0	0															1									1		0					
4648	宇文敌			2	0	26	1	1	0	70	0	950	28	6	1	1		180	3351410	0	0	3016269	0	0	100	6	22	9000	0	0	0	0	0	76	76	76	76	76		113	10	10	10	10	0	4648	1	3188	1594	3188	1594	28	1	36		1	1024	26	10	664	1	32		1	512	33	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	810	0	0	0	0	0	0	0	0	0	1	18666	24250	838860	瞿塘峡表现NPC	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500	10000	3840	0	0	0	0	0	0	1	1	0	0	1	0	0	15	225	2000	-1			0		7	0	-1	0	0																																													26													0	0	0	0															1									1		0					
4649	宇文灭			2	0	26	1	1	0	70	0	950	28	2	1	1		180	23273681	0	0	20946313	0	0	100	6	22	9000	0	0	0	0	0	76	76	76	76	76		113	10	10	10	10	0	4649	1	2192	1096	2192	1096	28	1	33		1	1024	23	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	5229	0	0	0	0	0	0	0	0	0	1	6222	8083	838860	瞿塘峡表现NPC	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	0	2	225	2000	-1			0		7	0	-1	0	0																																													26													0	0	0	0															1									1		0					
4650	方轻崖			2	0	0	1	1	0	70	0	950	28		1	1		3	3878	0	0	3491	0	0	100	6	22	9000	0	0	0	0	44	15	15	15	15	15		34	3	3	3	3	0	4650	1	131	66	131	66	28	1	30		1	1024	20	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	769	0	0	0	0	0	0	0	0	0	1	224	291	838860	瞿塘峡表现NPC	0	0	1	1	0	400	<G>我的剑，无论何时，都会为曾经守护过我的人而出鞘。不为杀戮，只为报答。	100	<G>江湖广大，却容不得两个真正相爱之人么……	100	<G>打从雨大哥把我从万花谷救出那一刻，我便知道，为了他，我可与天下为敌！	100					scripts/Map/瞿塘峡/npc/方轻崖.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	0	0	0	1	0	0	3	225	310	-1			0		7	0	-1	0	0																																													0				0									0	0	0	0															1									1		0					
4651	浩气盟弟子			2	0	0	1	1	0	1	0	950	28	3	1	1		180	5	0	0	4	0	0	100	6	22	9000	0	0	0	0	8	3	3	3	3	3		6	1	1	1	1	0	4651	1	3	2	3	2	28	1	30		1	1024	20	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	772	0	0	0	0	0	0	0	0	0	1	1	1	629145	瞿塘峡表现NPC	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	0	3	2	78	-1			0		7	0	-1	0	0																																													0				0									0	0	0	0															1									1		0					
