ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
7829	冷天峰			3	0	26	1	1	0	82	0	950	28	2	1	1		180	32667880	0	0	29401092	0	0	100	6	22	9000	0	0	0	0	0	89	89	89	89	89	1024	134	12	12	12	12	0	7829	1	2630	1315	2630	1315	28	1	31		1	1024	21	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	6766	0	0	0	0	0	0	0	0	0		10694	13888	838860	融天岭接交任务npc	0	0	1	1	0	0	<G>在下冷天峰，请问大侠有何贵干？	1000		0		0	<G>在下佩服！	0								0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	5	0	0	1	0	960	2	282	2000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0	0													1									1		0					
7830	诸葛光光	轩辕社校尉		3		26				75									4316			3884				6	22						47	16	16	16	16	16		36	3	3	3	3		7830	1	141	70	141	70	28	1	26		1	1024	16	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20									6820											295	383	838860	融天岭接交任务npc						0	<G>天地正气，血荐轩辕。	100							0	0						0	0	0	0	0	0	0	0			0	9000	3840								5	0	0		0	960		241	320		0			-1	7	0																0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26	0									0			0	0	0	0		0													1									1		0					
7831	李复			3	0	26	1	1	0	83	0	950	28	2	1	1		180	33172556	0	0	29855300	0	0	100	6	22	9000	0	0	0	0	0	91	91	91	91	91	1024	135	12	12	12	12	0	7831	1	2655	1328	2655	1328	28	1	30		1	1024	20	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	6767	0	0	0	0	0	0	0	0	0		10694	13888	838860	融天岭接交任务npc			1	1	0	0	<G>北星南移，大局将破。	100							0	0						0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	5	0	0	1	0	960	2	286	2000	-1	0		0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26	0			0	1024	1024	1024	1024	1024	0			0	0	0	0	0	0													1									1		0					
7832	皇甫惟明	轩辕社		3		26				80				4					23840			21456				6							51	87	87	87	87	87		82	7	7	7	7		7832	1	388	194	388	194	28	1	31				21	10																										0										6819											641	833	838860	融天岭接交任务npc						300	<G>天地正气，血荐轩辕。	100							0	0						0	0	0	0	0	0	0	0			0	9000									5		0		0	960	4	275	550		0			-1	7	0																																																26	0									0			0	0	0	0		0													1									1		0					
7833	艾春秋	突击将领		3	0	26	1	1	0	75	0	950	1		1	1		180	4316	0	0	3884	0	0	100	6	22	9000	0	0	0	0	47	16	16	16	16	16	1024	36	3	3	3	3	0	7833	1	185	92	185	92	28	1	42		1	1024	32	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	6770	0	0	0	0	0	0	0	0	0		295	383	838860	融天岭接交任务npc	0	0	1	1	0	0	<G>天地正气，血荐轩辕。	100		0		0					scripts\Map\融天岭\npc\艾春秋之烽火戏诸侯.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	5	0	0	1	0	960	3	241	320	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0	0													1									1		0					
7834	鹿无双	七秀		3		26				75									4316			3884				6	22						47	16	16	16	16	16		36	3	3	3	3		7834	1	141	70	141	70	28	1	30		1	1024	20	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20									6826											295	383	838860	融天岭接交任务npc						0	<G>吾七秀姐妹绝不任人欺侮。	100							0	0						0	0	0	0	0	0	0	0			0	9000	3840								5	0	0		0	960		241	320		0			-1	7	0																0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26	0									0			0	0	0	0		0													1									1		0					
7835	段无极	大理宫执事		3		26				75									4316			3884				6							47	16	16	16	16	16		36	3	3	3	3		7835	1	141	70	141	70																																		0										6812											295	383	838860	融天岭接交任务npc							<G>天地之道，惟仁是永。	100							0	0						0	0	0	0	0	0	0	0			0	9000									5		0		0	960		241	320		0			-1	7	0																																																26	0									0			0	0	0	0		0													1									1		0					
7836	段福安	大理宫总管		3	0	26	1	1	0	75	0	950	28		1	1			4316	0	0	3884	0	0	100	6		9000	0	0	0	0	47	16	16	16	16	16	1024	36	3	3	3	3	0	7836	1	141	70	141	70	28	1	31				21	10																										0			0		0		0		0	6809	0	0	0	0	0	0	0	0	0		295	383	838860	融天岭接交任务npc			1	1	0		<G>家主最近很是烦心啊。	100							0	0						0	0	0	0	0	0	0	0	0	0	0	9000		0	0	0	0	0	0	1	5		0	1	0	960	3	241	320	-1	0		0	-1	7	0	-1	0	0		0		0		0		0		0		0																																	26	0			0						0			0	0	0	0	0	0													1									1		0					
7837	段俭魏	神剑宫主		3		26				82				2					32667880			29401092				6							0	89	89	89	89	89		134	12	12	12	12		7837	1	2877	1438	2877	1438	28	1	35				25	10																										0										7620											10694	13888	838860	融天岭接交任务npc							<G>吾神剑宫必成南诏武林至尊。	100							0	0	scripts\Map\融天岭\npc\段检魏之战败而逃.lua					0	0	0	0	0	0	0	0			0	9000									5		0		0	960	2	282	2000		0			-1	7	0																																																26	0									0			0	0	0	0		0													1									1		0					
7838	段氏密探	大理宫探子		3		26				75									4316			3884				6							47	16	16	16	16	16		36	3	3	3	3		7838	1	141	70	141	70	28	1	28				18	10																										0										6813											295	383	838860	融天岭接交任务npc							<G>休得大声！	100							0	0						0	0	0	0	0	0	0	0			0	9000									5		0		0	960		241	320		0			-1	7	0																																																26	0									0			0	0	0	0		0													1									1		0					
