ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
8046	望乡坪村民			3	0	37	1	1	0	75	0	950	28		1	1		30	4316	0	0	3884	0	0	100	6		9000	0	0	0	0	47	16	16	16	16	16	1024	36	3	3	3	3	0	8046	1	171	86	171	86	28	1	39				29	10																										0			0		0		0		0	7731	6903	6902	0	0	0	0	0	0	0		295	383	838860	融天岭任务表现npc	0	0	1	1	0		<G>不慎中了奸计！	100		0		0					scripts\Map\融天岭\npc\解救人质.lua					0	0	0	0	0	0	0	0	0	0	0	9000		0	0	0	0	0	0	1			0	1	0	960	3	241	320	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0																																	37			0	0						0			0	0	0	0	0	0													1									1		0					
8047	烟雾表现			2	0	26	1	1	0	75	0	950	28		0	0		180	4316	0	0	3884	0	0	100	6	22	9000	0	0	0	0	47	16	16	16	16	16	1024	36	3	3	3	3	0	8047	1	189	94	189	94	28	1	43		1	1024	33	10	623	16	240		2	512	18	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	6934	0	0	0	0	0	0	0	0	0		295	383	838860	融天岭任务表现npc	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	0	1	0	0	1	0	960	3	241	320	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0	0													1									1		0					
8048	李倓	南诏剑神		2	0	26	1	1	0	83	0	950	1	2	1	1			33172556	0	0	29855300	0	0	100	6		9000	0	0	0	0	0	91	91	91	91	91	1024	135	12	12	12	12	0	8048	1	2821	1411	2821	1411	28	1	34				24	10	664	17	32		1	512	9	8																		0			0		0		0		0	6921	0	0	0	0	0	0	0	0	0		10694	13888	838860	融天岭任务表现npc	0	0	1	1	0	325		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000		0	0	0	0	0	0	1			0	1	0	960	2	286	2000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0																																	26			0	0						0			0	0	0	0	0	0													1									1		0					
8049	李承恩	天策府统领		2	0	26	1	1	0	82	0	950	28	2	1	1			32667880	0	0	29401092	0	0	100	6		9000	0	0	0	0	0	89	89	89	89	89	1024	134	12	12	12	12	0	8049	1	2630	1315	2630	1315	28	1	31				21	10	623	17	240		2	512	13																			0			0		0		0		0	6917	0	0	0	0	0	0	0	0	0		10694	13888	838860	融天岭任务表现npc	0	0	1	1	0			0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000		0	0	0	0	0	0	1			0	1	0	960	2	282	2000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0																																	26			0	0						0			0	0	0	0	0	0													1									1		0					
8050	段氏家丁			3	0	26	1	1	0	75	0	950	1		1	1		30	4316	0	0	3884	0	0	100	6		9000	0	0	0	0	47	16	16	16	16	16	1024	36	3	3	3	3	0	8050	1	149	75	149	75	28	1	34				24	10	634	16	240		2	512	17	8																		0			0		0		0		0	6911	0	0	0	0	0	0	0	0	0		295	383	838860	融天岭任务表现npc			1	1	0										0	0	scripts\Map\融天岭\npc\调查家丁.lua					0	0	0	0	0	0	0	0	0	0	0	9000		0	0	0	0	0	0	1	5		0	1	0	960	3	241	320	-1	0		0	-1	7	0	-1	0	0		0		0		0		0		0		0																																	26	0			0						0			0	0	0	0	0	0													1									1		0					
8051	天池灵草			2	0	26	1	6	0		0	950	28		1			30	5	0	0	4	0	0	100	6		9000	0	0	0	0	8	3	3	3	3	3	1024	6	1	1	1	1	0	8051	1	3	2	3	2	28	1	13				3	10	623	1	240		2	512	13																			0			0		0		0		0	6933	0	0	0	0	0	0	0	0	0		0	0	0	融天岭任务表现npc	0	0	1	1	0			0		0		0					scripts\Map\融天岭\npc\灌溉花草特效.lua					0	0	0	0	0	0	0	0	0	0	0	9000		0	0	0	0	0	0		1		0	1	0	960	3	2	78	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0																																	26			0	0						0			0	0	0	0	0	0													1									1		0					
8052	天池猴			2	0	37	1	2	503	75	0	950	28		1	1		30	4316	0	0	3884	0	0	100	6		9000	0	0	0	0	47	16	16	16	16	16	1024	36	3	3	3	3	0	8052	1	141	70	141	70	28	1	27				17	10	625	16	240		2	512	48																			0			0		0		0		0	6648	21397	21399	0	0	0	0	0	0	0	2874	0	0	0	融天岭任务表现npc	0	0	1	1	0			0		0		0					scripts\Map\融天岭\npc\疯狂之猴.lua					0	0	0	0	0	0	0	0	0	0	0	9000		0	0	0	0	0	0	1	7		0	1	0	960	3	241	320	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0																																	37			0	0						0			0	0	0	0	0	0													1									1		0					
8053	病鹿			2	0	37	1	2	0	75	0	950	28		1	1		30	4316	0	0	3884	0	0	100	6		9000	0	0	0	0	47	16	16	16	16	16	1024	36	3	3	3	3	0	8053	1	158	79	158	79	28	1	36				26	10	640	16				512	10																			0			0		0		0		0	6906	0	0	0	0	0	0	0	0	0		0	0	0	融天岭任务表现npc	0	0	1	1	0			0		0		0					scripts\Map\融天岭\npc\治疗动物.lua					0	0	0	0	0	0	0	0	0	0	0	9000		0	0	0	0	0	0	1			0	1	0	960	3	241	320	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0																																	37			0	0						0			0	0	0	0	0	0													1									1		0					
8054	病鹤			2	0	37	1	2	0	75	0	950	28		1	1		30	4316	0	0	3884	0	0	100	6		9000	0	0	0	0	47	16	16	16	16	16	1024	36	3	3	3	3	0	8054	1	141	70	141	70	28	1	20				10	10	625	16	240		2	512	10																			0			0		0		0		0	6905	0	0	0	0	0	0	0	0	0		0	0	0	融天岭任务表现npc	0	0	1	1	0			0		0		0					scripts\Map\融天岭\npc\治疗动物.lua					0	0	0	0	0	0	0	0	0	0	0	9000		0	0	0	0	0	0	1			0	1	0	960	3	241	320	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0																																	37			0	0						0			0	0	0	0	0	0													1									1		0					
8055	万花机甲兽			2	0	37	1	3	0	75	0	950	28		1	1			4316	0	0	3884	0	0	100	6		9000	0	0	0	0	47	16	16	16	16	16	1024	36	3	3	3	3	0	8055	1	215	108	215	108	28	1	49				39	10	623	16	240		2	512	13																			0			0		0		0		0	6937	0	0	0	0	0	0	0	0	0		0	0	0	融天岭任务表现npc	0	0	1	1	0			0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000		0	0	0	0	0	0	1	5		0	1	0	960	3	241	320	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0																																	37			0	0						0			0	0	0	0	0	0													1									1		0					
