ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
2551	马贩	马商		3	0	34				50		950	52	3				90	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		2551	21	86	43	86	43	28	1	32								32								32								32																	1664										1	56	72	734003	商店NPC模板							1111	500	2222	500							scripts/Craft/Npc/制造类训练师/铸造训练师.lua															0	9000											0				3	147	265																																																							34				0									0	0	0	0															1											0					
2552	铁器行匠人	中级铸造师		3	0	34				50		950	46	3				90	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		2552	21	86	43	86	43	28	1	32								32								32								32																	1665										1	56	72	734003	商店NPC模板							1111	500	2222	500							scripts/Craft/Npc/制造类训练师/铸造训练师.lua															0	9000											0				3	147	265																																																							34				0									0	0	0	0															1											0					
2553	裁缝	中级铸造师		3	0	34				50		950	46	3				90	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		2553	21	86	43	86	43	28	1	32								32								32								32																	1666										1	56	72	734003	商店NPC模板							1111	500	2222	500							scripts/Craft/Npc/制造类训练师/铸造训练师.lua															0	9000											0				3	147	265																																																							34				0									0	0	0	0															1											0					
2554	钱庄老板	中级铸造师		3	0	34				50		950	76	3				90	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		2554	21	86	43	86	43	28	1	32								32								32								32																	1667										1	56	72	734003	商店NPC模板							1111	500	2222	500							scripts/Craft/Npc/制造类训练师/铸造训练师.lua															0	9000											0				3	147	265																																																							34				0									0	0	0	0															1											0					
2555	客栈伙计	客栈伙计		3	0	34				50		950	27	3				90	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		2555	21	86	43	86	43	28	1	32								32								32								32																	1669										1	56	72	734003	商店NPC模板							1111	500	2222	500							scripts/Craft/Npc/制造类训练师/铸造训练师.lua															0	9000											0				3	147	265																																																							34				0									0	0	0	0															1											0					
2556	酒楼老板	酒楼老板		3	0	34				50		950	29	3				90	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		2556	21	86	43	86	43	28	1	32								32								32								32																	1670										1	56	72	734003	商店NPC模板							1111	500	2222	500							scripts/Craft/Npc/制造类训练师/铸造训练师.lua															0	9000											0				3	147	265																																																							34				0									0	0	0	0															1											0					
2557	客栈店小二	客栈店小二		3	0	34				50		950	27	3				90	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		2557	21	86	43	86	43	28	1	32								32								32								32																	1671										1	56	72	734003	商店NPC模板							1111	500	2222	500							scripts/Craft/Npc/制造类训练师/铸造训练师.lua															0	9000											0				3	147	265																																																							34				0									0	0	0	0															1											0					
2558	百晓生	中级铸造师		3	0	34				50		950	46	3				90	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		2558	21	86	43	86	43	28	1	32								32								32								32																	1672										1	56	72	734003	商店NPC模板							1111	500	2222	500							scripts/Craft/Npc/制造类训练师/铸造训练师.lua															0	9000											0				3	147	265																																																							34				0									0	0	0	0															1											0					
2559	药品商	郎中		3	0	34				50		950	39	3				90	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		2559	21	86	43	86	43	28	1	32								32								32								32																	1677										1	56	72	734003	商店NPC模板							1111	500	2222	500							scripts/Craft/Npc/制造类训练师/铸造训练师.lua															0	9000											0				3	147	265																																																							34				0									0	0	0	0															1											0					
2560	食品商	小吃商		3	0	34				50		950	46	3				90	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		2560	21	86	43	86	43	28	1	32								32								32								32																	1678										1	56	72	734003	商店NPC模板							1111	500	2222	500							scripts/Craft/Npc/制造类训练师/铸造训练师.lua															0	9000											0				3	147	265																																																							34				0									0	0	0	0															1											0					
2561	背包商	布袋和尚		3	0	34				50		950	46	3				90	1531			1378					22						31	10	10	10	10	10		24	2	2	2	2		2561	21	86	43	86	43	28	1	32								32								32								32																	1679										1	56	72	734003	商店NPC模板							1111	500	2222	500							scripts/Craft/Npc/制造类训练师/铸造训练师.lua															0	9000											0				3	147	265																																																							34				0									0	0	0	0															1											0					
