ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
501	嵩蛛				0	28		2	84	24	2	650	80					240	295			0					22						14	5	5	5	5	5		8	1	1	1	1		501	13	45	23	45	23	28	1	20				10	10	680	4	160		1	512	10	8																												371											0	0	0	少林			2	3																												0	9000									7		0				3	66	218																																																							28				0									0	0	0	0															1									0		0					
502	少室野猪				0	29		2	22	24	1	550	62					180	360			0			0		22						14	4	4	4	4	4		10	1	1	1	1		502	23	38	18	38	18	28	1	23				13	10	656	3	160		1	512	11	8																												4										355	0	0	0	少林			2																													0	9000									3		0				3	66	218																																																							29				0									0	0	0	0															1									0		0					
503	外来人				0	33			79	10	3	930	27	3				180	77			69					22						8	3	3	3	3	3		6	1	1	1	1	154	503	12	12	6	12	6	28	1	35				25	10																																				372										1	8	10	629145	少林							<G>干这些偷鸡摸狗的事情真是迫不得已，对不起了。	1000	<G>这件事说起来就话长了，我们本是长安城边的普通农民，结果家乡发生了瘟疫，死伤了很多人，我们不得不背井离乡，逃难至此。唉，也不知道现在村子怎么样了，要是红衣圣女们在就好了。	1000							scripts\Map\少林\npc\外来神秘人.lua															0	9000									1		0				3	25	149																																																							33				0									0	0	0	0															1									1		0					
504	塔林盗墓贼				0	28			183	18	1	970	29	3				240	189			215					22						10	4	4	4	4	4		6	1	1	1	1		504	13	33	16	33	16	28	1	39				29	10																																				374										1	32	41	629145	少林				3																												0	9000									7		0				3	48	206																																																							28				0									0	0	0	0															1									1		0					
505	蒙面人				0	28			199	19	1		27					240	248			223					22						11	4	4	4	4	4		8	1	1	1	1		505	14	30	15	30	15	28	1	39				29	10	643	4	160		1	512	25	8																												375											35	45	629145	少林																																0	9000									8		0				3	51	208																																																							28				0									0	0	0	0															1									1		0					
506	诡行盗墓贼				0	28			183	19	1		27	3				240	248			223					22						11	4	4	4	4	4		8	1	1	1	1		506	13	24	13	24	13	28	1	28				18	10	667	4	80		1	512	14	8		1																		少林\shaol_daomuzei_1.tab	1							376										1	35	45	629145	少林																																0	9000									7		0				3	51	208																																																							28				0									0	0	0	0															1									1		0					
507	秘踪盗墓贼				0	28			183	20			27	3				240	306			240					22	9450					13	4	4	4	4	4		11	1	1	1	1		507	13	21	11	21	11	28	1	28				18	10	666	5	80		1	512	16	8																												376										1	38	49	629145	少林				2																												0	9450									7		0				3	54	210																																																							28				0									0	0	0	0															1									1		0					
508	道生	罗汉堂弟子		3	0	11				16			28	4				180	409			320					22	9450					10	15	15	15	15	15		18	1	1	1	1		508	21	27	14	27	14	28	1	30				20	10	667	4	80		1	512	24	8																												377										1	32	41	629145	少林				2			<G>阿弥陀佛！何日我才可以参透师父所问呢？	1000														11	-5000									0	9450									1		0				6	41	233																																																							11				20									0	0	0	0															1									1		0					
509	道相	罗汉堂弟子		3	0	11				16			28	4				180	292			332					22						8	16	16	16	16	16		11	1	1	1	1		509	21	41	20	41	20	28	1	30				20	10	623	4	240		2	512	21	8																												378										1	32	41	629145	少林				3			<G>武与禅，孰重孰轻？	1000														11	-5000									0	9000									1		0				6	41	233																																																							11				20									0	0	0	0															1									1		0					
510	舍利院弟子			3	0	31				20			28	3				180	306			240					22	9450					13	4	4	4	4	4		11	1	1	1	1		510	21	21	11	21	11	28	1	30				20	10	5106	5	240																																	377										1	38	49	629145	少林				2													scripts\Map\少林\npc\舍利院比试弟子.lua															0	9450									1		0				3	54	210																																																							31				0									0	0	0	0															1									1		0					
511	罗汉堂弟子			3	0	31				20			28	3				180	266			240					22						11	4	4	4	4	4		9	1	1	1	1		511	21	26	14	26	14	28	1	30				20	10	5113	5	400		2																															378										1	38	49	629145	少林																	scripts\Map\少林\npc\罗汉堂比试弟子.lua															0	9000									1		0				3	54	210																																																							31				0									0	0	0	0															1									1		0					
512	达摩院弟子			3	0	31				22			33	3				180	249			284					22						12	5	5	5	5	5		8	1	1	1	1		512	21	50	26	50	26	28	1	44				34	10	667	5	80																																	379										1	22	28	629145	少林				3													scripts\Map\少林\npc\达摩院比试弟子.lua															0	9000									1		0				3	60	214																																																							31				0									0	0	0	0															1									1		0					
