ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
2831	十二连环坞草寇1-低级10				0	0				1		950	33	3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2831		3	2	3	2			32								32								32								32																	1875	1878									1	1	1	629145	十二连环坞模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2832	十二连环坞草寇2-低级				0	0				1		950	42	3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2832		3	2	3	2			32								32								32								32																	1910										1	1	1	629145	十二连环坞模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2833	十二连环坞山贼5-高级				0	0				1		950	41	3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2833		3	2	3	2			32								32								32								32																	1925										1	1	1	629145	十二连环坞模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2834	十二连环坞草寇3-中级30				0	0				1		950	42	3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2834		3	2	3	2			32								32								32								32																	1926										1	1	1	629145	十二连环坞模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2836	十二连环坞堂主1-师爷				0	0				1		950	36	3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2836		3	2	3	2			32								32								32								32																	1927										1	1	1	629145	十二连环坞模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2838	十二连环坞草寇4-高级50				0	0				1		950	47	3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2838		3	2	3	2			32								32								32								32																	1929										1	1	1	629145	十二连环坞模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2839	十二连环坞水贼1-低级10				0	28			275	30		900	27	3				120	391			445					22	9450					17	6	6	6	6	6		11	1	1	1	1		2839	13	60	30	60	30	28	1	19							7	160																						28800											1930										1	40	52	629145	十二连环坞模板				3			<G>这贡橘林已是安静了好些年，这段时间又开始不太平了，真是吓人……	1000																								0	9000											0				3	85	230																																																							28				0									0	0	0	0															1											0					
2841	十二连环坞水贼2-低级10				0	0				1		950	47	3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2841		3	2	3	2			32								32								32								32																	1931										1	1	1	629145	十二连环坞模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2842	十二连环坞水贼3-中级30				0	0				1		950		3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		2842		3	2	3	2			32								32								32								32																											1	1	1	629145	十二连环坞模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
2844	十二连环坞水贼4-高级50				0	28			275	30		900	48	3				120	391			445					22	9450					17	6	6	6	6	6		11	1	1	1	1		2844	13	60	30	60	30	28	1	19							7	160																						28800											1951										1	40	52	629145	十二连环坞模板				3			<G>这贡橘林已是安静了好些年，这段时间又开始不太平了，真是吓人……	1000																								0	9000											0				3	85	230																																																							28				0									0	0	0	0															1											0					
3056	十二连环坞叛军1-低级				0	0				1		950	36	3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		3056		3	2	3	2			32								32								32								32																	2009										1	1	1	629145	十二连环坞模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
3057	十二连环坞叛军2-低级				0	0				1		950	30	3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		3057		3	2	3	2			32								32								32								32																	2010										1	1	1	629145	十二连环坞模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
3058	十二连环坞叛军3-中级				0	0				1		950	35	3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		3058		3	2	3	2			32								32								32								32																	2011										1	1	1	629145	十二连环坞模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
3059	十二连环坞叛军5-骑兵				0	0				1		950	28	3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		3059		3	2	3	2			32								32								32								32																	2012										1	1	1	629145	十二连环坞模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
3060	十二连环坞叛军6-监军				0	0				1		950	28	3				180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		3060		3	2	3	2			32								32								32								32																	2013										1	1	1	629145	十二连环坞模板																																0	9000											0				3	2	78																																																							0				0									0	0	0	0															1											0					
