ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
6507	雷老五	地鼠门小头目		2	0	28	1	1	0	30	0	950	28	3	1	1		0	476	0	0	429	0	0	100	6	22	9000	0	0	0	0	18	6	6	6	6	6		14	1	1	1	1	0	6507	1	50	25	50	25	28	1	31		1	1024	21	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	5530	0	0	0	0	0	0	0	0	0	1	40	52	629145	师徒任务	0	0	1	1	0	0		0		0		0					scripts\Map\师徒系统\npc\纪天下召唤怪死亡.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	8	0	0	1	0	960	3	85	230	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0			0	0	0	0															1											0					
6508	张小四	雷老五的徒弟		2	0	28	1	1	0	30	0	950	28	3	1	1		0	476	0	0	429	0	0	100	6	22	9000	0	0	0	0	18	6	6	6	6	6		14	1	1	1	1	0	6508	1	50	25	50	25	28	1	24		1	1024	14	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	5544	0	0	0	0	0	0	0	0	0	1	40	52	629145	师徒任务	0	0	1	1	0	0		0		0		0					scripts\Map\师徒系统\npc\纪天下召唤怪死亡.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	8	0	0	1	0	960	3	85	230	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0			0	0	0	0															1											0					
6509	周送终	金钱帮小头目		2	0	28	1	1	0	30	0	950	28	3	1	1		0	476	0	0	429	0	0	100	6	22	9000	0	0	0	0	18	6	6	6	6	6		14	1	1	1	1	0	6509	1	61	30	61	30	28	1	39		1	1024	29	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	5532	0	0	0	0	0	0	0	0	0	1	40	52	629145	师徒任务	0	0	1	1	0	0		0		0		0					scripts\Map\师徒系统\npc\纪天下召唤怪死亡.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	8	0	0	1	0	960	3	85	230	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0			0	0	0	0															1											0					
6510	张耗耗	周送终的弟子		2	0	28	1	1	0	30	0	950	28	3	1	1		0	476	0	0	429	0	0	100	6	22	9000	0	0	0	0	18	6	6	6	6	6		14	1	1	1	1	0	6510	1	50	25	50	25	28	1	24		1	1024	14	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	5531	0	0	0	0	0	0	0	0	0	1	40	52	629145	师徒任务	0	0	1	1	0	0		0		0		0					scripts\Map\师徒系统\npc\纪天下召唤怪死亡.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	8	0	0	1	0	960	3	85	230	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0			0	0	0	0															1											0					
6511	何霸天	蝙蝠帮小头目		2	0	28	1	1	0	30	0	950	28	3	1	1		0	476	0	0	429	0	0	100	6	22	9000	0	0	0	0	18	6	6	6	6	6		14	1	1	1	1	0	6511	1	61	30	61	30	28	1	39		1	1024	29	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	5528	0	0	0	0	0	0	0	0	0	1	40	52	629145	师徒任务	0	0	1	1	0	0		0		0		0					scripts\Map\师徒系统\npc\纪天下召唤怪死亡.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	8	0	0	1	0	960	3	85	230	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0			0	0	0	0															1											0					
6512	郭彩花	何霸天的弟子		2	0	28	1	1	0	30	0	950	28		1	1		0	476	0	0	429	0	0	100	6	22	9000	0	0	0	0	18	6	6	6	6	6		14	1	1	1	1	0	6512	1	55	27	55	27	28	1	35		1	1024	25	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	5527	0	0	0	0	0	0	0	0	0	1	40	52	629145	师徒任务	0	0	1	1	0	0		0		0		0					scripts\Map\师徒系统\npc\纪天下召唤怪死亡.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	8	0	0	1	0	960	3	85	230	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0			0	0	0	0															1											0					
6513	王昌龄	长歌门		3	0	26	1	1	0	70	0	950	28		1	1		180	3878	0	0	3491	0	0	100	6	22	9000	0	0	0	0	44	15	15	15	15	15		34	3	3	3	3	0	6513	1	131	66	131	66	28	1	28		1	1024	18	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	5526	0	0	0	0	0	0	0	0	0	1	224	291	838860	师徒任务	0	0	1	1	0	0	<G>高楼送客不能醉，寂寂寒江明月心。	100	<G>洛阳亲友如相问，一片冰心在玉壶。	100		0					scripts\Map\师徒系统\npc\杜其深.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	15	0	0	1			3	225	310	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0			0	0	0	0															1											0					
6514	纪天下			3	0	26	1	1	0	70	0	950	28		1	1		180	3878	0	0	3491	0	0	100	6	22	9000	0	0	0	0	44	15	15	15	15	15		34	3	3	3	3	0	6514	1	131	66	131	66	28	1	31		1	1024	21	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	5529	0	0	0	0	0	0	0	0	0	1	224	291	838860	师徒任务	0	0	1	1	0	0	<G>君子谋道不谋食，君子忧道不忧贫。	100	<G>穷则独善其身，达则兼济天下。	100		0					scripts\Map\师徒系统\npc\纪天下.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	15	0	0	1	1440	420	3	225	310	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0			0	0	0	0															1											0					
6515	完颜鸿			2	0	28	1	1	0	50	0	950	28	3	1	1		0	1531	0	0	1378	0	0	100	6	22	9000	0	0	0	0	31	10	10	10	10	10		24	2	2	2	2	0	6515	1	105	52	105	52	28	1	39		1	1024	29	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	5543	0	0	0	0	0	0	0	0	0	1	56	72	734003	师徒任务	0	0	1	1	0	0		0		0		0					scripts\Map\师徒系统\npc\纪天下召唤怪死亡.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	5	0	0	1	0	960	3	147	265	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0			0	0	0	0															1											0					
6520	完颜素			2	0	28	1	1	0	50	0	950	28	3	1	1		0	1531	0	0	1378	0	0	100	6	22	9000	0	0	0	0	31	10	10	10	10	10		24	2	2	2	2	0	6520	1	94	47	94	47	28	1	35		1	1024	25	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	5542	0	0	0	0	0	0	0	0	0	1	56	72	734003	师徒任务	0	0	1	1	0	0		0		0		0					scripts\Map\师徒系统\npc\纪天下召唤怪死亡.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	5	0	0	1	0	960	3	147	265	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0			0	0	0	0															1											0					
