ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
6784	浩气盟大将			2	0	50	1	1	0	98	0	950	49	2	1	1		0	124261472	0	0	111835325	0	0	100	6	30	9000	0	0	0	0	0	290	290	290	290	290		433	37	37	37	37	0	6784	1	12030	6015	12030	6015	28	1	43		1	1024	33	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	24529	0	0	0	0	0	0	0	0	0		18694	57111	838860	丝绸之路	0	0	1	1		0		0		0		0					scripts\Map\丝绸之路\npc\无对话摆放NPC设置浩气盟.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	11	254	0	1.00	0	960	2	1030	5000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	50			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
6786	恶人谷大将			2	0	49	1	1	0	98	0	950	28	2	1	1		0	124261472	0	0	111835325	0	0	100	6	30	9000	0	0	0	0	0	290	290	290	290	290		433	37	37	37	37	0	6786	1	8953	4476	8953	4476	28	1	30		1	1024	20	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	24521	0	0	0	0	0	0	0	0	0		18694	57111	838860	丝绸之路	0	0	1	1		0		0		0		0					scripts\Map\丝绸之路\npc\无对话摆放NPC设置恶人谷.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	11	254	0	1.00	0	960	2	1030	5000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	49			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
6787	浩气盟守卫			2	0	50	1	1	0	98	0	950	28	5	1	1		0	698970	0	0	629073	0	0	100	6	30	9000	0	0	0	0	0	170	170	170	170	170		273	25	25	25	25	0	6787	1	3634	1816	3634	1816	28	1	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	24531	0	0	0	0	0	0	0	0	0		6231	19037	838860	丝绸之路	0	0	1	1		0		0		0		0					scripts\Map\丝绸之路\npc\无对话摆放NPC设置浩气盟.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	11	254	0	1.00	0	960	11	1030	5000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	50			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
6788	恶人谷守卫			2	0	49	1	1	0	98	0	950	45	5	1	1		0	698970	0	0	629073	0	0	100	6	30	9000	0	0	0	0	0	170	170	170	170	170		273	25	25	25	25	0	6788	1	3634	1816	3634	1816	28	1	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	24523	0	0	0	0	0	0	0	0	0		6231	19037	838860	丝绸之路	0	0	1	1		0		0		0		0					scripts\Map\丝绸之路\npc\无对话摆放NPC设置恶人谷.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	11	254	0	1.00	0	960	11	1030	5000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	49			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
6796	浩气盟总镖头			2	0	50	1	1	0	98	0	950		5	1	1		0	698970	0	0	629073	0	0	100	6	30	9000	0	0	0	0	0	170	170	170	170	170		273	25	25	25	25	0	6796	1	3634	1816	3634	1816	28	1	31		1	1024	21	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	24533	0	0	0	0	0	0	0	0	0		6231	19037	838860	丝绸之路	0	0	1	1		0		0		0		0					scripts\Map\丝绸之路\npc\浩气盟总镖头.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	0	254	0	1.00	0	960	11	1030	5000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	50			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
6797	浩气盟大掌柜			2	0	50	1	1	0	98	0	950	28	5	1	1		0	698970	0	0	629073	0	0	100	6	30	9000	0	0	0	0	0	170	170	170	170	170		273	25	25	25	25	0	6797	1	3634	1816	3634	1816	28	1	28		1	1024	18	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	24530	0	0	0	0	0	0	0	0	0		6231	19037	838860	丝绸之路	0	0	1	1		0		0		0		0					scripts\Map\丝绸之路\npc\无对话摆放NPC设置浩气盟.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	11	254	0	1.00	0	960	11	1030	5000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	50			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
6798	浩气盟镖师			2	0	50	1	1	0	98	0	950	28	5	1	1		0	349485	0	0	314536	0	0	100	6	30	9000	0	0	0	0	0	170	170	170	170	170		273	25	25	25	25	0	6798	1	1428	713	1428	713	28	1	28		1	1024	18	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	24527	0	0	0	0	0	0	0	0	0		3505	10708	838860	丝绸之路	0	0	1	1		0		0		0		0					scripts\Map\丝绸之路\npc\无对话摆放NPC设置浩气盟.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	11	254	0	1.00	0	960	9	1030	5000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	50			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
6799	恶人谷总镖头			2	0	49	1	1	0	98	0	950	42	5	1	1		0	698970	0	0	629073	0	0	100	6	30	9000	0	0	0	0	0	170	170	170	170	170		273	25	25	25	25	0	6799	1	3634	1816	3634	1816	28	1	31		1	1024	21	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	24525	0	0	0	0	0	0	0	0	0		6231	19037	838860	丝绸之路	0	0	1	1		0		0		0		0					scripts\Map\丝绸之路\npc\恶人谷总镖头.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	0	254	0	1.00	0	960	11	1030	5000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	49			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
6800	恶人谷大掌柜			2	0	49	1	1	0	98	0	950	41	5	1	1		0	698970	0	0	629073	0	0	100	6	30	9000	0	0	0	0	0	170	170	170	170	170		273	25	25	25	25	0	6800	1	3634	1816	3634	1816	28	1	31		1	1024	21	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	24522	0	0	0	0	0	0	0	0	0		6231	19037	838860	丝绸之路	0	0	1	1		0		0		0		0					scripts\Map\丝绸之路\npc\无对话摆放NPC设置恶人谷.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	11	254	0	1.00	0	960	11	1030	5000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	49			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
6801	恶人谷镖师			2	0	49	1	1	0	98	0	950	48	5	1	1		0	349485	0	0	314536	0	0	100	6	30	9000	0	0	0	0	0	170	170	170	170	170		273	25	25	25	25	0	6801	1	1428	713	1428	713	28	1	31		1	1024	21	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	24519	0	0	0	0	0	0	0	0	0		3505	10708	838860	丝绸之路	0	0	1	1		0		0		0		0					scripts\Map\丝绸之路\npc\无对话摆放NPC设置恶人谷.lua					0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	11	254	0	1.00	0	960	9	1030	5000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	49			0	0	0	0	0	0	0	0			0	0	0	0															1											1					
