ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
15961	¡¯æ™ÃŒ					59				81				6				0	742500			4800000					30						90	0	0	0	0	0		400	170	170	170	170		15961		4685	2342	4685	2342	3234	2		16	1	1024			3400	1	480	240	2		24	16	3232	2	480	480	2				3392	2	320	160	14		32	16	99999999											26076											0	0	0	Ã∆√≈√‹ “					1												scripts/Map/Ã∆√≈√‹ “/npc/¡¯æ™ÃŒ.lua															2000	10000	-1								0	254	1				5	197	2000	1									0																																													59					0	0	0	0	0											0											1											1					
15962	≈Á»™					26		9		80				6	0	0			423600			2933242											54	32	32	32	32	32		191	80	80	80	80		15962		1865632	932816	1865632	932816	3246	1	9999	4999	1	1024	33	10																																				26077											0	0	0	Ã∆√≈√‹ “					1																											500									0	15		1				15	190	5000	1									0																																													26																				0											1											0					
15963	√‹ “ ÿŒ¿““					26		3		81				5				0	15400			115871											54	33	33	33	33	33		193	81	81	81	81		15963		1483	742	1483	742	28	1	27		1	1024	17	10																																				26078											0	0	0	Ã∆√≈√‹ “					1																												9500									0		1				7	197	1152	3									0																																													26																				0											1											0					
15964	¬‰ƒ—µƒ¿œÕ∑					26		9		80									2200			15602											54	32	32	32	32	32		191	80	80	80	80		15964		177	89	177	89	28	1	30		1	1024	20	10																																				26079											0	0	0	Ã∆√≈√‹ “					1												scripts\Map\Ã∆√≈√‹ “\npc\¬‰ƒ—µƒ¿œÕ∑.lua																											0					190	330										0																																													26																				0											1											0					
15965	–¬Ω® ˝æ›5																		1																											15965		8	3	8	3																																												26080											0	0	0	Ã∆√≈√‹ “					1																																							0						1										0																																																																	0											1											0					
15966	–¬Ω® ˝æ›6																		1																											15966		8	3	8	3																																												26081											0	0	0	Ã∆√≈√‹ “					1																																							0						1										0																																																																	0											1											0					
15967	–¬Ω® ˝æ›7																		1																											15967		8	3	8	3																																												26082											0	0	0	Ã∆√≈√‹ “					1																																							0						1										0																																																																	0											1											0					
15968	–¬Ω® ˝æ›8																		1																											15968		8	3	8	3																																												26083											0	0	0	Ã∆√≈√‹ “					1																																							0						1										0																																																																	0											1											0					
15969	–¬Ω® ˝æ›9																		1																											15969		8	3	8	3																																												26084											0	0	0	Ã∆√≈√‹ “					1																																							0						1										0																																																																	0											1											0					
15970	∑œ∆˙-≈Á»™																		1			45											0	1	1	1	1	1								15970		111	55	111	55			480	480			33	10																																				26085											1	1	629145	Ã∆√≈√‹ “					1																																							0						78										0																																																																	0											1											0					
15971	∆ﬂ–«ª˙πÿ					28		9		80				6	0	0		0	423600			2933242											54	32	32	32	32	32		191	80	80	80	80		15971		298531	149265	298531	149265	3356	1	1600	800			33	10																																				26086											0	0	0	Ã∆√≈√‹ “					1																											500									0	0		1				15	190	5000	1									0																																													28																				0											1											0					
15972	√‹ “±¶œ‰					26										0		0	1			0																								15972		8	3	8	3	28	1	15		1	1024	5	10																																				26087											0	0	0	Ã∆√≈√‹ “					1												scripts\Map\Ã∆√≈√‹ “\npc\µ⁄“ª√‹ “∆¥Õº–°”Œœ∑.lua																								0	15		1						1	2									0																																																																	0											1											0					
15973	∑…¬÷					28		9		80				6	0	0			423600			2933242											54	0	0	0	0	0		191	80	80	80	80		15973		5971	2985	5971	2985	3358	2	4		1	1024	4	4																																				26088											0	0	0	Ã∆√≈√‹ “					1																											500									0	0	3071	0				15	190	5000	4									0																																													28					0	0	0	0	0											0											1											1					
15974	√‹ “ ÿŒ¿º◊					26		3		81				5				0	15400			115871											54	33	33	33	33	33		193	81	81	81	81		15974		1483	742	1483	742	28	1	27		1	1024	17	10																																				26089											0	0	0	Ã∆√≈√‹ “					1																												9500									0		1				7	197	1152	3									0																																													26																				0											1											0					
15975	∑…¬÷3																		1																											15975		11	5	11	5	28	1	47		1	1024	37	10																																				26090											0	0	0	Ã∆√≈√‹ “					1																																					0		0						1										0																																																																	0											1											0					
15976	∑…¬÷4																		1																											15976		11	5	11	5	28	1	47		1	1024	37	10																																				26091											0	0	0	Ã∆√≈√‹ “					1																																					0		0						1										0																																																																	0											1											0					
15977	∑…¬÷5																		1																											15977		11	5	11	5	28	1	47		1	1024	37	10																																				26092											0	0	0	Ã∆√≈√‹ “					1																																					0		0						1										0																																																																	0											1											0					
