ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
19751	擂台总控			2	0	26	1	9	0	80	0	950	1	6	0	0		0	11112201	0	0	10981	0	0	100	6	30	9000	0	0	0	0	53	32	32	32	32	32	1024	190	80	80	80	80	0	19751	1	333	167	333	167	0	0	32	0	1	1024	16	8	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	99999999	0	20		0		0		0		0	30279	0	0	0	0	0	0	0	0	0		0	0	0	提交单测试内容	0	0	1	1	1	0		0		0		0					scripts\Map\世界通用\npc\不死.lua					0	0	0	0	0	0	0	0	0	0			-1	0	0	0	0	0	0	0	0	254	1	1	0	960	15	190	2000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0			0	0	0	0	0	0													1	2048										1					
19752	黑子			2	0	26	1	1	0	81	0	950	1	6	1	1		0	1076119	0	0	968507	0	0	100	6	30	9000	0	0	0	0	54	33	33	33	33	33	1024	192	81	81	81	81	0	19752	1	11264	5631	11264	5631	28	1	28	0	1	1024	18	10	665	17	80	0	1	512	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	99999999	0	20		0		0		0		0	30280	0	0	0	0	0	0	0	0	0		21388	27777	838860	提交单测试内容	0	0	1	1	1	0		0		0		0					scripts\Map\25人普通龙渊泽\npc\裁判对话.lua					0	0	0	0	0	0	0	0	0	0	500		-1	0	0	0	0	0	0	1	0	254	1	1	0	960	12	197	2000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0			0	0	0	0	0	0													1	2048										1					
19753	慕容野狐	北霸枪		2	0	26	1	1	0	83	0	950	1	6	1	1		0	18660000	0	0	16000000	0	0	100	6	30	9000	0	0	0	0	90	0	0	0	0	0	1024	400	170	170	170	170	0	19753	1	35000	1000	29672	14836	2790	2		16	1	1024	21	10	2830	2	320	160	2	1024	16	8	2795	2	240	120	1	1024	16	8	0	0	208	0	1	1024	16	8	99999999	0	20		0		0		0		0	30281	0	0	0	0	0	0	0	0	0		0	0	0	提交单测试内容	0	0	1	1	1	0		0		0		0					scripts\Map\25人普通龙渊泽\npc\神策_男.lua							0	0	0	0	0	0	0	0	2500	10000	-1	0	0	0	0	0	0	1	0	254	1	1	0	960	15	211	2000	1			0		7	0	-1	0			0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0				0	0	0	0	0													1	2048										1					
19754	殷青丝	辽东火凤		2	0	26	1	1	0	83	0	950	1	6	1	1		0	16890000	0	0	16000000	0	0	100	6	30	9000	0	0	0	0	90	0	0	0	0	0	1024	400	170	170	170	170	0	19754	1	35000	1000	29672	14836	2794	2		16	1	1024	25	10	2796	2	192	96	1	1024	16	8	2797	2	240	120	2	1024	16	8	0	0	208	0	1	1024	16	8	99999999	0	20		0		0		0		0	30282	0	0	0	0	0	0	0	0	0		0	0	0	提交单测试内容	0	0	1	1	1	0		0		0		0					scripts\Map\25人普通龙渊泽\npc\神策_女.lua					0	0	0	0	0	0	0	0	0	0	2500	10000	-1	0	0	0	0	0	0	1	0	254	1	1	0	960	15	211	2000	1			0		7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0			0	0	0	0	0	0													1	2048										1					
19755	神策狗男女总控			2	0	26	1	9	0	83	0	950	1		0	0		0	99999999	0	0	80	0	0	100	6	30	9000	0	0	0	0	0	1	1	1	1	1	1024	0	1	1	1	1	0	19755	1	1118	559	1118	559	0	0	32	0	1	1024	16	8	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	99999999	0	20		0		0		0		0	30283	0	0	0	0	0	0	0	0	0	1	0	0	0	提交单测试内容	0	0	1	1	1	0		0		0		0					scripts\Map\世界通用\npc\不死.lua					0	0	0	0	0	0	0	0	0	0	0	9000	-1	0	0	0	0	0	0	0	0	254	1	1	0	960	3	211	336	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0			0	0	0	0	0	0													1	2048										1					
19756	里赤梅	蛮帅		2	0	26	1	1	0	83	0	950	1	6	1	1		0	17700000	0	0	16000000	0	0	100	6	30	9000	0	0	0	0	90	0	0	0	0	0	1024	400	170	170	170	170	0	19756	1	50000	1000	29672	14836	2834	2		16	1	1024	24	10	3062	2	192	96	2	1024	16	8	2837	2	512	256		1024	16	8	2839	2	160	80	14	1024	16	8	99999999	0	20		0		0		0		0	30284	0	0	0	0	0	0	0	0	0		0	0	0	提交单测试内容	0	0	1	1	1	0		0		0		0					scripts\Map\25人普通龙渊泽\npc\刺客.lua					0	0	0	0	0	0	0	0	0	0	2500	10000	-1	0	0	0	0	0	0	1	0	254	1	1	0	960	15	211	2000	2			0		7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0			0	0	0	0	0	0													1	2048										1					
19757	苏贝德哈	蛮将		2	0	26	1	1	0	50	0	950	1	6	1	1		0	16370000	0	0	16000000	0	0	100	6	30	9000	0	0	0	0	90	0	0	0	0	0	1024	400	170	170	170	170	0	19757	1	50000	1000	29672	14836	2845	2		16	1	1024	33	10	2846	2	192	96	1	1024	16	8	2847	2	320	160	2	1024	16	8	0	0	208	0	1	1024	16	8	99999999	0	20		0		0		0		0	30285	0	0	0	0	0	0	0	0	0		0	0	0	提交单测试内容	0	0	1	1	1	0		0		0		0					scripts\Map\25人普通龙渊泽\npc\壮士.lua					0	0	0	0	0	0	0	0	0	0	2500	10000	-1	0	0	0	0	0	0	1	0	254	1	1	0	960	15	50	2000	2			0		7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0			0	0	0	0	0	0													1	2048										1					
19758	炎爆弹			2	0	28	1	1	0	83	0	950	1	6	0	0		0	1890913	0	0	1701822	0	0	100	6	30	9000	0	0	0	0	55	0	0	0	0	0	1024	197	83	83	83	83	0	19758	1	13752	6876	13752	6876	28	1	43	0	1	1024	33	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	99999999	0	20		0		0		0		0	30286	0	0	0	0	0	0	0	0	0	2	32083	41666	838860	提交单测试内容	0	0	1	1	1	0		0		0		0					scripts\Map\世界通用\npc\不死.lua					0	0	0	0	0	0	0	0	0	0	500		-1	0	0	0	0	0	0	0	0	254	1	1	0	960	15	211	2000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0			0	0	0	0	0	0													1	2048										1					
19759	寒冰弹			2	0	28	1	1	0	83	0	950	56	6	0	0		0	1890913	0	0	1701822	0	0	100	6	30	9000	0	0	0	0	55	0	0	0	0	0	1024	197	83	83	83	83	0	19759	1	13752	6876	13752	6876	28	1	43	0	1	1024	33	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	99999999	0	20		0		0		0		0	30287	0	0	0	0	0	0	0	0	0	2	32083	41666	838860	提交单测试内容	0	0	1	1	1	0		0		0		0					scripts\Map\世界通用\npc\不死.lua					0	0	0	0	0	0	0	0	0	0	500		-1	0	0	0	0	0	0	0	0	254	1	1	0	960	15	211	2000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0			0	0	0	0	0	0													1	2048										1					
19760	南诏双雄总控			2	0	26	1	9	0	83	0	950	1		0	0		0	99999999	0	0	80	0	0	100	6	30	9000	0	0	0	0	0	1	1	1	1	1	1024	0	1	1	1	1	0	19760	1	1118	559	1118	559	0	0	32	0	1	1024	16	8	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	99999999	0	20		0		0		0		0	30288	0	0	0	0	0	0	0	0	0	1	0	0	0	提交单测试内容	0	0	1	1	1	0		0		0		0					scripts\Map\世界通用\npc\不死.lua					0	0	0	0	0	0	0	0	0	0	0	9000	-1	0	0	0	0	0	0	0	0	254	1	1	0	960	3	211	336	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0			0	0	0	0	0	0													1	2048										1					
