ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
11018	五毒初级弟子					16				20									266			240				6							11	4	4	4	4	4		9	1	1	1	1		11018	1	26	14	26	14	28	1	30				20	10																										0										22722											38	49	629145	五毒脚本任务表现NPC								0		0		0										0	0	0	0	0	0	0	0			0	9000									9		0		0	960		54	210					-1	7	0																																																16										0			0	0	0	0		0													1									1		0					
11019	五毒初级弟子					16				20									266			240				6							11	4	4	4	4	4		9	1	1	1	1		11019	1	26	14	26	14	28	1	30		1	1024	20	10																										0										22723											38	49	629145	五毒脚本任务表现NPC								0		0		0										0	0	0	0	0	0	0	0			0	9000									9		0		0	960		54	210					-1	7	0																																																16										0			0	0	0	0		0													1									1		0					
11020	五毒中级女弟子					16				50									1531			1378				6							31	10	10	10	10	10		24	2	2	2	2		11020	1	86	43	86	43	28	1	30				20	10																										0										22724											56	72	734003	五毒脚本任务表现NPC								0		0		0										0	0	0	0	0	0	0	0			0	9000									9		0		0	960		147	265					-1	7	0																																																16										0			0	0	0	0		0													1									1		0					
11021	五毒中级男弟子					16				50									1531			1378				6							31	10	10	10	10	10		24	2	2	2	2		11021	1	86	43	86	43	28	1	30				20	10																										0										22725											56	72	734003	五毒脚本任务表现NPC								0		0		0										0	0	0	0	0	0	0	0			0	9000									9		0		0	960		147	265					-1	7	0																																																16										0			0	0	0	0		0													1									1		0					
11022	五毒高级男弟子									70									3878			3491				6							44	15	15	15	15	15		34	3	3	3	3		11022	1	131	66	131	66	28	1	30				20	10																										0										22726											224	291	838860	五毒脚本任务表现NPC								0		0		0										0	0	0	0	0	0	0	0			0	9000									9		0		0	960		225	310					-1	7	0																																																										0			0	0	0	0		0													1									1		0					
11023	五毒大弟子									80									5960			5364				6							51	17	17	17	17	17		39	4	4	4	4		11023	1	215	107	215	107	28	1	43				33	10																										0										22727											385	500	838860	五毒脚本任务表现NPC								0		0		0										0	0	0	0	0	0	0	0			0	9000									9		0		0	960		275	330					-1	7	0																																																										0			0	0	0	0		0													1									1		0					
11371	彩蝶			2	0	26	1	1	0	1	0	950	1	3	1	1		180	5	0	0	4	0	0	100	6	22	9000	0	0	0	0	8	3	3	3	3	3	1024	6	1	1	1	1	0	11371	1	4	2	4	2	28	1	38	0	1	1024	28	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	23080	0	0	0	0	0	0	0	0	0	1	1	1	629145	五毒脚本任务表现NPC	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	15	0	0	1	0	960	3	2	78	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0	0													1									1		0					
11550	善于捕食的鸡			2	0	26	1	1	0	17	0	950	1		1	1		180	213	0	0	192	0	0	100	6	22	9000	0	0	0	0	9	3	3	3	3	3	1024	7	1	1	1	1	0	11550	1	36	18	36	18	28	1	56	0	1	1024	46	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	23082	0	0	0	0	0	0	0	0	0		29	37	629145	五毒脚本任务表现NPC	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	15	0	0	1	0	960	3	45	204	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0	0													1									1		0					
11605	五毒高级女弟子			2	0	16	1	1	0	1	0	950	1	3	1	1			5	0	0	4	0	0	100	6		9000	0	0	0	0	8	3	3	3	3	3	1024	6	1	1	1	1	0	11605	1	3	2	3	2	28	1	30				20	10																										0			0		0		0		0	23145	0	0	0	0	0	0	0	0	0	1	1	1	629145	五毒脚本任务表现NPC	0	0	1	1	0			0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000		0	0	0	0	0	0	1	9		0	1	0	960	3	2	78	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0																																	16			0	0						0			0	0	0	0	0	0													1									1		0					
11752	五毒弟子																		5			4				6							8	3	3	3	3	3		6	1	1	1	1		11752	1	3	2	3	2	28	1	30				20	10																										0										23270											1	1	629145	五毒脚本任务表现NPC								0		0		0										0	0	0	0	0	0	0	0			0	9000									9		0		0	960		2	78					-1	7	0																																																										0			0	0	0	0		0													1									1		0					
