ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
7935	鹿族驯鹿								52	72									4043			3639											45	15	15	15	15	15		35	3	3	3	3		7935		152	76	152	76	28	1	36		1	1024	26	10	640	15	32		1	512	10	8																												7255	22848	23060	23133								250	325	838860	无量山																	scripts\Map\无量山\npc\儿子的冬衣之鹿死.lua															0	9000									1		0					231	314																																																							0																															1									1		0					
7951	羊族侍女			3		26				72									4043			3639											45	15	15	15	15	15		35	3	3	3	3		7951		156	78	156	78	28	1	37		1	1024	27	10																																				21077	23951										250	325	838860	无量山							<G>今年牧草肥美，羊儿长的格外的壮，可是这狼也格外的嚣张啊。	300																								0	9000									5		0					231	314																																																							26																															1									1		0					
7957	鹿族侍女					26				72									4043			3639											45	15	15	15	15	15		35	3	3	3	3		7957		156	78	156	78	28	1	37		1	1024	27	10																																				21174	23952										250	325	838860	无量山							<G>听说最近隐香岭有红衣教的出没，阻断了鹿族和梅龙镇的道路，不知是真是假。	300																								0	9000									5		0					231	314																																																							26																															1									1		0					
7959	巧家男人					26				72									4043			3639											45	15	15	15	15	15		35	3	3	3	3		7959		135	67	135	67	28	1	30		1	1024	20	10																																				21108											250	325	838860	无量山							<G>巧家又给我闹脾气了，我要好生应付！	300									scripts/Map/无量山/npc/女耕男织.lua															0	9000									5		0					231	314																																																							26																															1									1		0					
7966	虎族侍女					26				72									4043			3639											45	15	15	15	15	15		35	3	3	3	3		7966		143	72	143	72	28	1	34		1	1024	24	10																																				21178											250	325	838860	无量山							<G>这几天族长憔悴了不少，都是因为担忧刹腾族长啊。	300	<G>老族长的死真和狼族有关吗？那族长和刹腾族长的婚事岂不是要……	300																						0	9000									5		0					231	314																																																							26																															1									1		0					
8515	被蛊惑的狼族族人			3		37				73									4146			3731				6	22						46	15	15	15	15	15		35	3	3	3	3		8515	1	184	92	184	92	28	1	43		1	1024	33	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20									7239											264	343	838860	无量山						0	<G>狼族男儿满身血性，建功立业才是王道。	300	<G>是留守家园，还是投军南诏呢？	300		0					scripts\Map\无量山\npc\取舍.lua					0	0	0	0	0	0	0	0			0	9000	3840								5	0	0		0	960		235	316					-1	7	0																0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	37										0			0	0	0	0		0													1									1		0					
9545	羊族驯羊			2	0	26	1	2	0	72	0	950	28		1	1		180	4043	0	0	3639	0	0	100	6	22	9000	0	0	0	0	45	15	15	15	15	15	1024	35	3	3	3	3	0	9545	1	152	76	152	76	28	1	36	0	1	1024	26	10	0	0	32	0	1	1024	16	8	0	0	32	0	1	1024	16	8	0	0	32	0	1	1024	16	8	4800	0	20		0		0		0		0	21154	0	0	0	0	0	0	0	0	0	2874	0	0	0	无量山	0	0	1	1	0	0	<G>咩	300		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	5	0	0	1	0	960	3	231	314	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32	0	32	0	32	0	32	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0	0													1									1		0					
9546	羊族羊羔			2	0	26	1	2	0	72	0	950	28		1	1		180	4043	0	0	3639	0	0	100	6	22	9000	0	0	0	0	45	15	15	15	15	15	1024	35	3	3	3	3	0	9546	1	152	76	152	76	28	1	36	0	1	1024	26	10	0	0	32	0	1	1024	16	8	0	0	32	0	1	1024	16	8	0	0	32	0	1	1024	16	8	4800	0	20		0		0		0		0	21155	0	0	0	0	0	0	0	0	0	2874	0	0	0	无量山	0	0	1	1	0	0	<G>咩	300		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	5	0	0	1	0	960	3	231	314	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32	0	32	0	32	0	32	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0	0													1									1		0					
9567	被迷惑的蛮族士兵					37				72			28						4043			3639				6							45	15	15	15	15	15		35	3	3	3	3		9567	1	135	67	135	67	28	1	31				21	10			32								32								32							0										21180											250	325	838860	无量山						500						0					scripts\Map\无量山\npc\救命药草.lua					0	0	0	0	0	0	0	0			0	9000									0		0		0	960		231	314					-1	7	0																								32		32		32		32																		37										0			0	0	0	0		0													1									1		0					
11091	狼族侍女					27				75			28	4					17266			15539				6		12000					47	82	82	82	82	82		77	7	7	7	7		11091	1	363	181	363	181	28	1	34				24	10																										0										22789											491	638	838860	无量山							<G>狼族现在内忧外患，外有红衣来袭，内有南诏的挑拨，真是让人忧心啊。	300		0		0					scripts\Map\融天岭\npc\对战npc.lua					0	0	0	0	0	0	0	0			0	9000									1		0		0	960	4	241	533					-1	7	0																																																27										0			0	0	0	0		0													1									1		0					
