ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID
7801	王照南					26				80			28	2					31787476			28608728				6	22						0	87	87	87	87	87		130	11	11	11	11		7801	1	2586	1292	2586	1292	0	0			1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20									23627											10694	13888	838860	无量山接交任务npc						0		0		0		0										0	0	0	0	0	0	0	0			0	9000	3840								5	0	0		0	960	2	275	2000					-1	7	0																0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8											0			0	0	0	0															1									1		0					
7802	牡丹					28				80			28	2					31787476			28608728				6	28						0	87	87	87	87	87		130	11	11	11	11		7802	1	2586	1292	2586	1292	28	1	28				18	10			32								32								32							0										22692											10694	13888	838860	无量山接交任务npc							<G>哼哼哼哼……藏剑叶家也要来我们圣教触霉头么！	100		0		0										0	0	0	0	0	0	0	0			0	9000									5	10	0		0	960	2	275	2000					-1	7	0																								32		32		32		32																							0	0	0	0	0	0			0	0	0	0															1									1		1					
7901	万宝阁主			3		26				80									5960			5364											51	17	17	17	17	17		39	4	4	4	4		7901		160	80	160	80	28	1	25		1	1024	15	10																																				21095											385	500	838860	无量山接交任务npc							<G>其实，我们万宝阁已经淡出江湖很久了……	100																								0	9000									5		0					275	330																																																							26																															1									1		0					
7902	唐小二																		5			4											8	3	3	3	3	3		6	1	1	1	1		7902		3	2	3	2	28	1	24		1	1024	14	10																																				24582											1	1	629145	无量山接交任务npc																																0	9000									1		0					2	78																																																																																						1									1		0					
7903	蜜雪儿					26				71									3960			3564											45	15	15	15	15	15		34	3	3	3	3		7903		133	67	133	67	28	1	24		1	1024	14	10																																				23213											237	308	838860	无量山接交任务npc																																0	9000									1		0					228	312																																																																																						1									1		0					
7904	孙三姐	短途驿夫		3		26				72									4043			3639											45	15	15	15	15	15		35	3	3	3	3		7904		135	67	135	67	28	1	26		1	1024	16	10																																				21126											250	325	838860	无量山接交任务npc							<G><C>想去哪儿呢，坐三姐的船吧！	100									scripts/Map/无量山/npc/界面交通.lua															0	9000									5		0					231	314																																																							26																															1									1		0					
7905	莫雨			3		26				72									4043			3639											45	15	15	15	15	15		35	3	3	3	3		7905		135	67	135	67	28	1	24		1	1024	14	10																																				21223											250	325	838860	无量山接交任务npc							<G>那几个叛徒想从无量山逃走，是不是有点天真了。	100																								0	9000									5		0					231	314																																																							26																															1									1		0					
7906	王遗风			3		26				80				2					31787476			28608728											0	87	87	87	87	87		130	11	11	11	11		7906		2666	1334	2666	1334	28	1	33		1	1024	23	10																																				21088											10694	13888	838860	无量山接交任务npc							<G>其他不论，先找到血眼龙王再说！	100																								0	9000									5		0				2	275	2000																																																							26																															1									1		0					
7907	王一宝			3		26				75									4316			3884											47	16	16	16	16	16		36	3	3	3	3		7907		141	70	141	70	28	1	30		1	1024	20	10																																				21089											295	383	838860	无量山接交任务npc							<G>英雄宴马上就会开始，各位一定要来捧场。	100																								0	9000									5		0					241	320																																																							26																															1									1		0					
7908	影			3		26				80				2					31787476			28608728											0	87	87	87	87	87		130	11	11	11	11		7908		2586	1292	2586	1292	28	1	28		1	1024	18	10																																				21066											10694	13888	838860	无量山接交任务npc							<G>盟主有令，不可泄露行迹，以免打草惊蛇。	100																								0	9000									5		0				2	275	2000																																																							26																															1									1		0					
7911	万福			3		26				72									4043			3639											45	15	15	15	15	15		35	3	3	3	3		7911		135	67	135	67	28	1	28		1	1024	18	10	696	1	32		8	102400	14	8																												21094											250	325	838860	无量山接交任务npc																	scripts\Map\无量山\npc\迷离身世.lua															0	9000									5		0					231	314																																																							26																															1									1		0					
7912	珂儿																		5			4											8	3	3	3	3	3		6	1	1	1	1		7912		3	2	3	2																																																							1	1	629145	无量山接交任务npc																																0	9000									1		0					2	78																																																																																						1									1		0					
7913	叶琦菲			3		26				80				2					31787476			28608728											0	87	87	87	87	87		130	11	11	11	11		7913		2586	1292	2586	1292	28	1	30		1	1024	20	10																																				6086											10694	13888	838860	无量山接交任务npc							<G>这次和爹爹出来，发生了太多意想不到的事了。	100																								0	9000									5		0				2	275	2000																																																							26																															1									1		0					
